,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1953,--,--,--,--,--,--,--,--,--,--,--,--,×
1,1954,--,--,--,--,--,--,--,--,--,--,--,--,--
2,1955,0,0,--,--,--,--,--,--,--,--,--,--,0
3,1956,0,0,--,--,--,--,--,--,--,--,--,--,0
4,1957,--,--,--,--,--,--,--,--,--,--,--,--,--
5,1958,0,0,--,--,--,--,--,--,--,--,--,--,0
6,1959,4,--,--,--,--,--,--,--,--,--,--,--,4
7,1960,--,--,--,--,--,--,--,--,--,--,--,--,--
8,1961,--,--,0,--,--,--,--,--,--,--,--,--,0
9,1962,0,--,0,--,--,--,--,--,--,--,--,--,0
10,1963,1,0,--,--,--,--,--,--,--,--,--,--,1
11,1964,--,--,--,--,--,--,--,--,--,--,--,--,--
12,1965,0,--,--,--,--,--,--,--,--,--,--,--,0
13,1966,--,--,--,--,--,--,--,--,--,--,--,--,--
14,1967,--,0,--,--,--,--,--,--,--,--,--,0,0
15,1968,0,0,--,--,--,--,--,--,--,0,--,--,0
16,1969,0,--,--,--,--,--,--,--,--,--,--,--,0
17,1970,--,--,--,--,--,--,--,--,--,--,--,--,--
18,1971,--,--,--,--,--,--,--,--,--,--,--,--,--
19,1972,--,--,--,--,--,--,--,--,--,--,--,--,--
20,1973,--,--,--,--,--,--,--,--,--,--,--,0,--
21,1974,--,--,--,--,--,--,--,--,--,--,--,--,0
22,1975,0,1,--,--,--,--,--,--,--,--,--,--,1
23,1976,--,--,--,--,--,--,--,--,--,--,--,--,--
24,1977,--,0,--,--,--,--,--,--,--,--,--,--,0
25,1978,--,0,--,--,--,--,--,--,--,--,--,--,0
26,1979,--,--,--,--,--,--,--,--,--,--,--,--,--
27,1980,--,--,--,--,--,--,--,--,--,--,--,--,--
28,1981,--,0,--,--,--,--,--,--,--,--,--,--,0
29,1982,0,--,--,--,--,--,--,--,--,--,--,--,0
30,1983,--,0,0,--,--,--,--,--,--,--,--,--,0
31,1984,--,--,--,--,--,--,--,--,--,--,--,--,--
32,1985,--,--,--,--,--,--,--,--,--,--,--,--,--
33,1986,0,0,--,--,--,--,--,--,--,--,--,0,0
34,1987,0,0,0,--,--,--,--,--,--,--,--,--,0
35,1988,--,--,--,--,--,--,--,--,--,--,--,0,--
36,1989,--,--,--,--,--,--,--,--,--,--,--,--,0
37,1990,0,--,--,--,--,--,--,--,--,--,--,--,0
38,1991,--,--,--,--,--,--,--,--,--,--,--,--,--
39,1992,--,--,--,--,--,--,--,--,--,--,--,--,--
40,1993,--,--,--,--,--,--,--,--,--,--,--,--,--
41,1994,--,--,--,--,--,--,--,--,--,--,--,--,--
42,1995,--,--,--,--,--,--,--,--,--,--,--,--,--
43,1996,--,--,--,--,--,--,--,--,--,--,--,--,--
44,1997,--,--,--,--,--,--,--,--,--,--,--,--,--
45,1998,0,--,--,--,--,--,--,--,--,--,--,--,0
46,1999,--,--,--,--,--,--,--,--,--,--,--,--,--
47,2000,--,--,--,--,--,--,--,--,--,--,--,--,--
48,2001,--,--,0,--,--,--,--,--,--,--,--,--,0
49,2002,--,--,--,--,--,--,--,--,--,--,--,--,--
50,2003,0,--,--,--,--,--,--,--,--,　,　,　,0
51,2004,　,　,　,　,　,　,　,　,　,　,　,　,×
52,2005,　,　,　,　,　,　,　,　,　,　,　,　,　
53,2006,　,　,　,　,　,　,　,　,　,　,　,　,　
54,2007,　,　,　,　,　,　,　,　,　,　,　,　,　
55,2008,　,　,　,　,　,　,　,　,　,　,　,　,　
56,2009,　,　,　,　,　,　,　,　,　,　,　,　,　
57,2010,　,　,　,　,　,　,　,　,　,　,　,　,　
58,2011,　,　,　,　,　,　,　,　,　,　,　,　,　
59,2012,　,　,　,　,　,　,　,　,　,　,　,　,　
60,2013,　,　,　,　,　,　,　,　,　,　,　,　,　
61,2014,　,　,　,　,　,　,　,　,　,　,　,　,　
62,2015,　,　,　,　,　,　,　,　,　,　,　,　,　
63,2016,　,　,　,　,　,　,　,　,　,　,　,　,　
64,2017,　,　,　,　,　,　,　,　,　,　,　,　,　
65,2018,　,　,　,　,　,　,　,　,　,　,　,　,　
66,2019,　,　,　,　,　,　,　,　,　,　,　,　,　
