,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1911,　,　,　,134.9 ),293.0,171.9,131.7,189.0,155.8,117.1,85.8,56.3,1335.5 ]
1,1912,39.9,77.9,134.5,196.8,210.0,226.3,138.7,270.4,130.3,127.4,59.6,32.2,1644.0
2,1913,46.8,44.3,103.0,175.4,194.5,157.2,129.2,202.5,176.6,155.9,122.0,46.6,1554.0
3,1914,60.8,91.1,137.7,168.3,184.8,197.2,144.1,233.5,224.0,166.8,110.7,39.1,1758.1
4,1915,50.3,59.2,112.4,161.0,205.2,169.2,264.5,182.9,123.6,134.4,120.0,76.4,1659.1
5,1916,40.1,74.3,118.4,161.6,213.4,189.5,203.0,331.1,101.9,126.2,123.1,73.9,1756.5
6,1917,33.8,102.9,143.4,213.4,210.7,147.8,267.5,192.6,103.0,88.1,60.2,37.1,1600.5
7,1918,31.3,74.4,129.4,158.1,147.3,114.8,192.5,239.6,162.4,148.8,84.0,38.1,1520.7
8,1919,39.9,81.1,152.2,203.0,244.0,168.2,244.7,248.2,154.0,156.0,93.4,51.0,1835.7
9,1920,64.5,49.3,142.7,206.7,147.6,191.1,237.8,232.3,193.2,191.2,121.7,55.5,1833.6
10,1921,49.5,77.9,120.1,188.9,211.7,204.0,199.9,237.2,121.3,146.4,87.7,59.3,1703.9
11,1922,29.8,99.6,144.4,213.8,234.3,254.6,189.0,233.9,156.3,155.4,87.3,46.9,1845.3
12,1923,53.4,73.0,132.5,180.4,202.8,177.6,108.5,278.1,180.5,172.9,84.4,70.9,1715.0
13,1924,72.7,67.5,124.4,213.5,185.6,233.7,255.0,294.5,164.3,162.4,95.7,50.2,1919.5
14,1925,50.7,91.3,119.4,169.9,212.1,259.2,267.6,268.5,168.7,154.1,115.2,55.1,1931.8
15,1926,55.6,55.9,139.5,188.3,205.6,261.6,199.5,178.0,150.2,157.3,118.8,64.1,1774.4
16,1927,63.6,64.1,138.9,222.4,243.1,304.6,165.3,223.5,151.5,214.3,123.8,62.9,1978.0
17,1928,40.3,70.2,158.3,229.1,234.1,162.2,243.9,319.1,182.8,161.4,85.0,38.3,1924.7
18,1929,48.4,54.3,132.6,172.0,174.0,242.1,252.3,270.8,148.7,154.2,95.4,96.3,1841.1
19,1930,36.4,58.8,124.8,183.4,230.3,203.1,155.1,268.8,197.5,184.8,71.8,57.3,1772.1
20,1931,56.9,61.1,191.0,169.6,251.0,255.5,171.5,267.6,178.7,139.3,127.5,65.4,1935.1
21,1932,102.5,111.8,161.1,184.5,260.0,241.5,178.3,251.5,144.4,180.1,111.0,50.2,1976.9
22,1933,50.5,59.1,94.7,200.7,238.3,238.5,283.2,251.2,227.2,138.9,128.2,53.0,1963.5
23,1934,43.4,69.1,130.9,191.5,236.2,180.1,141.7,166.4,137.7,152.9,99.7,105.6,1655.2
24,1935,63.0,77.9,152.7,237.7,178.8,206.4,201.3,208.1,162.4,181.5,113.8,44.5,1828.1
25,1936,30.7,54.8,121.1,160.6,209.0,208.7,181.5,180.4,162.0,171.5,100.1,56.5,1636.9
26,1937,51.1,79.7,148.8,199.8,215.1,268.3,156.2,268.8,166.2,182.6,72.4,51.3,1860.3
27,1938,40.6,82.8,151.7,212.3,175.8,190.5,188.9,306.8,202.2,133.1,144.0,47.1,1875.8
28,1939,44.1,84.8,180.9,231.5,219.1,227.7,300.6,296.2,206.6,148.2,115.4,63.9,2119.0
29,1940,35.6,75.4,169.4,184.3,291.8,245.5,143.1,275.6,211.8,189.4,113.5,61.5,1996.9
30,1941,66.5,89.2,166.6,210.8,250.9,188.5,136.2,202.3,157.1,195.0,150.1,90.3,1903.5
31,1942,56.0,60.1,151.0,238.0,212.3,238.2,210.9,239.4,157.8,179.2,97.9,57.3,1898.1
32,1943,42.3,74.4,177.6,188.0,186.2,225.3,278.7,288.9,134.7,146.6,91.8,74.5,1909.0
33,1944,59.1,76.3,159.9,147.5,204.8,226.3,157.8,286.6,207.0,125.7,90.7,28.9,1770.6
34,1945,46.8,68.2,138.5,217.1,200.0,155.6,131.9,276.4,128.8,120.6,108.0,41.6,1633.5
35,1946,52.2,79.8,110.0,199.9,183.2,202.2,221.7,299.3,204.9,165.1,101.4,31.3,1851.0
36,1947,54.6,59.4,142.5,227.4,208.1,159.2,187.0,254.6,160.6,158.1,118.5,47.6,1777.6
37,1948,87.6,122.3,163.2,205.7,248.8,219.5,211.0,279.6,159.3,119.8,108.4,78.8,2004.0
38,1949,75.8,116.4,160.1,185.7,220.5,196.2,229.9,276.9,177.3,155.2,119.5,63.0,1976.5
39,1950,66.4,74.4,193.3,199.9,254.1,122.7,259.5,310.0,189.2,135.7,108.6,71.7,1985.5
40,1951,71.0,102.0,152.4,187.7,236.7,255.0,213.7,282.8,191.3,182.3,97.3,72.8,2045.0
41,1952,57.0,83.5,152.1,176.1,249.1,191.1,185.8,223.0,174.9,165.5,133.4,57.8,1849.3
42,1953,63.1,77.5,137.3,242.8,237.0,193.2,175.3,180.9,168.8,206.7,93.9,68.8,1845.3
43,1954,85.0,94.0,158.5,214.4,230.2,154.6,175.5,255.0,202.1,188.1,170.3,67.6,1995.3
44,1955,62.0,113.0,141.4,213.9,201.8,206.9,314.7,296.2,218.8,133.7,124.6,93.5,2120.5
45,1956,45.7,92.4,145.5,230.8,229.5,180.4,168.6,189.3,214.7,123.7,113.4,59.9,1793.9
46,1957,98.4,72.5,152.4,196.4,229.7,241.1,101.0,215.0,188.5,182.9,159.6,64.7,1902.2
47,1958,69.8,122.7,168.3,233.4,275.6,278.6,156.1,179.2,142.5,160.6,134.1,106.9,2027.8
48,1959,68.4,96.9,160.0,235.8,218.2,231.9,177.0,225.6,185.2,175.0,127.7,58.7,1960.4
49,1960,51.7,108.8,178.3,247.4,170.4,159.2,191.7,261.8,174.1,172.8,105.2,41.1,1862.5
50,1961,49.4,101.7,196.9,246.9,235.9,154.0,179.2,239.9,203.0,156.1,133.4,73.0,1969.4
51,1962,62.5,116.5,138.1,176.9,273.7,170.8,217.7,264.1,185.5,158.2,66.4,74.2,1904.6
52,1963,39.2,88.6,186.2,198.3,187.1,121.7,184.7,210.9,139.5,138.6,98.4,46.0,1639.2
53,1964,52.7,71.4,140.5,120.3,248.2,154.2,127.9,222.8,142.2,162.0,109.6,50.8,1602.6
54,1965,60.7,84.8,139.1,177.0,187.3,198.6,102.4,272.8,121.9,207.1,69.7,50.4,1671.8
55,1966,65.0,109.1,150.5,211.9,208.4,195.6,129.2,248.9,147.3,168.8,96.4,45.7,1776.8
56,1967,60.2,89.5,156.1,175.4,272.7,219.1,182.1,194.3,158.9,134.0,88.3,43.9,1774.5
57,1968,32.8,87.2,139.4,159.9,212.2,248.2,232.4,179.5,195.6,127.1,134.6,72.7,1821.6
58,1969,35.2,48.4,139.9,154.7,257.6,196.6,150.7,173.2,138.3,174.4,88.7,35.4,1593.1
59,1970,46.5,94.7,140.0,205.5,236.1,173.6,172.7,193.0,151.7,172.4,94.5,60.2,1740.9
60,1971,75.0,109.9,150.8,220.3,222.0,195.8,175.7,233.4,147.9,153.6,132.3,74.0,1890.7
61,1972,72.0,69.3,175.9,201.0,177.4,241.3,190.7,192.1,182.3,196.8,109.7,63.9,1872.4
62,1973,95.9,108.2,167.9,219.0,249.8,181.2,278.2,221.9,155.3,150.2,91.7,39.2,1958.5
63,1974,69.8,85.7,145.9,196.4,250.0,204.4,133.7,280.0,193.8,158.8,115.4,69.8,1903.7
64,1975,91.8,82.6,174.2,178.1,202.6,209.8,201.3,285.2,203.3,134.4,122.8,60.1,1946.2
65,1976,51.4,108.0,172.5,205.7,214.3,150.3,242.0,132.0,186.7,150.6,111.5,88.5,1813.5
66,1977,63.1,79.9,157.1,193.6,219.0,172.4,215.1,191.8,172.2,221.9,91.1,85.0,1862.2
67,1978,57.0,61.4,159.3,189.0,230.4,170.3,249.5,255.7,151.7,189.6,130.3,96.0,1940.2
68,1979,80.3,96.6,152.0,181.2,213.8,135.8,200.0,208.3,150.6,160.2,95.7,92.6,1767.1
69,1980,54.1,126.9,152.8,191.9,215.1,194.0,130.9,184.8,176.8,144.0,139.8,68.4,1779.5
70,1981,53.3,82.5,194.8,205.0,181.1,143.8,214.5,224.6,211.7,182.5,75.3,60.1,1829.2
71,1982,83.9,103.7,160.3,230.5,221.8,238.2,259.4,207.9,155.7,231.0,108.6,73.2,2074.2
72,1983,76.6,80.7,164.8,191.5,264.5,212.3,130.9,238.1,201.4,163.9,119.1,81.0,1924.8
73,1984,71.2,85.8,168.5,193.7,218.4,221.9,191.6,299.4,198.2,192.2,129.1,75.8,2045.8
74,1985,66.7,91.6,139.7,204.7,241.5,192.4,214.5,352.4,167.8,151.5,66.7,55.8,1945.3
75,1986,68.4,90.2,148.3,190.4,207.3,189.3,170.2,256.9,196.9,142.2,138.0,67.0,1865.1
76,1987,35.2,68.3,96.3,210.6,208.0,236.3,131.7,166.4,165.8,168.8,104.9,71.4,1663.7
77,1988,40.7,69.5,117.6,181.2,185.9,153.8,127.5,232.1,157.4,165.8,92.2,55.2,1578.9
78,1989,72.6,77.3,135.3,185.2,195.5,155.3,255.8,222.1,93.8,151.8,74.0,50.4,1669.1
79,1990,38.2,46.1,152.9,194.6,208.5,162.7,187.5,263.0,120.0,161.3,89.7,33.9,1658.4
80,1991,41.1,52.6,116.0,233.5,227.9,140.1,127.5,169.3,142.8,89.0,109.7,72.0,1521.5
81,1992,45.4,56.5,106.9,170.4,186.7,221.6,147.4,211.9,159.9,128.7,104.6,35.5,1575.5
82,1993,43.1,58.3,127.7,156.8,209.1,109.8 ),123.1,107.6,130.3,128.7,99.3,47.1,1340.9
83,1994,51.9,64.3,125.4,227.0,200.3,184.7,223.6,268.9,147.8,158.5,103.9,56.7,1813.0
84,1995,43.2,79.3,109.1,183.6,161.6,133.4,121.1,167.1,143.2,148.7,86.5,33.5,1410.3
