,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,4.6,5.5,6.3,7.3,6.8,7.8,7.9,5.8,8.0,7.3,5.1,3.1,6.3
1,1952,4.5,7.1,6.8,6.9,7.0,8.3,7.3,6.1,7.6,7.0,6.3,4.5,6.6
2,1953,4.1,5.3,6.3,5.4,7.2,8.8,7.7,8.3,7.4,6.5,5.2,5.8,6.5
3,1954,6.0,4.8,6.7,7.1,7.5,9.0,8.5,5.6,7.2,7.3,5.1,5.1,6.7
4,1955,3.1,4.8,8.0,7.0,7.3,7.9,5.5,7.3,7.9,7.5,4.5,3.1,6.2
5,1956,3.8,4.6,7.1,6.9,8.3,8.4,7.5,7.1,7.4,8.5,6.5,2.7,6.6
6,1957,5.0,5.9,4.2,6.7,6.4,8.4,8.8,6.5,8.5,6.4,5.6,5.1,6.5
7,1958,5.1,5.2,6.0,6.3,6.9,8.2,8.3,6.4,6.7,7.7,6.6,3.9,6.4
8,1959,4.5,7.5,6.5,5.9,7.2,7.8,7.1,7.0,7.7,7.2,7.3,4.6,6.7
9,1960,3.9,3.8,6.4,6.8,7.5,8.7,7.5,6.3,6.7,6.8,6.5,3.6,6.2
10,1961,4.0,4.0,6.7,6.0,7.8,7.3,7.3,6.6,6.1,8.3,5.8,3.3,6.1
11,1962,4.0,4.6,4.6,5.9,6.8,8.7,7.8,6.4,6.3,6.6,6.3,4.5,6.0
12,1963,1.3,4.6,5.7,7.3,8.8,8.2,7.7,7.3,8.1,7.2,5.3,3.6,6.3
13,1964,7.3,6.7,5.8,8.3,6.0,8.5,7.1,6.1,8.2,7.6,5.6,5.4,6.9
14,1965,4.5,5.4,4.2,6.6,7.8,8.6,8.2,4.6,7.8,5.4,6.0,4.9,6.2
15,1966,3.3,5.7,6.2,8.0,6.4,9.3,8.3,6.9,7.8,5.4,5.4,5.3,6.5
16,1967,3.5,5.6,5.7,7.5,6.7,7.3,7.6,7.3,8.6,6.6,7.4,3.9,6.5
17,1968,3.4,4.1,6.5,6.6,7.2,8.1,8.8,7.0,7.5,7.1,3.6,5.1,6.3
18,1969,5.1,6.7,6.7,6.0,6.1,7.2,7.2,7.1,7.6,7.3,6.8,3.4,6.4
19,1970,4.6,4.4,6.2,8.1,7.8,8.2,7.5,6.9,8.1,6.6,5.4,4.8,6.6
20,1971,5.5,6.4,4.7,6.7,7.2,9.0,8.1,6.7,8.3,7.1,4.5,4.8,6.6
