,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1882,　,　,　,　,　,　,　,　,　,×,×,-2.4,-2.4 ]
1,1883,-5.1,-7.7,-3.3,2.3,7.2,12.6,19.5,18.4,14.4,9.0,1.5,-1.6 ),5.6
2,1884,-5.1,-5.0,-2.7,3.1,7.9,13.6,18.9,18.2,15.5,6.6,0.8,-3.7,5.7
3,1885,-5.9,-5.1,-2.3,2.7,7.4,12.7,17.4,20.1,16.3,8.8,3.6,-0.4,6.3
4,1886,-4.1,-6.0,-2.6,4.1,9.4,13.4,18.8,20.8,17.8,8.0,2.6,-2.2,6.7
5,1887,-6.5,-4.8,-0.5,3.4,7.6,14.4,18.2,19.8,13.1,7.3,4.1,-2.6,6.1
6,1888,-5.2,-8.7,-2.8,3.8,8.2,11.4,19.3,19.3,13.4,8.4,4.0,-1.2,5.8
7,1889,-6.9,-5.1,-2.3,3.7,7.8,13.3,18.3,19.8,12.6,4.6,0.6,-2.1,5.4
8,1890,-5.2,-4.0,1.2,5.7,8.6,14.2,17.3,20.9,18.3,8.2,3.2,1.6,7.5
9,1891,-5.4,-6.6,0.3,2.6,9.1,14.1,19.0,18.2,16.6,7.0,3.1,-0.5,6.5
10,1892,-5.2,-5.0,-3.0,4.5,9.4,14.6,20.1,19.5,17.1,6.8,1.3,-4.1,6.3
11,1893,-5.4,-8.8,-3.2,4.7,8.1,13.4,16.7,19.9,12.8,8.2,3.8,-2.8,5.6
12,1894,-6.2,-5.0,-0.2,5.9,8.9,16.8,20.9,19.6,15.5,6.0,4.0,-1.0,7.1
13,1895,-6.9,-6.3,-2.3,4.2,9.9,13.9,16.9,20.1,14.8,7.8,2.9,-1.1,6.2
14,1896,-3.4,-6.0,-3.3,4.6,9.3,15.6,17.9,20.2,14.3,7.3,3.6,-3.4,6.4
15,1897,-4.9,-5.1,-2.2,3.3,9.4,13.2,18.0,19.6,14.5,7.0,3.0,-3.2,6.1
16,1898,-3.0,-2.6,-4.1,3.4,8.6,13.3,19.7,20.8,14.7,6.7,2.7,-0.7,6.6
17,1899,-3.8,-5.3,-0.6,4.8,10.0,15.4,18.9,20.5,14.2,9.2,2.8,-0.8,7.1
18,1900,-6.4,-6.0,-3.2,4.1,10.0,12.6,16.5,20.7,15.5,8.6,4.2,-1.8,6.2
19,1901,-3.3,-5.6,-2.6,4.2,8.1,13.7,17.8 ),19.6,15.6,9.2,3.1,-2.2,6.5
20,1902,-5.2,-5.7,-0.4,2.8,8.6,12.9,16.6,17.9,16.8,8.2,4.2,1.0,6.5
21,1903,-1.2,-2.6,0.4,5.4,8.6,13.6,17.8,18.6,17.0,8.5,3.0,-3.4,7.1
22,1904,-6.0,-4.8,-1.2,4.9,8.8,15.3,19.6,19.3,14.2,8.9,2.5,-0.7,6.7
23,1905,-2.2,-5.4,-1.9,3.0,9.0,15.2,18.9,17.0,14.7,8.9,2.6,-0.1,6.6
24,1906,-5.7,-6.8,-1.1,5.0,8.5,12.3,20.2,19.0,11.6,7.6,1.1,-0.4,5.9
25,1907,-5.3,-7.4,-1.6,3.7,9.5,12.8,16.8,21.8,14.1,6.0,2.8,-3.3,5.8
26,1908,-5.5,-6.2,-2.3,3.8,8.7,13.8,16.9,20.5,12.4,6.6,1.0,-2.3,5.6
27,1909,-7.8,-5.7,-3.3,4.4,9.1,14.5,18.7,19.1,14.9,7.1,2.0,-2.8,5.9
28,1910,-3.6,-5.9,-3.9,2.4,8.2,14.2,18.5,18.3,13.3,8.0,2.7,-4.8,5.6
29,1911,-7.6,-3.7,-0.9,4.2,6.8,14.6,18.8,19.9,14.9,8.7,5.3,-3.1,6.5
30,1912,-4.5,-2.3,-0.8,3.6,7.9,14.2,18.0,19.7,13.3,6.6,1.4,-2.7,6.2
31,1913,-6.0,-5.9,-2.9,3.5,8.0,13.4,17.9,16.9,11.8,7.1,1.8,-2.0,5.3
32,1914,-2.0,-4.7,0.3,2.5,9.9,14.8,18.7,20.1,15.1,7.6,4.5,-1.3,7.1
33,1915,-5.7,-5.0,-2.3,2.9,6.9,15.8,18.6,20.0,15.9,10.8,3.1,-0.4,6.7
34,1916,-2.6,-4.2,-2.7,2.8,8.5,17.3,18.7,19.7,16.4,9.1,2.6,-1.1,7.0
35,1917,-4.2,-6.0,-2.3,3.8,7.0,13.4,19.2,19.1,15.5,10.1,2.1,-3.2,6.2
36,1918,-5.6,-6.1,-1.1,3.1,9.3,14.4,20.6,19.7,15.8,8.4,2.5,-4.1,6.4
37,1919,-5.2,-6.0,-0.7,2.3,7.5,14.0,18.3,18.6,16.1,9.4,3.7,-2.3,6.3
38,1920,-1.8,-6.3,-2.0,3.8,10.5,14.7,20.5,20.9,13.5,8.3,4.1,-2.7,7.0
39,1921,-4.1,-5.3,-2.5,5.6,7.2,12.6,19.6,19.6,15.1,7.6,2.1,-2.2,6.3
40,1922,-6.9,-3.2,-2.2,4.6,7.4,14.6,20.3,21.7,16.8,9.7,3.7,-2.0,7.0
41,1923,-6.9,-6.6,-1.6,2.9,9.9,14.2,18.2,19.9,16.3,8.5,3.7,-1.7,6.4
42,1924,-7.5,-4.6,-5.0,4.6,8.3,14.2,20.8,20.0,14.3,6.5,3.5,-2.9,6.0
43,1925,-6.4,-6.9,-2.7,3.2,9.1,14.7,17.5,21.3,16.1,8.7,3.4,-0.2,6.5
44,1926,-5.0,-4.8,-1.3,2.0,9.9,12.7,18.3,19.4,16.1,6.9,2.4,-2.7,6.2
45,1927,-3.9,-5.7,-2.6,4.9,8.2,13.0,20.7,20.5,14.2,8.4,3.6,-1.7,6.6
46,1928,-4.7,-4.7,-1.5,3.1,9.5,13.7,19.2,19.6,17.5,8.8,3.5,-2.5,6.8
47,1929,-5.2,-6.3,-1.7,2.5,8.4,14.0,20.5,20.4,13.2,8.8,2.9,0.0,6.5
48,1930,-4.3,-3.3,0.4,3.1,9.2,13.6,20.0,21.3,14.3,8.2,2.2,-2.4,6.9
49,1931,-4.9,-6.8,-0.7,3.0,6.8,13.1,15.9,20.1,15.3,8.4,2.8,-0.6,6.0
50,1932,-1.9,-3.7,-1.3,3.3,8.9,14.7,19.0,19.7,14.9,9.2,4.4,-0.4,7.2
51,1933,-3.9,-6.8,-3.7,2.6,10.1,14.5,21.5,21.3,14.0,7.9,2.3,-1.0,6.6
52,1934,-4.4,-3.9,-2.7,2.6,8.7,15.1,17.8,18.5,14.9,6.8,2.9,-1.2,6.3
53,1935,-4.8,-3.4,-0.9,2.2,8.2,13.6,19.0,19.1,14.2,10.3,2.3,-3.0,6.4
54,1936,-5.7,-4.8,-2.9,2.9,8.9,14.6,18.3,19.7,17.1,8.0,2.5,-0.7,6.5
55,1937,-4.0,-3.3,-2.2,2.8,8.1,12.8,21.2,21.6,14.1,7.6,3.3,-2.9,6.6
56,1938,-5.2,-4.3,-1.4,4.6,10.0,13.6,19.6,22.0,15.1,7.8,3.0,-1.7,6.9
57,1939,-6.9,-5.1,-2.3,2.7,8.2,14.7,20.3,20.8,17.1,8.9,2.7,-1.5,6.6
58,1940,-7.0,-5.1,-1.1,3.2,7.7,13.8,19.9,18.9,13.6,7.2,4.0,-0.5,6.2
59,1941,-2.5,-4.5,-0.9,2.4,7.5,13.7,17.9,19.6,13.9,8.2,0.9,-1.3,6.2
60,1942,-5.2,-6.2,-0.4,4.0,7.1,14.6,19.6,19.1,14.3,7.3,2.7,-2.1,6.2
61,1943,-5.1,-4.2,-2.8,3.0,8.4,14.4,20.6,21.8,17.7,8.2,2.2,-1.7,6.9
62,1944,-5.5,-5.6,-2.0,2.4,8.2,15.2,19.9,20.3,14.9,8.1,2.6,-3.5,6.3
63,1945,-8.0,-6.7,-2.6,2.2,6.9,13.8,16.0,20.8,13.2,9.5,2.3,-2.4,5.4
64,1946,-4.5,-3.2,-2.8,3.4,7.7,16.1,20.5,21.1,13.5,9.0,3.8,-2.1,6.9
65,1947,-4.9,-6.1,-2.6,2.2,6.7,13.2,19.1,20.3,14.9,7.5,2.3,-4.3,5.7
66,1948,-2.3,-4.7,-2.3,4.2,9.3,14.8,21.0,20.4,15.1,9.0,2.5,0.5,7.3
67,1949,-0.9,-0.9,-2.1,3.0,9.8,13.3,18.8,20.7,14.4,8.5,1.5,-1.6,7.0
