,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1897,16,29,40,40,41,34,34,43,31,42,37,7,34
1,1898,19,20,15,53,41,41,34,49,33,55,27,18,35
2,1899,16,30,36,46,61,42,45,33,47,29,9,14,36
3,1900,10,18,36,40,45,55,43,48,42,42,23,14,37
4,1901,17,27,42,58,54,44,41,40,48,38,28,15,39
5,1902,10,28,42,51,44,57,29,43,42,54,35,21,39
6,1903,30,16,38,55,42,43,33,52,41,38,27,11,37
7,1904,18,36,33,56,52,47,40,71,41,37,25,26,42
8,1905,27,12,47,37,44,29,41,39,44,45,25,15,35
9,1906,11,18,32,40,45,38,27,36,52,43,20,12,33
10,1907,24,26,37,44,38,37,54,43,39,46,38,9,38
11,1908,11,24,30,48,44,41,38,55,50,52,22,12,37
12,1909,22,18,34,52,38,37,34,44,38,34,32,19,35
13,1910,25,19,35,53,48,44,40,41,42,47,27,14,38
14,1911,27,38,38,42,57,35,24,37,40,33,24,14,35
15,1912,12,20,31,51,48,27,32,57,41,46,22,11,35
16,1913,15,28,41,50,47,38,26,56,59,40,34,16,39
17,1914,17,39,38,51,48,48,31,47,49,50,30,15,40
18,1915,14,22,28,50,40,43,35,48,42,36,32,24,36
19,1916,13,27,34,47,52,39,47,69,31,41,30,20,39
20,1917,24,32,35,47,44,46,41,56,37,40,29,26,39
21,1918,15,27,30,48,36,41,26,44,35,46,22,11,33
22,1919,14,33,34,44,52,43,56,48,42,45,42,20,41
23,1920,18,30,53,53,28,50,44,47,60,55,33,18,42
24,1921,17,23,35,46,52,52,37,54,40,42,27,21,39
25,1922,11,45,37,58,52,55,42,41,49,55,27,15,42
26,1923,15,32,47,60,52,44,33,58,38,54,31,21,42
27,1924,31,22,40,60,49,46,64,73,55,55,34,25,48
28,1925,21,31,24,52,53,61,54,55,46,47,30,14,43
29,1926,9,20,31,49,55,48,44,49,46,40,36,21,39
30,1927,24,29,39,49,46,60,36,46,51,53,37,23,42
31,1928,24,22,41,55,50,40,55,68,38,44,26,10,42
32,1929,15,31,37,45,35,39,53,53,44,50,29,23,39
33,1930,6,36,36,53,56,47,35,41,47,56,21,15,39
34,1931,12,24,44,45,44,31,34,45,51,41,38,12,36
35,1932,29,24,39,43,55,47,28,40,41,49,32,19,38
36,1933,22,24,38,52,52,46,46,53,49,45,28,19,41
37,1934,23,18,36,53,39,40,41,39,45,48,24,19,37
38,1935,21,25,37,52,55,45,36,43,50,45,30,15,39
39,1936,20,26,41,43,43,39,29,36,43,52,32,19,36
40,1937,16,30,31,61,44,61,37,57,56,51,33,15,43
41,1938,23,30,44,55,43,48,37,55,49,49,31,11,41
42,1939,20,25,37,54,42,47,44,48,50,48,38,14,40
43,1940,22,30,49,50,54,40,25,50,43,62,36,15,41
44,1941,28,27,38,45,51,53,30,30,44,51,55,23,40
45,1942,14,21,41,58,52,51,46,49,49,61,35,20,43
46,1943,27,29,51,56,44,55,56,62,40,49,41,22,46
47,1944,26,26,43,48,50,46,46,69,61,50,38,11,44
48,1945,18,24,36,53,41,45,36,44,53,36,40,13,38
49,1946,17,21,27,53,44,51,46,67,64,51,43,15,43
50,1947,26,31,36,45,63,42,43,51,46,51,35,11,42
51,1948,23,25,46,55,56,39,45,61,44,53,38,33,44
52,1949,30,34,34,44,59,49,41,52,53,58,35,12,43
53,1950,21,27,48,54,57,32,45,59,34,49,34,18,42
54,1951,19,43,40,48,54,51,54,59,54,59,39,38,48
55,1952,14,25,51,48,56,45,43,35,41,47,33,15,39
56,1953,14,27,37,57,46,47,34,51,47,61,19,14,39
57,1954,19,27,42,48,45,40,48,40,45,46,43,17,40
58,1955,13,28,28,52,33,46,49,57,39,35,27,21,38
59,1956,18,24,32,55,53,36,31,39,45,46,22,9,36
60,1957,14,17,37,53,55,45,35,34,48,46,43,26,39
61,1958,16,26,45,44,53,50,42,38,30,43,34,23,38
62,1959,19,30,39,52,53,36,36,48,44,47,26,16,39
63,1960,15,31,37,52,39,44,45,58,47,44,24,11,39
64,1961,18,25,42,54,54,42,36,48,46,39,40,23,40
65,1962,22,24,37,45,59,43,50,45,31,48,27,22,39
66,1963,17,33,50,47,54,36,42,50,55,46,40,16,42
67,1964,19,31,39,43,53,40,35,40,39,47,28,21,37
68,1965,20,14,34,47,50,49,24,50,46,58,26,22,38
69,1966,19,29,39,48,50,43,28,40,46,44,33,18,37
70,1967,16,40,41,50,48,44,46,47,35,50,24,29,40
71,1968,19,41,49,55,40,47,57,38,48,43,40,26,43
72,1969,17,27,45,48,53,42,47,46,62,54,26,14,42
73,1970,30,29,34,61,57,55,43,44,57,54,33,19,45
74,1971,26,33,47,58,51,39,38,48,43,47,45,24,43
75,1972,29,34,50,54,55,51,51,52,48,53,35,22,46
76,1973,33,25,43,59,58,46,53,49,45,46,34,24,45
77,1974,38,31,46,46,52,41,38,51,46,42,31,15,41
78,1975,29,28,48,54,48,30,34,58,51,57,42,24,43
79,1976,14,41,44,64,59,35,55,42,48,50,31,21,44
80,1977,24,33,47,50,48,55,47,43,50,62,34,22,44
81,1978,23,31,45,46,53,48,54,58,54,52,39,22,45
82,1979,21,38,42,45,51,39,48,60,52,50,35,26,43
83,1980,22 ),27,45,47,55,53,36,42,52,49 ),42,30,43
84,1981,31,34,50,54,52,35,42,42,55,52,25,18,42
85,1982,26 ),35,49 ),53,47,55,55,41,55,64,35,29,47
86,1983,27,20,51,58,57,43,32,52,55,48,39,32,44
87,1984,35,24,44,57,48,45,39,66,54,56,45,20,45
88,1985,28,24,46,52,55,52,38,56,50,47,32,24,44
89,1986,16,24,31,45,38,47,31,45,45,34,28,24,35
90,1987,10,29,31 ),51,55 ),48,33,27,43,48,27,20,36
91,1988,10,15,38,44,45,33,41,45,38,40,32,18,35
92,1989,25,29,33,43,44,40,48,49,23,39,28,19,36
93,1990,18,29,48,47,52,46,37,46,37,51,34,15,40
94,1991,18,18,28,54,58 ),43,35,46,45,23,31,19,37
95,1992,14,20,32,40,49,38,38,38,46,45,35,19,36
96,1993,25,19,41,39,41,27,29,46,46,41,36,16,35
97,1994,21,20,33,58,49,40,46,49,38,42,33,14,39
98,1995,19,31,41 ),40,40,38,35,24,43,43,34 ),18,35
99,1996,16,24,28,41,38,33,28,51,42,47,24,31,34
100,1997,13,20 ),36 ),43,37,33,44,39,28,41,33,24,34
101,1998,8,32,42,47,50,34,40,24 ),41,48,25,14,35
102,1999,16 ),16,29,46,50,45 ),33,54,36,40,33,17,36
103,2000,14,22,29,36,35,44,36,52,36 ),43,26,17,34
104,2001,12,16,39,56,45,41,30,43,46,40,32,8,36
105,2002,19,30,31,52,44,45,21,23,46,38,17,17 ),33
106,2003,15,30,35,49,48 ),36 ),31,30,31,51,32,11,34
107,2004,21,24,40,40,39,37,37,44,40,34 ),23,18,34
108,2005,16,14 ),25,43,41,36,30,45 ),44,46,29,20,34
109,2006,10,20,34,30,46,31,28,48,48,43,28,17,33
110,2007,18,34,25 ),45,40,51,46,46,36,49,27,18,38
111,2008,12,22,39,46,45,43,30,38,52,47,33,23,37
