,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1896,42.1,112.0,98.6,134.0,154.0,138.0,128.8,90.5,64.0,95.6,60.0,58.3,1175.9
1,1897,59.3,95.7,131.8,191.7,192.2,105.7,183.4,178.9,120.9,108.0,83.4,32.6,1483.6
2,1898,38.7,79.0,55.8,180.6,121.0,202.5,114.5,146.4,95.4,119.5,47.3,32.8,1233.5
3,1899,43.6,131.1,152.8,141.1,208.1,137.4,176.4,96.9,163.8,85.9,25.8,27.3,1390.2
4,1900,55.1,65.5,114.9,137.3,145.6,194.3,139.8,129.3,111.4,89.3,63.3,36.6,1282.4
5,1901,60.2,84.1,141.3,196.1,227.8,140.6,173.6,117.3,99.4,120.5,63.2,35.0,1459.1
6,1902,65.9,94.4,124.5,128.0,146.9,183.8,151.9,191.5,128.1,111.3,70.5,38.9,1435.7
7,1903,74.1,118.6,169.8,191.3,155.1,182.7,157.1,179.9,176.1,113.9,57.9,37.8,1614.3
8,1904,56.9,102.7,137.6,215.1,210.4,202.2,192.6,210.8,141.9,90.6,55.4,58.1,1674.3
9,1905,62.7,104.3,158.5,148.3,157.2,125.5,177.5,161.3,135.9,141.1,67.9,59.4,1499.6
10,1906,91.0,104.8,143.6,151.9,166.8,183.0,199.3,183.5,167.4,124.2,59.6,39.9,1615.0
11,1907,86.7,127.7,181.0,154.7,154.1,187.4,216.5,156.1,126.8,121.5,43.9,36.6,1593.0
12,1908,72.0,92.7,115.5,181.4,151.2,178.2,184.4,175.5,154.7,131.0,54.5,58.3,1549.4
13,1909,114.5,65.4,163.2,168.5,161.1,229.6,151.2,192.2,136.8,81.9,66.0,41.2,1571.6
14,1910,76.3,79.1,170.3,193.5,184.6,200.8,179.8,190.7,114.5,178.1,52.5,67.2,1687.4
15,1911,76.0,96.4,157.7,174.3,198.7,191.3,164.1,147.3,186.5,119.8,60.7,48.0,1620.8
16,1912,68.6,100.4,112.9,158.1,200.5,159.3,154.7,171.4,125.4,113.8,51.9,50.3,1467.3
17,1913,77.4,76.3,130.8,189.0,156.9,150.8,127.2,180.0,139.0,105.4,41.8,39.5,1414.1
18,1914,42.9,116.0,102.3,210.4,189.6,174.8,171.9,119.8,134.9,145.4,57.0,32.0,1497.0
19,1915,64.1,85.8,136.3,154.2,205.2,179.5,142.7,208.1,181.1,111.1,77.6,43.7,1589.4
20,1916,50.0,81.9,144.2,186.5,177.1,196.0,233.6,294.6,160.9,143.3,73.3,58.8,1800.2
21,1917,84.1,108.7,186.9,158.0,175.3,199.5,141.3,206.3,144.5,133.3,75.4,78.7,1692.0
22,1918,75.4,94.1,131.9,212.9,134.7,134.9,135.3,147.1,105.3,157.4,48.0,46.6,1423.6
23,1919,41.3,93.4,99.2,154.2,212.7,172.5,235.0,197.7,112.7,115.9,85.0,40.0,1559.6
24,1920,48.4,130.9,159.5,145.6,107.6,192.3,177.4,115.4,125.7,117.4,62.5,67.2,1449.9
25,1921,64.9,95.2,124.6,150.9,196.2,226.7,155.2,154.3,106.7,143.9,45.9,24.8,1489.3
26,1922,83.4,69.5,117.8,173.3,139.9,198.7,143.0,121.3,135.5,104.7,53.9,30.0,1371.0
27,1923,48.7,105.0,112.1,169.3,180.3,172.6,166.3,160.9,104.6,126.4,56.1,24.6,1426.9
28,1924,27.5,54.9,185.3,184.4,192.9,195.3,213.2,229.2,153.2,122.7,60.9,73.6,1693.1
29,1925,56.2,106.9,151.0,202.2,220.9,260.9,205.9,165.9,140.9,143.2,74.0,57.6,1785.6
30,1926,60.4,68.5,115.2,116.4,202.5,183.2,165.2,183.5,115.6,103.2,64.8,52.0,1430.5
31,1927,76.8,108.9,156.6,199.5,179.2,233.6,218.5,193.5,167.7,142.7,89.9,40.9,1807.8
32,1928,77.5,111.2,161.7,256.4,186.4,203.9,272.6,258.0,122.8,139.2,62.5,57.6,1909.8
33,1929,74.3,101.5,152.4,169.3,220.3,183.9,175.9,144.9,193.6,148.6,72.1,47.1,1683.9
34,1930,88.5,110.7,128.5,208.8,234.4,207.3,229.6,170.2,144.6,155.5,70.6,65.0,1813.7
35,1931,60.9,100.9,112.8,139.9,161.3,168.4,120.0,196.1,181.2,128.3,83.7,40.4,1493.9
36,1932,65.1,101.1,140.9,175.8,175.1,222.3,106.7,121.9,121.3,167.4,63.6,51.3,1512.5
37,1933,87.2,84.4,165.2,218.1,236.1,215.2,232.0,176.4,159.0,135.9,54.0,61.0,1824.5
38,1934,91.6,87.5,130.0,208.4,147.6,158.4,245.5,204.8,157.2,148.6,80.2,63.5,1723.3
39,1935,76.1,92.8,139.4,185.2,223.7,154.1,198.3,158.7,172.8,128.7,97.1,78.6,1705.5
40,1936,64.8,109.6,164.1,170.9,186.9,249.7,161.5,187.4,179.1,158.2,84.8,66.9,1783.9
41,1937,73.6,96.6,135.8,221.9,144.1,281.9,185.0,201.5,179.5,151.7,95.3,58.9,1825.8
42,1938,99.1,120.7,197.8,166.4,211.2,238.7,229.3,279.5,157.5,175.5,87.7,75.3,2038.7
43,1939,100.2,121.1,157.2,227.1,200.3,184.3,214.8,227.2,139.0,128.5,86.7,46.0,1832.4
44,1940,137.8,122.1,168.6,193.3,206.7,142.1,140.7,220.3,144.8,163.3,93.6,64.3,1797.6
45,1941,70.9,76.5,127.5,196.1,218.1,229.7,165.2,152.2,132.2,111.0,115.0,58.6,1653.0
46,1942,77.4,121.4,142.6,169.8,166.6,194.4,197.0,144.1,153.9,158.3,78.7,63.7,1667.9
