,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1933,48.8,120.4,117.8,138.6,143.9,133.4,126.5,136.2,151.6,133.4,133.1,84.5,1468.2
1,1934,104.7,118.2,120.5,139.4,246.7,136.5,155.4,217.3,136.8,163.8,134.4,129.2,1802.9
2,1935,114.3,121.0,165.2,151.0,230.8,182.7,174.1,178.3,108.4,177.4,143.3,74.7,1821.2
3,1936,66.4,93.0,139.7,125.7,150.4,149.9,146.4,85.1,178.1,180.6,140.4,77.4,1533.1
4,1937,82.6,82.1,144.0,151.0,185.0,120.9,98.8,173.5,124.2,132.9,72.6,81.1,1448.7
5,1938,77.1,117.7,124.4,197.4,150.0,111.3,162.3,156.1,168.9,153.3,171.7,119.3,1709.5
6,1939,120.9,120.8,138.5,124.3,199.9,148.0,204.8,175.2,158.6,131.6,134.2,173.5,1830.3
7,1940,126.7,102.5,160.0,208.6,243.8,217.6,206.5,126.1,112.8,176.2,162.0,133.6,1976.4
8,1941,100.5,112.5,187.2,234.9,224.8,118.2,82.6,147.6,134.0,203.7,178.0,126.3,1850.3
9,1942,115.2,110.6,151.9,212.9,196.2,113.4,195.5,169.0,122.3,185.7,165.1,106.1,1843.9
10,1943,127.9,137.9,166.9,187.9,201.1,112.0,87.5,176.2,124.9,151.7,151.0,144.7,1769.7
11,1944,126.0,120.4,165.5,159.8,191.3,205.9,138.4,244.5,167.0,150.3,110.8,87.4,1867.3
12,1945,83.1,121.0,151.2,203.8,196.5,106.0,127.0,157.5,83.9,97.3,153.3,105.2,1585.8
13,1946,108.0,140.5,126.2,142.8,121.6,98.4,206.9,164.4,169.9,157.8,128.0,75.4,1639.9
14,1947,86.2,88.4,150.9,223.9,160.8,117.7,135.6,191.3,142.5,96.6,159.2,90.3,1643.4
15,1948,95.9,135.2,127.7,152.5,136.0,112.4,63.5,140.6,111.9,152.5,134.2,107.9,1470.3
16,1949,92.6,61.6,147.4,174.1,154.7,73.5,105.5,122.6,135.0,147.2,113.6,74.1,1401.9
17,1950,84.3,93.2,123.5,127.0,140.0,138.8,109.8,166.3,131.8,146.3,97.3,98.8,1457.1
18,1951,125.7,115.4,156.6,157.4,202.2,176.5,116.4,206.0,141.1,157.1,128.4,121.2,1804.0
19,1952,75.2,95.1,134.9,178.3,180.1,103.0,122.8,166.6,122.2,193.7,154.6,120.5,1647.0
20,1953,100.2,109.7,145.7,199.4,168.1,48.7,106.7,163.7,132.3,188.6,132.9,112.7,1608.7
21,1954,65.2,143.1,178.0,137.6,140.2,91.2,39.5,174.2,130.5,143.7,174.8,134.6,1552.6
22,1955,94.1,142.8,114.2,152.4,162.0,62.4,110.6,151.5,141.0,163.7,155.9,171.5,1622.1
23,1956,87.3,117.7,122.2,191.2,128.4,106.0,166.8,147.1,108.8,152.2,162.2,122.7,1612.6
24,1957,124.6,105.4,149.3,120.0,180.8,118.5,52.6,132.7,126.1,187.0,163.2,99.4,1559.6
25,1958,86.8,121.1,148.6,117.4,172.9,185.2,152.1,121.0,152.7,119.5,141.6,140.1,1659.0
26,1959,74.7,59.8,127.1,133.2,156.2,177.3,89.3,156.2,155.9,148.7,131.2,81.5,1491.1
