,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1966,　,　,　,13.0,16.9,19.4,23.7,26.0,22.7,18.0,12.1,5.5,17.5 ]
1,1967,3.7,4.0,8.6,13.5,19.0,21.7,25.2,26.6,21.8,16.1,11.2,6.2,14.8
2,1968,5.1,3.3,9.3,13.0,16.4,20.6,23.6,25.9,20.9,15.4,12.9,9.4,14.7
3,1969,5.0,4.9,7.3,13.6,18.4,20.8,23.6,26.4,22.1,16.0,11.5,6.9,14.7
4,1970,3.7,5.3,4.8,12.1,18.1,19.7,23.9,25.7,23.0,16.8,11.4,5.7,14.2
5,1971,4.2,5.0,7.4,13.1,17.5,21.2,25.6,26.6,21.2,15.7,11.6,8.2,14.8
6,1972,6.9,5.3,9.3,13.2,18.3,21.0,25.1,26.4,22.9,18.4,12.2,7.8,15.6
7,1973,6.0,6.7,7.6,14.9,17.6,19.6,25.4,28.1,23.0,16.9,12.0,6.3,15.3
8,1974,3.8,4.7,6.9,14.1 ),18.6,21.3,23.0,26.5,22.4,17.4,11.2,6.1,14.7
9,1975,4.4,4.5,7.4,13.6,17.9,20.8,24.8,26.3,24.4,16.9,12.4,6.1,15.0
10,1976,5.3,6.3,8.5,12.6,17.3,20.9,23.1,24.6,21.6,17.1,11.1,7.0,14.6
11,1977,2.9,4.5,8.8,14.4,17.7,20.2,24.8,24.3,23.7,18.1,14.5,8.7,15.2
12,1978,5.6,3.8,8.0,13.3,18.2,23.1,26.7,27.9,21.6,16.8,12.2,7.9,15.4
13,1979,5.8,8.2,9.4,13.3,17.7,23.4,24.2,26.7,23.4,18.9,14.0,9.3,16.2
14,1980,5.5,4.8,7.8,13.1,18.5,22.8,23.3,22.6,22.6,17.8,12.5,7.4,14.9
15,1981,3.9,4.6,8.4,13.0,16.6,19.2,25.4,25.5,21.1,17.2,9.9,6.8,14.3
16,1982,5.1,4.7,8.9,13.2,19.7,20.4,21.9,26.1,21.3,16.8,13.5,8.4,15.0
17,1983,5.3,5.2,7.7,14.7,18.6,19.2,22.6,26.2,22.1,16.8,11.3,6.2,14.7
18,1984,2.6,2.1,4.9,10.2,15.8,20.5,24.8,27.2,22.4,16.6,11.2,6.7,13.8
19,1985,3.2,6.0,7.3,13.4,18.3,19.7,25.7,27.2,22.7,17.5,13.1,7.2,15.1
20,1986,4.2,3.6,7.3,13.1,17.1,20.3,23.4,26.2,23.3,16.6,11.5,8.0,14.6
21,1987,5.4,6.3,9.0,13.4,18.6,21.0,26.2,26.5,22.5,18.3,12.4,7.6,15.6
22,1988,7.2,4.4,8.1,13.8,17.6,21.6,21.7,26.3,22.5,16.8,11.3,7.8,14.9
23,1989,7.7,7.1,9.2,15.1,17.2,19.9,23.5,26.5,24.8,17.0,13.9,8.4,15.9
24,1990,5.0,7.4,10.4,14.3,18.7,22.8,25.0,27.9,24.5,18.7,14.9,9.7,16.6
25,1991,6.0,6.4,9.1,14.8,18.2,22.8,25.8,24.9,23.7,17.8,12.5,8.8,15.9
26,1992,6.4,6.7,9.3,14.9,17.0,19.9,24.7,26.5,22.7,17.0,13.0,9.2,15.6
27,1993,5.7,7.4,8.1,12.7,17.3,21.2,22.0,24.6,22.5,17.1,13.9,8.5,15.1
28,1994,5.3,6.3,7.5,15.2,19.0,21.8,27.5,28.4,24.5,19.7,13.0,8.7,16.4
29,1995,5.9,6.0,8.6,14.6,18.7,20.1,25.7,28.7,23.1,19.0,12.5,7.5,15.9
30,1996,6.3,5.1,8.9,12.1,17.4,21.7,25.2,25.3,21.8,17.6,12.9,9.0,15.3
31,1997,6.7,6.8,10.3,14.9,18.8,22.1,25.6,26.4,22.8,18.5,14.2,9.0,16.3
32,1998,5.3,6.7,9.5,15.6,20.1,20.7,24.5,26.8,23.9,19.9,13.5,8.6,16.3
33,1999,6.2,6.5,9.6,14.6,19.6,22.1,25.5,28.0,25.8,19.1,13.9,8.6,16.6
34,2000,7.1,5.6,9.1,14.3,18.9,21.6,26.7,27.4,24.8,18.2,12.8,8.1,16.2
35,2001,4.3,5.9,9.4,14.8,18.7,22.2,27.5,25.6,22.4,18.3,12.5,7.8,15.8
36,2002,7.3,7.4,11.8,15.3,17.7,20.9,26.9,27.2,22.4,18.5,11.3,6.7,16.1
37,2003,5.1,5.7,8.3,14.6,18.2,22.6,22.3,25.3,23.6,17.3,14.1,9.0,15.5
38,2004,5.9,8.1,9.2,15.8,18.9,23.0,27.5,26.7,24.7,17.2,15.2,9.6,16.8
39,2005,6.3,6.0,8.8,14.4,16.9,22.2,24.9,27.4,24.3,18.8,12.9,6.2,15.8
40,2006,4.7,6.5,9.6,13.3,18.5,21.9,25.1,26.8,23.2,19.3,14.1,9.2,16.0
41,2007,7.4,8.4,10.6,13.5,19.4,22.6,23.8,28.3,24.8,18.7,13.0,9.0,16.6
42,2008,5.6,5.4,10.3,14.0,17.9,20.8,26.2,26.8,23.8,19.1,13.2,9.7,16.1
43,2009,6.7,7.6,9.7,15.4,19.6,21.9,25.8,25.8,22.4,18.7,13.3,8.9,16.3
44,2010,7.0,6.4,8.9,12.0,18.5,22.9,27.7,29.0,24.8,18.6,13.6,10.2,16.6
45,2011,5.2,7.1,8.2 ),14.4,18.4,22.3 ),26.8,27.2,25.0,19.2,14.7,7.2,16.3
46,2012,4.4,5.2,8.7,14.0,19.2,20.7,25.7,28.2,25.5,18.9,12.6,7.1,15.9
47,2013,5.3,5.8,11.7,14.8,18.9,21.9,26.3,28.5,24.5,19.5,13.4,8.2,16.6
48,2014,6.2,5.7,10.0,14.3,19.6,22.7,26.1,27.1,22.6,18.8,14.1,7.8,16.3
49,2015,6.5,6.2,10.5,14.5,21.0,22.2,26.3,26.8,23.0,19.0,14.7,10.1,16.7
50,2016,6.7,7.6,10.3,15.7,20.1,22.6,25.4,27.3,24.9,19.4,12.1,9.9,16.8
51,2017,6.7,7.4,8.8,14.8,19.9,22.1,27.4,26.7,23.3,17.5,13.1,7.8,16.3
52,2018,5.6,5.8,11.9,17.2,20.0,22.5,28.2,28.1,23.5,19.7,14.6,8.9,17.2
53,2019,6.3,7.6,10.3 ],　,　,　,　,　,　,　,　,　,7.0 ]
