,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,1.1,1.7,1.6,1.8,1.3,1.0,1.0,1.4,0.9,0.9,1.3,1.3,1.3
1,1952,1.6,1.3,1.9,1.7,1.8,1.3,1.3,1.2,0.6,0.8,0.9,1.1,1.3
2,1953,2.1,1.9,1.9,1.9,1.8,1.4,1.4,1.3,1.2,0.9,1.3,1.2,1.5
3,1954,1.2,1.3,1.7,1.8,1.7,1.8,1.8,1.6,1.3,0.9,1.1,1.7,1.5
4,1955,1.8,1.9,1.9,1.9,1.7,1.5,1.5,1.3,1.0,1.0,1.2,1.8,1.5
5,1956,1.8,1.8,1.7,1.8,1.6,1.5,1.4,1.4,1.0,0.7,0.9,1.3,1.4
6,1957,1.6,1.5,2.3,1.7,1.4,1.1,1.0,1.1,0.6,0.6,0.6,1.1,1.2
7,1958,1.7,1.8,2.0,2.1,1.9,1.8,1.5,1.5,1.3,0.8,0.7,1.5,1.6
8,1959,1.7,1.5,2.0,2.2,1.7,1.7,1.3,1.7,1.4,1.2,1.0,1.3,1.6
9,1960,2.2,1.9,2.5,2.4,1.7,1.6,1.9,1.8,1.3,1.3,1.3,1.6,1.8
10,1961,1.8,2.0,1.7,1.8,1.5,1.6,1.5,1.4,1.4,1.1,1.2,1.4,1.5
11,1962,1.5,1.9,1.9,2.1,1.6,1.3,1.2,1.5,1.2,1.1,1.0,1.2,1.5
12,1963,1.9,1.9,2.0,1.7,1.4,1.3,1.4,1.2,1.1,1.0,1.2,1.4,1.5
13,1964,1.4,1.9,1.9,1.8,1.6,1.4,1.3,1.3,1.2,1.1,1.3,1.1,1.4
14,1965,1.6,1.7,2.2,2.2,1.5,1.5,1.2,1.5,1.3,1.0,1.3,1.4,1.5
15,1966,1.5,1.6,1.9,1.8,1.6,1.5,1.1,1.4,1.0,0.9,1.1,1.3,1.4
16,1967,1.6,1.4,1.7,1.6,1.6,1.5,1.2,1.2,1.1,1.0,1.1,1.1,1.3
17,1968,1.7,1.6,1.7,1.8,1.7,1.5,1.5,1.0,0.9,0.9,1.0,1.1,1.4
18,1969,1.2,1.3,1.6,1.6,1.7,1.3,1.1,1.3,1.2,1.0,1.1,1.3,1.3
19,1970,1.4,1.9,2.1,1.7,1.8,1.3,1.3,1.4,1.2,1.1,1.5,1.3,1.5
20,1971,1.8,1.6,2.2,1.8,1.7,1.4,1.3,1.7,1.3,1.1,1.2,1.5,1.6
21,1972,1.7,1.6,1.8,1.9,1.7,1.6,1.5,1.5,1.4,1.2,1.4,1.3,1.6
22,1973,1.5,1.8,2.5,1.7,1.7,1.3,1.5,1.3,1.1,1.1,1.5,1.5,1.5
23,1974,2.1,1.7,1.7,1.8,1.8,1.5,1.1,1.4,1.1,1.1,1.4,1.2,1.5
24,1975,1.2,1.4,1.5,1.4,1.5,1.1,1.1,1.4,1.0,0.7,0.8,0.8,1.2
25,1976,1.3,1.3,1.2,1.3,1.1,1.1,1.0,0.8,0.6,0.9,0.8,0.9,1.0
26,1977,1.1,1.3,1.3,1.0,1.5,0.9,1.1,0.9,0.8,0.6,0.6,1.1,1.0
27,1978,1.3,1.4,1.5,1.2,1.1,0.9,1.1,1.1,0.7,0.7,0.7,1.1,1.1
28,1979,1.0,1.1,1.7,1.6,1.4,1.1,1.1,1.0,0.9,0.8,0.7,0.8,1.1
29,1980,1.0,1.3,1.5,1.4,1.3,1.1,1.0,0.8,0.8,0.7,0.7,1.0,1.1
30,1981,1.1,1.0,1.3,1.5,1.4,1.0,1.1,1.1,0.9,0.8,0.8,1.0,1.1
31,1982,1.1,1.2,1.3,1.5,1.3,1.1,1.0,1.3,0.8,0.7,0.7,0.7,1.1
32,1983,1.1,1.3,1.5,1.2,1.4,1.2,0.8,1.1,0.7,0.8,0.9,1.1,1.1
33,1984,1.1,1.6,1.4,1.5,1.5,1.2,1.2,1.2,0.9,0.9,0.9,1.0,1.2
34,1985,1.3,1.2,0.9,1.2,1.3,1.0,1.1,1.3,0.8,0.8,0.9,1.1,1.1
35,1986,1.1,1.4,1.5,1.5,1.3,1.2,1.0,1.2,0.9,0.9,0.9,1.0,1.2
36,1987,1.3,1.2,1.4,1.6,1.3,1.2,1.1,1.1,0.9,0.8,0.9,0.8,1.1
37,1988,1.2,1.6,1.5,1.5,1.7,1.3,1.3,1.2,1.1,1.2,1.2,1.3,1.3
38,1989,1.4,1.5,1.6,1.8,1.3,1.4,1.3,1.3,1.1,1.1,1.1,1.3,1.4
39,1990,1.4,0.9,1.7,1.6,1.3,1.4,1.4,1.5,1.3,1.0,0.9,1.3,1.3
40,1991,1.6 ),1.9 ),1.5,1.4,1.5,1.3,1.2,1.3,1.1,0.9,1.1,1.1,1.3
41,1992,1.1,1.6,1.2,1.6,1.6,1.4,1.3,1.3,1.4,1.0,1.0,1.2,1.3
42,1993,1.1,1.8,1.6,1.8,1.5,1.3,1.2,1.2,1.0,1.1,1.0,1.3,1.3
43,1994,1.2,1.9,1.5,1.6,1.5,1.3,1.3,1.4,1.1,0.9,1.0,1.2,1.3
44,1995,1.5,1.6,1.3,1.8,1.5,1.3,1.1,1.3,1.1,1.0,1.3,1.6,1.4
45,1996,1.5,1.6,1.8,1.7,1.4,1.3,1.3,1.5,1.1,1.0,1.1,1.1,1.4
46,1997,1.5,1.7,1.5,1.4,1.4,1.3,1.3,1.3,1.1,1.1,1.0,1.1,1.3
47,1998,1.0,1.3 ),1.6,1.3,1.4,1.4,1.4,1.3,1.2,1.1,1.1,1.1 ),1.3
48,1999,1.4,1.5 ),1.5,1.5,1.4,1.4,1.3 ),1.6,1.2,1.3,1.2 ),1.5,1.4
49,2000,1.5 ),2.2 ),2.1 ),2.0,1.8,1.4,1.5,1.5,1.3,1.1,1.2 ),1.5,1.6
50,2001,1.6 ),1.6 ),2.0 ),1.9 ),1.6,1.5,1.7,1.5,1.4,1.1,1.1,1.6,1.6
51,2002,1.6,1.6,1.9,1.7,1.6,1.7,1.5,1.6,1.2,1.2,1.4,1.3 ),1.5
52,2003,1.7,1.6,2.2 ),1.8 ),1.7,1.4,1.4,1.3 ),1.4,1.1,1.1,1.6,1.5
53,2004,1.8,1.8 ),1.6,2.0 ),1.7,1.6,1.6,1.5,1.4,1.1,1.2,1.4,1.6
54,2005,1.7,1.8,1.8,1.8,1.8,1.6,1.5,1.4,1.4,1.1,1.1,1.7,1.6
55,2006,1.8,1.7,2.1,1.8,1.4,1.4,1.1,1.4,1.1,1.3,1.2,1.4,1.5
56,2007,1.4,1.9,2.0,1.7,1.9,1.6,1.4,1.5,1.4,1.1,1.3,1.3,1.5
57,2008,1.7,2.0,1.8,1.8,1.7,1.4,1.6,1.4,1.2,1.1 ),1.2,1.3,1.5
58,2009,1.6,1.8,1.9,1.9,1.4,1.4,1.3,1.4,1.3,1.2,1.2,1.4,1.5
59,2010,1.7,1.4,1.7,1.7,1.6,1.4,1.3,1.4,1.4,1.1,1.1,1.4,1.4
60,2011,1.8,1.5,2.0,1.8,1.6,1.4,1.5,1.3,1.7,1.2,1.2 ),1.6,1.6
61,2012,1.7 ),1.8 ),1.7,1.9,1.9,1.7,1.5,1.7,1.5,1.3,1.4,1.6,1.6
62,2013,2.0 ),1.9,2.0,2.1,1.9,1.5 ),1.5,1.5,1.5,1.4 ),1.2,1.6,1.7
63,2014,1.7,1.6,2.0,2.0,1.9,1.5,1.5,1.4,1.3,1.3,1.2,1.6,1.6
64,2015,1.9,1.9,1.9,1.6,1.8,1.6,1.4,1.5,1.2,1.4,1.2,1.4,1.6
65,2016,1.5 ),1.7 ),1.8 ),2.0,1.7,1.6,1.6,1.6,1.2,1.3,1.3,1.6,1.6
66,2017,2.0 ),2.3,1.9,1.8,1.6,1.8,1.5,1.4,1.4,1.3,1.4,1.6,1.7
67,2018,1.8,1.7 ),1.7 ),1.8,1.6,1.5,1.6,1.6,1.2,1.1,1.0,1.5,1.5
68,2019,1.9,1.7,1.6 ],　,　,　,　,　,　,　,　,　,1.8 ]
