,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1969,17.1,17.0,16.5,17.9,25.4,28.2,29.6,30.4,30.2,25.8,23.6,16.3,23.2
1,1970,14.1,14.4,14.6,20.3,22.6,28.6,30.9,31.3,28.8,25.9,20.1,15.5,22.3
2,1971,12.5,13.6,14.7,20.4,23.1,29.8,30.4,30.7,29.2,26.7,22.5,18.6,22.7
3,1972,15.9,16.4,14.2,19.0,24.5,28.3,29.4,29.4,30.0,26.3,22.3,17.5,22.8
4,1973,15.8,16.6,14.3,23.9,22.0,28.3,28.6,29.9,30.1,27.5,20.9,14.8,22.7
5,1974,12.0,14.1,14.1,22.7,24.7,30.6,30.6,30.7,28.3,29.7,23.3,18.1,23.2
6,1975,14.0,14.1,15.4,19.0,23.5,29.7,29.7,30.1,29.0,27.8,23.0,16.1,22.6
7,1976,13.0,14.3,17.7,21.1,25.7,28.2,29.5,30.7,29.4,26.3,23.1,16.0,22.9
8,1977,14.1,12.6,16.1,20.7,22.0,29.5,29.3,30.9,30.3,25.6,24.7,15.9,22.6
9,1978,15.2,13.5,14.8,19.1,25.6,29.7,29.9,30.3,30.1,27.6,21.9,18.0,23.0
10,1979,15.3,15.9,16.1,21.8,23.8,27.3,31.5,30.8,29.4,26.8,23.6,16.6,23.2
11,1980,15.1,14.2,17.0,19.9,23.7,29.2,30.7,31.2,31.1,24.7,22.5,15.5,22.9
12,1981,11.3,13.1,15.5,18.6,23.3,27.1,29.0,31.4,30.7,26.1,21.0,16.2,21.9
13,1982,13.1,13.0,16.9,17.7,24.9,28.8,28.9,29.0,29.8,25.6,22.2,20.0,22.5
14,1983,15.1,15.4,17.0,21.5,24.8,28.2,29.8,30.6,29.6,27.3,19.7,13.9,22.7
15,1984,12.2,12.5,14.5,18.8,23.0,27.3,30.4,30.2,30.1,26.7,21.3,16.8,22.0
16,1985,12.9,14.7,19.9,20.3,23.3,28.1,29.5,30.0,28.8,25.1,19.0,16.5,22.3
17,1986,12.6,12.2,14.4,19.3,23.9,28.5,30.3,28.8,29.8,25.2,22.1,15.9,21.9
18,1987,13.4,14.8,17.9,20.8,24.0,27.9,29.8,31.0,28.9,27.6,24.3,18.2,23.2
19,1988,17.6,14.0,19.5,18.2,23.0,28.5,30.4,29.9,30.1,27.1,17.6,16.0,22.7
20,1989,15.8,14.3,13.6,19.6,24.5,28.2,29.4,29.2,28.1,26.2 ),19.8,15.1,22.0
21,1990,13.6,16.7,14.7,17.7,21.1,26.7,28.0,30.1,28.9,26.6,21.5,16.4,21.8
22,1991,13.0,12.4,19.2,23.1,22.6,28.8,30.3,31.6 ),30.5 ),28.2,22.1,17.2,23.3
23,1992,15.6,14.2,20.2,20.2,21.4,29.1,29.9,29.8,26.8,25.2,21.0,16.0,22.5
24,1993,15.6,12.7,14.9,17.6,24.0,26.8,30.2,31.7,29.0 ),26.6,22.9,18.7,22.6
25,1994,14.6,13.7,14.8,20.4,25.0,30.3,30.1,30.0,30.0,28.0,21.9,17.5,23.0
26,1995,13.8,12.8,14.9,21.7,23.5,29.7,29.3,30.8,30.9,28.7,19.5,13.3,22.4
27,1996,13.7,13.3,17.1,17.2,22.1,26.9,29.5,30.3,30.5,25.5,22.9,14.5,22.0
28,1997,12.6,12.7,16.3,19.3,24.5,28.1,29.6,30.3,29.3,25.4,21.5,18.6,22.4
29,1998,15.4,16.2,15.9,22.5,26.9,30.1,30.7,31.2,31.2,29.3,23.2,18.8,24.3
30,1999,14.8,13.7,20.5,21.6,24.5,28.5,30.2,29.8,30.7,28.4,22.2,15.9,23.4
31,2000,15.3,13.0,14.4,19.8,22.7,29.6,28.9,29.8,28.9,28.4,26.0,18.1,22.9
32,2001,14.1,15.4,15.8,20.5,25.1,31.2,30.8,30.5,30.3,28.5,22.7,16.3,23.4
33,2002,14.8,13.7,18.2,19.5,25.5,31.4,33.2,32.5,31.2,27.2,21.9,18.7,24.0
34,2003,13.2,14.3,14.7,21.1,25.0,28.9,30.6,32.5,33.2,29.3,25.1,17.1,23.8
35,2004,13.9,13.4,17.4,20.4,25.8,29.1,30.2,31.0,29.6,28.4,23.3,18.5,23.4
36,2005,14.3,15.6,15.4,19.1,24.1,29.6,30.3,30.8,30.3,27.5,20.2,13.0,22.5
37,2006,13.3,15.8,15.8,18.3,23.5,28.5,29.6,29.7,29.8,27.1,22.7,19.4,22.8
38,2007,15.9,13.9,15.1,19.2,23.1,26.8,31.9,31.3,31.3,28.3,25.0,18.1,23.3
39,2008,16.3,13.1,16.3,19.0,25.3,28.2,28.1,29.6,29.7,27.6,22.3,17.7,22.8
40,2009,14.2,15.8,16.3,19.3,22.5,29.4,32.0,32.5,31.4,28.7,24.5,17.7,23.7
41,2010,13.7,16.5,19.4,22.2,23.0,26.9,29.1,29.4,30.2,29.4,21.9,16.8,23.2
42,2011,12.0,14.4,13.5,16.3,25.4,29.2,29.8,29.4,29.8,28.4,21.5,17.0,22.2
43,2012,13.8,15.3 ),15.8,17.9,24.4,30.0,30.7,30.9,29.8,27.4,19.4,15.9,22.6
44,2013,13.3,14.9,18.9,19.1,21.4,29.9,29.4,31.2,30.2,28.8,20.1,14.6,22.7
45,2014,13.6,14.2,14.3,16.9,22.5,28.7,31.7,30.4,28.8,26.1,23.2,15.8,22.2
46,2015,13.1,12.6,16.2,22.5,27.4,31.4,31.6,31.4,30.4,27.0,24.7,19.4,24.0
47,2016,16.9,16.2,16.6,23.8,25.3,30.3,30.1,30.8,30.5,28.4,22.8,18.0,24.1
48,2017,12.6,12.7,13.8,19.7,25.4,28.3,31.1,34.0,32.6,30.5,22.4,17.3,23.4
49,2018,14.8,15.0,18.5,21.5,27.0,31.6,31.4,32.4,31.4,29.3,21.4,17.7,24.3
50,2019,12.6,16.8,16.9 ],　,　,　,　,　,　,　,　,　,14.7 ]
