,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1887,9.5,10.1,13.3,17.3,19.3,23.1,26.1,29.5,25.9,21.7,17.7,13.1,18.9
1,1888,9.7,7.6,11.7,15.6,19.6,21.6,26.9,28.8,24.9,20.4,16.9,12.2,18.0
2,1889,8.3,9.1,13.1,16.6,20.5,24.4,26.7,29.5,24.0,20.1,15.4,12.4,18.3
3,1890,10.2,13.0,14.2,18.6,20.1,24.6,27.0,28.9,28.8,21.7,17.5,16.1,20.1
4,1891,9.6,10.1,14.3,16.8,22.1,24.1,28.2,29.9,29.0,22.8,18.0,13.8,19.9
5,1892,10.3,11.3,11.9,18.2,21.1,23.9,29.5,30.2,27.6,21.7,17.3,10.3,19.4
6,1893,9.9,8.1,12.2,18.4,20.2,23.7,28.6,28.3,26.0,21.5,16.9,11.1,18.7
7,1894,8.6,9.6,13.6,17.7,19.6,25.8,29.5,30.0,25.6,19.9,18.0,12.3,19.2
8,1895,9.2,10.4,11.2,16.9,20.7,23.1,24.3,28.7,26.4,22.1,16.7,12.5,18.5
9,1896,9.7,9.4,10.8,17.6,19.6,23.8,26.7,29.2,26.4,20.8,17.4,11.8,18.6
10,1897,10.1,9.9,11.0,15.7,20.8,22.0,25.1,26.9,23.8,19.9,15.9,10.5,17.6
11,1898,9.8,10.0,10.0,15.3,19.5,20.4,26.4,27.6,24.6,20.1,16.8,11.9,17.7
12,1899,9.6,9.6,12.7,16.2,20.7,23.3,25.4,26.7,23.4,19.6,14.8,12.1,17.8
13,1900,7.0,8.2,9.6,14.1,19.8,21.8,23.9,27.8,25.9,21.1,17.2,11.7,17.3
14,1901,9.7,9.3,11.7,16.0,18.8,22.0,23.7,27.2,24.9,20.9,15.9,11.8,17.7
15,1902,8.8,9.2,13.2,16.3,18.9,21.9,23.7,24.9,26.1,20.5,16.7,13.0,17.8
16,1903,10.7,9.6,11.8,15.4,18.0,21.5,23.2,27.3,24.9,19.6,15.5,10.0,17.3
17,1904,7.0,9.2,10.6,15.7,18.1,23.3,26.0,26.8,24.1,20.1,15.9,11.6,17.4
