,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1953,196,98.0,21,0,--,--,--,--,--,--,60,14,315 ]
1,1954,68,63.0,18,0,--,--,--,--,--,0,8,102,223
2,1955,88,101.0,19,3,--,--,--,--,--,0,0,17,321
3,1956,83,77.0,58,0,--,--,--,--,--,0,38,154,235
4,1957,108,153.0,117,3,--,--,--,--,--,0,11,29,573
5,1958,131,74.0,26,3,--,--,--,--,--,--,2,52,274
6,1959,74,17.0,5,0,--,--,--,--,--,--,2,26,150
7,1960,59,32.0,7,4,--,--,--,--,--,0,13,41,130
8,1961,43,68.0,7,0,--,--,--,--,--,--,4,28,172
9,1962,146,58.0,31,0,--,--,--,--,0,0,16,11,267
10,1963,117,27.0,64,5,--,--,--,--,--,--,2,32,240
11,1964,52,63.0,27,0,--,--,--,--,--,0,9,21,176
12,1965,28,31.0,32,3,--,--,--,--,--,--,19,22,124
13,1966,38,23.0,4,0,--,--,--,--,--,0,6,53,106
14,1967,61,48.0,12,0,--,--,--,--,--,0,11,42,180
15,1968,70,86.0,11,--,--,--,--,--,--,0,0,19,220
16,1969,51,29.0,31,4,--,--,--,--,0,0,13,63,134
17,1970,84,48.0,48,0,--,--,--,--,--,0,5,23,256
18,1971,55,55.0,17,0,--,--,--,--,--,0,15,28,155
19,1972,65,22.0,4,0,--,--,--,--,--,0,1,3,134
20,1973,44,16.0,25,--,--,--,--,--,--,0,11,54,89
21,1974,67,30.0,9,0,--,--,--,--,--,0,4,12,171
22,1975,31,94.0,25,0,--,--,--,--,--,0,5,53,166
23,1976,17,6.0,18,0,--,--,--,--,--,0,5,29,99
24,1977,122,48.0,6,0,--,--,--,--,--,--,1,44,210
25,1978,38,68.0,21,2,--,--,--,--,--,0,0,13,174
26,1979,38,9.0,12,10,--,--,--,--,--,0,12,9,82
27,1980,32,42.0,19,1,--,--,--,--,--,0,0,36,115
28,1981,136,38.0,28,--,--,--,--,--,--,0,4,9,238
29,1982,50,47.0,8,0,--,--,--,--,--,0,2,16,118
30,1983,19,31.0,14,--,--,--,--,--,--,0,2,65,82
31,1984,62,43.0,43,7,--,--,--,--,--,0,0,9,222
32,1985,37,62.0,19,0,--,--,--,--,--,--,5,65,127
33,1986,49,43.0,4,0,--,--,--,--,--,0,2,21,166
34,1987,16,28.0,7,0,--,--,--,--,--,0,0,30,74
35,1988,22,37.0,8,0,--,--,--,--,--,0,1,32,97
36,1989,25,8.0,1,0,--,--,--,--,--,0,3,6,67
37,1990,91,6.0,0,0,--,--,--,--,--,--,0,15,106
38,1991,31,46.0,15,2,--,--,--,--,--,0,1,28,109
39,1992,39,64.0,7,0,--,--,--,--,--,--,1,13,139
40,1993,61,38.0,12,0,--,--,--,--,--,0,2,1,125
41,1994,40,26.0,37,2,--,--,--,--,--,--,6,36,108
42,1995,66,64.0,14,0,--,--,--,--,--,0,0,28,186
43,1996,24,52.0,32,8,--,--,--,--,--,0,2,12,144
44,1997,33,24.0,21,0,--,--,--,--,--,0,--,20,92
45,1998,96,8.0,7,0,--,--,--,--,--,--,10,34,131
46,1999,68,44.0,22,3,--,--,--,--,--,0,2,38,181
47,2000,19,23.0,3,0,--,--,--,--,--,0,0,10,85
48,2001,40,10.0,20,0,--,--,--,--,--,--,8,15,80
49,2002,50,20.0,4,--,--,--,--,--,--,0,2,50,97
50,2003,24,38.0,35,0,--,--,--,--,--,--,1,27,149
51,2004,47,13.0,10,7,--,--,--,--,--,0,0,12,105
52,2005,32,44.0,24,0,--,--,--,--,--,--,--,136,112
53,2006,91,75.0,26,--,--,--,--,--,--,--,--,32,328
54,2007,30,22.0,38,--,--,--,--,--,--,--,11,23,122
55,2008,73 ),54.0,8,--,--,--,--,--,--,--,11,63,169
56,2009,94,36.0,16,--,--,--,--,--,--,--,1,72,220
57,2010,90,82.0,17,--,--,--,--,--,--,--,7,2 ],262
58,2011,16 ],61.0,48,--,--,--,--,--,--,--,15,61,134 ]
59,2012,111 ),77.0,29,5,--,--,--,--,--,--,4,76,298
60,2013,66,102.0,26,--,--,--,--,--,--,--,13,30,274
61,2014,56,52.0,56,--,--,--,--,--,--,--,--,47,207
62,2015,43,29.0,15,--,--,--,--,--,--,--,2,35,134
63,2016,90,56.0,29,--,--,--,--,--,--,--,18,29,212
64,2017,53,49.0,22,--,--,--,--,--,--,--,14,75,171
65,2018,119,92.0,6,--,--,--,--,--,--,--,--,59,306
66,2019,44,33.0,3 ],　,　,　,　,　,　,　,　,　,139 ]
