,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1965,12.3,17.5,21.1,19.8,20.2,20.7,17.3,24.7,16.2,17.3,11.0,10.0,17.3
1,1966,11.8,14.1,16.5,19.5,19.7,20.5,20.4,21.6,13.6,16.1 ),12.4,11.3,16.5
2,1967,13.1,15.1,18.8,21.5,27.8,27.5,22.4,22.6,20.9,15.3 ],9.2,9.3,18.9 ]
3,1968,10.7,14.2,16.5,23.3 ],×,20.1 ),20.8,19.8 ),×,×,×,×,17.0 ]
4,1969,×,×,×,×,×,×,×,×,×,12.6,10.1,10.3,11.0 ]
5,1970,11.3,12.2,15.5,16.3 ),18.5,13.9,16.5 ),20.5 ],15.0,13.2,12.1,10.3,14.1 ]
6,1971,12.6,14.4,18.7,21.7 ),21.6,18.9,18.8,20.4,14.6,11.3,11.2,10.8,16.2
7,1972,10.6,13.1,17.6,17.8,20.7,20.5,16.6,18.3,17.7,14.6,10.9,9.3,15.7
8,1973,10.5,12.9,17.5,18.1,22.0,19.7,22.2,9.8 ],14.6 ],13.0 ),11.6,10.7,15.8 ]
9,1974,12.0,13.2,17.2,19.0,21.7,20.0,15.1,18.2,14.2,11.1,11.3,8.8,15.2
10,1975,10.4,12.6,17.6,19.4,19.9,18.3,17.7,19.8,16.8,10.9,10.3,9.8,15.3
11,1976,11.4,11.7,16.8,18.0,19.5,16.0,18.8,17.3,15.2,12.8,10.1,9.9,14.8
12,1977,11.1,13.8,15.8,19.0,20.8,18.5,19.5,16.5,15.0,13.9,9.7,8.9,15.2
13,1978,9.9,12.3,16.7,17.6,19.4,15.4,20.5,19.2,12.9,11.8,9.8,8.4,14.5
14,1979,9.6,12.1,14.4,16.0,20.1,16.5,17.0,15.5,13.4,11.1,7.9,8.5,13.5
15,1980,9.0,13.5,14.1,16.8,17.4,15.7,15.5,14.3,12.6,10.6,9.2,8.5,13.1
16,1981,10.1,10.8,13.9,17.7,18.1,14.1,16.5,15.7 ),13.7,11.1,8.6,8.5,13.2
17,1982,9.6,11.8,14.6,17.4,19.0,16.7,14.7,17.7 ),15.0,15.6,11.9,11.1,14.6
18,1983,12.8,17.1,17.5,19.3,26.0,24.7,19.4,21.4 ),16.2,15.3,13.4,11.6,17.9
