,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1940,3.6,4.1,5.2,7.2,10.4,15.9,22.8,22.7,16.4,11.7,8.5,5.2,11.1
1,1941,4.5,4.1,4.8,6.5,10.0,15.6,20.3,23.1,16.8,11.3,7.2,5.2,10.8
2,1942,4.0,3.5,5.9,7.3,9.6,16.3,22.9,22.3,17.2,11.3,6.8,4.5,11.0
3,1943,3.9,4.0,4.7,7.1,10.9,16.4,23.3,25.6,18.4,10.9,6.9,4.7,11.4
4,1944,3.6,3.7,4.9,6.7,11.1,17.3,23.2,25.2,17.9,10.8,6.9,4.0,11.3
5,1945,3.3,3.5,5.1,6.7,10.0,15.5,18.3,25.2,15.9,11.9,7.2,4.5,10.6
6,1946,3.9,3.7,4.1,7.6,10.5,17.7,23.6,25.5,15.7,11.9,8.4,4.5,11.4
7,1947,4.1,3.7,4.5,7.1,10.0,14.9,21.9,23.5,16.0,9.9,6.4,4.4,10.5
8,1948,5.1,4.1,5.2,8.7,11.9,16.8,23.1,24.3,17.5,10.8,6.5,5.6,11.6
9,1949,4.7,5.1,4.4,6.7,11.1,14.1,21.1,24.7,17.3,11.1,6.1,4.9,10.9
10,1950,4.7,4.3,4.8,7.9,12.0,17.0,24.2,26.0,19.9,10.2,7.8,4.9,12.0
11,1951,3.8,4.5,5.0,7.7,10.9,15.6,21.4,26.2,15.0,11.2,7.6,5.7,11.2
12,1952,4.2,3.4,4.8,7.8,10.4,16.7,22.6,23.5,17.5,11.2,6.9,4.3,11.1
13,1953,4.2,3.9,5.9,7.3,10.9,15.9,22.7,21.7,16.5,11.0,6.6,5.7,11.0
14,1954,4.5,5.2,5.1,7.9,10.3,13.7,18.9,23.3,19.7,9.9,6.9,5.2,10.9
15,1955,4.6,5.1,5.5,7.8,11.4,16.5,24.8,24.5,16.7,11.8,7.0,6.0,11.8
16,1956,4.2,4.3,5.7,6.9,10.9,15.9,21.6,21.8,17.8,11.5,7.1,4.7,11.0
17,1957,4.6,3.8,4.7,7.6,11.3,14.2,20.9,24.7,15.5,12.0,8.2,5.7,11.1
18,1958,4.5,4.7,4.9,7.1,9.9,15.3,22.0,23.2,17.7,10.6,7.1,5.6,11.1
19,1959,4.2,4.8,6.1,8.2,11.0,16.3,21.3,23.3,18.2,11.8,7.1,5.1,11.5
20,1960,4.1,4.9,5.4,6.9,11.4,15.9,21.2,24.7,18.3,11.3,8.0,4.8,11.4
21,1961,3.9,4.3,4.9,7.8,12.0,16.3,24.0,24.2,20.1,12.0,8.0,5.7,11.9
22,1962,4.5,4.4,4.9,8.3,11.4,15.3,23.1,23.9,18.1,9.9,7.4,5.3,11.4
23,1963,4.5,4.7,5.6,8.4,11.5,16.1,22.2,23.9,15.2,10.9,7.7,5.9,11.4
24,1964,4.6,4.1,5.3,8.7,11.5,16.0,21.7,26.2,15.7,9.9,7.2,5.2,11.3
25,1965,4.8,3.9,4.8,6.7,10.8,15.7,19.9,23.8,17.0,10.5,7.3,5.3,10.9
26,1966,4.1,4.5,5.8,7.8,10.3,15.3,20.4,25.4,16.1,12.6,7.8,4.2,11.2
27,1967,4.0,3.8,5.2,7.8,12.0,15.9,22.8,24.0,17.1,10.4,6.9,4.8,11.2
28,1968,4.4,4.0,5.6,7.9,11.1,15.8,21.5,23.1,16.9,9.8,8.3,6.3,11.2
29,1969,3.9,4.1,4.4,7.6,9.9,15.3,21.1,22.4,16.0,9.6,7.5,4.6,10.5
30,1970,3.9,4.2,4.0,7.0,11.7,14.4,21.8,23.6,16.9,11.1,7.4,4.5,10.9
31,1971,4.3,4.4,4.9,6.6,10.6,15.2,22.0,23.1,15.9,10.1,6.8,5.2,10.8
32,1972,4.9,4.2,5.4,8.0,11.0,15.2,22.0,22.9,17.3,11.4,7.2,5.8,11.3
33,1973,5.0,4.7,4.8,8.1,10.4,15.8,21.7,26.4,17.5,10.9,6.7,4.8,11.4
34,1974,4.5,4.4,4.7,7.7,10.7,16.2,20.0,22.7,17.2,11.0,6.5,4.2,10.8
35,1975,4.2,4.0,5.0,8.3,10.9,16.3,22.1,23.8,19.1,11.0,8.1,4.8,11.5
36,1976,4.4,4.4,5.1,7.2,10.2,15.6,18.4,19.6,16.0,10.9,6.6,4.7,10.3
37,1977,3.4,4.1,5.3,7.5,10.9,15.6,22.0,21.1,17.8,11.7,8.4,5.6,11.1
38,1978,4.2,3.6,5.0,7.4,10.9,17.5,24.6,23.4,16.0,10.5,7.5,6.1,11.4
39,1979,4.6,4.7,5.3,7.2,10.7,17.9,20.0,21.6,16.2,13.0,7.6,5.9,11.2
40,1980,4.3,3.6,4.4,6.8,10.6,16.5,19.5,19.7,16.4,11.2,8.1,5.2,10.5
41,1981,4.0,4.3,5.0,7.4,10.4,15.2,22.5,21.9,15.2,10.1 ),5.8,5.4,10.6
42,1982,4.2,3.9,5.2,7.5,11.6,14.2,19.8,23.5,15.3,11.4,7.7,5.3,10.8
43,1983,4.2,3.8,5.1,8.5,10.9,14.2,20.2,24.1,18.0,9.1,7.5,4.9,10.9
44,1984,3.7,3.6,4.1,6.7,11.0,17.1,23.6,24.3,15.9,9.3,6.6,5.2,10.9
45,1985,3.3,4.4,4.6,8.4,11.2,14.8,22.1,26.4,16.7,11.0,7.7,4.6,11.3
46,1986,3.7,3.8,5.0,8.0,10.5,14.6,18.9,22.2,17.0,10.2,6.3,5.0,10.4
47,1987,3.9,4.3,5.2,7.2,10.5,16.2,21.7,23.6,16.9,11.4,7.1,5.4,11.1
48,1988,4.4,3.5,4.7,7.7,10.6,16.5,18.2,25.3,18.0,10.5,6.3,5.1,10.9
49,1989,4.7,4.3,6.0,8.0,11.2,15.1,20.9,23.0,17.8,10.8,8.5,5.1,11.3
50,1990,3.9,5.1,5.6,7.4,11.2,17.1,21.2,24.4,19.0,12.2,8.6,6.1,11.8
51,1991,4.5,4.1,4.9,7.5,11.0,17.9,21.7,21.3,17.3,12.2,7.2,5.5,11.3
52,1992,4.5,4.5,5.4,7.9,10.7,15.7,21.3,23.5,16.7,11.7,7.5,5.2,11.2
53,1993,4.4,4.8,5.0,7.2,11.1,15.7,19.9,20.2,17.0,10.2,8.0,5.1,10.7
54,1994,4.1,4.5,4.8,7.3,11.6,16.1,23.2,27.0,19.7,12.0,7.4,5.2,11.9
55,1995,4.1,4.4,5.3,8.0,12.0,16.2,22.4,24.7,17.0,12.8,7.0,5.3,11.6
56,1996,4.1,4.4,5.1,7.1,11.5,16.9,22.5,21.8,17.5,11.7,7.1,5.2,11.2
57,1997,4.4,4.6,4.8,7.8,11.8,16.9,22.1,23.1,16.7,10.7,8.6,5.8,11.4
