,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1963,1012.5,1018.6,1015.0,1014.0,1008.1,1005.9,1006.4,1003.4,1007.8,1015.1,1017.3,1018.5,1011.9
1,1964,1017.5,1021.5,1016.2,1013.5,1010.3,1004.1,1006.1,1003.2,1009.2,1015.1,1016.6,1019.6,1012.7
2,1965,1018.4,1016.9,1015.5,1012.6,1007.6,1005.6,1005.1,1005.8,1007.7,1015.2,1017.7,1018.6,1012.2
3,1966,1019.3,1016.4,1011.2,1011.4,1008.9,1006.0,1006.6,1002.1,1006.7,1013.8,1017.1,1019.1,1011.6
4,1967,1020.7,1019.8,1015.4,1014.0,1007.9,1003.2,1002.1,1005.2,1007.2,1013.8,1019.5,1019.9,1012.4
5,1968,1017.3,1020.3,1014.2,1015.5,1007.4,1006.9,1002.2,1004.2,1009.2,1013.5,1018.7,1015.5,1012.1
6,1969,1016.0,1017.1,1015.7,1013.0,1006.6,1004.9,1006.6,1006.1,1009.1,1013.6,1018.9,1020.7,1012.4
7,1970,1019.2,1018.5,1017.8,1013.9,1007.8,1007.1,1003.8,1004.2,1008.8,1014.9,1018.1,1018.8,1012.7
8,1971,1017.6,1017.1,1017.0,1012.9,1010.1,1004.4,1004.5,1003.0,1007.8,1015.3,1018.9,1019.8,1012.4
9,1972,1018.6,1013.9,1014.7,1013.4,1007.9,1003.8,1001.4,1007.3,1009.1,1014.7,1016.9,1018.8,1011.7
10,1973,1018.2,1016.6,1016.2,1011.0,1008.9,1005.0,1005.4,1008.8,1010.0,1014.8,1017.5,1018.5,1012.6
11,1974,1017.9,1017.2,1016.5,1010.8,1009.4,1003.6,1003.7,1002.6,1008.4,1013.5,1018.7,1020.9,1011.9
12,1975,1018.4,1016.2,1014.1,1011.1,1007.9,1004.2,1004.7,1005.2,1008.8,1012.7,1017.0,1018.9,1011.6
13,1976,1019.1,1015.4,1014.9,1012.5,1008.3,1005.4,1004.4,1007.3,1007.5,1013.2,1018.6,1017.9,1012.0
14,1977,1020.5,1020.4,1016.9,1012.1,1008.8,1003.4,1005.5,1001.9,1008.6,1016.0,1017.7,1019.4,1012.6
15,1978,1016.3,1017.9,1014.2,1010.7,1009.5,1005.8,1004.8,1005.9,1008.6,1015.1,1017.6,1020.4,1012.2
16,1979,1017.8,1013.9,1013.9,1012.7,1008.7,1007.9,1004.3,1004.9,1009.6,1012.7,1019.0,1020.4,1012.2
17,1980,1016.8,1020.1,1015.1,1013.6,1009.5,1007.9,1004.2,1004.9,1009.3,1014.3,1017.0,1016.7,1012.5
18,1981,1019.9,1016.6,1015.6,1011.7,1008.8,1006.4,1006.7,1002.3,1008.8,1013.7,1018.7,1020.8,1012.5
19,1982,1019.0,1018.1,1015.3,1013.0,1009.3,1004.5,1004.0,1005.4,1009.4,1014.0,1017.3,1019.7,1012.4
20,1983,1022.0,1018.4,1014.7,1011.6,1009.1,1005.1,1004.8,1004.9,1007.9,1014.5,1017.8,1019.4,1012.5
21,1984,1019.2,1018.2,1016.0,1012.9,1009.7,1004.5,1002.8,1005.5,1009.7,1014.2,1017.9,1018.4,1012.4
22,1985,1020.3,1013.5,1017.8,1011.0,1009.2,1005.2,1005.4,1004.6,1011.1,1014.2,1016.4,1019.3,1012.3
23,1986,1019.0,1018.4,1014.2,1013.0,1006.7,1005.0,1006.2,1004.1,1009.0,1016.2,1019.7,1019.2,1012.6
24,1987,1020.1,1017.6,1013.4,1013.8,1010.6,1005.5,1004.5,1005.9,1010.0,1014.1,1017.6,1020.7,1012.8
25,1988,1018.7,1019.7,1014.8,1013.1,1007.8,1003.6,1004.2,1004.2,1007.9,1013.1,1016.7,1020.5,1012.0
26,1989,1018.9,1017.6,1014.9,1010.5,1008.6,1005.8,1006.1,1003.5,1008.2,1014.6,1019.6,1019.1,1012.3
27,1990,1020.9,1019.0,1016.2,1011.6,1010.3,1006.2,1004.8,1003.8,1009.2,1014.1,1017.3,1019.6,1012.8
28,1991,1019.4,1017.8,1015.4,1012.1,1009.7,1004.9,1004.2,1001.8,1007.7,1012.1,1019.5,1019.8,1012.0
29,1992,1019.4,1017.1,1015.1,1009.6,1008.6,1005.4,1006.8,1004.3,1008.1,1014.6,1019.2,1019.8,1012.3
30,1993,1018.8,1017.3,1015.9,1012.8,1008.7,1004.1,1003.2,1004.2,1009.6,1015.6,1018.4,1020.7,1012.4
31,1994,1017.6,1014.7,1017.7,1011.1,1007.3,1005.0,1004.0,1007.1,1007.2,1014.2,1019.9,1020.8,1012.2
32,1995,1019.4,1017.8,1014.5,1012.3,1009.2,1003.7,1006.8,1008.9,1009.2,1014.2,1016.6,1020.6,1012.8
