,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,8.2,8.6,7.7,7.3,6.6,6.9,7.6,5.6,7.5,6.3,7.6,7.9,7.3
1,1952,8.9,9.0,8.3,7.3,7.0,8.8,7.5,6.4,7.4,6.5,6.4,8.4,7.7
2,1953,8.5,8.8,7.5,5.3,7.0,8.9,7.9,7.3,6.8,5.2,7.0,7.6,7.3
3,1954,7.8,7.8,6.7,6.9,7.5,9.2,8.6,5.0,6.0,7.3,4.7,8.2,7.1
4,1955,9.3,7.8,8.1,6.5,6.8,8.2,4.8,5.5,7.1,7.7,6.4,6.8,7.1
5,1956,9.0,8.0,8.0,6.1,7.3,8.6,6.8,6.1,6.8,7.4,7.6,8.5,7.5
6,1957,8.5,9.1,8.1,6.7,7.3,7.7,9.2,6.0,7.3,6.3,5.6,8.6,7.5
7,1958,8.7,7.5,7.2,7.3,5.8,7.3,7.9,7.4,7.1,7.5,5.0,7.2,7.2
8,1959,8.5,7.6,7.5,6.4,7.3,7.1,7.3,5.9,7.0,5.7,5.0,7.4,6.9
9,1960,8.5,7.0,7.2,6.3,7.6,7.7,7.0,6.0,8.1,5.2,7.4,8.4,7.2
10,1961,9.3,8.1,7.0,6.6,7.7,8.1,7.6,6.1,5.8,7.5,7.1,7.7,7.4
11,1962,9.1,7.8,6.4,6.6,6.8,8.8,6.4,5.7,6.3,5.9,7.4,7.5,7.1
12,1963,9.5,8.2,5.6,7.0,8.4,8.9,6.8,6.3,7.9,5.5,6.7,7.7,7.4
13,1964,8.4,8.5,7.8,8.3,5.3,8.0,7.2,5.9,7.4,5.9,6.1,7.7,7.2
14,1965,8.4,8.6,7.9,7.7,7.2,7.0,8.2,4.1,7.5,5.3,6.9,8.8,7.3
15,1966,9.4,7.2,8.2,7.3,6.2,8.6,7.6,5.7,7.5,7.3,6.9,8.4,7.5
16,1967,8.8,8.0,6.6,7.6,6.2,6.4,6.5,6.7,7.0,7.3,7.2,9.1,7.3
17,1968,9.0,8.6,7.3,6.3,7.3,7.6,7.8,7.4,7.5,7.0,5.8,8.4,7.5
18,1969,8.8,9.1,7.9,6.4,5.6,7.3,7.7,6.6,6.7,5.8,7.3,8.6,7.3
19,1970,8.3,7.9,7.6,7.7,7.0,8.2,6.4,6.2,7.3,6.5,7.0,8.9,7.4
20,1971,7.7,9.0,7.2,5.8,7.3,7.8,8.2,6.9,8.0,6.9,6.5,8.0,7.4
