,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1890,11.0,13.3,13.6,19.8,21.9,27.0,30.3,30.7,28.9,21.0,18.2,14.9,20.9
1,1891,8.6,9.7,14.1,17.8,23.5,26.1,28.6,30.5,29.0,23.6,17.4,12.6,20.1
2,1892,9.0,10.2,10.6,19.0,22.2,25.9,31.2,31.7,27.6,21.4,16.7,9.5,19.6
3,1893,8.7,7.7,12.9,17.9,21.2,25.2,31.7,31.5,28.9,21.4,14.9,11.4,19.5
4,1894,9.7,11.4,14.2,18.9,23.1,27.9,32.0,33.1,27.3,22.3,18.7,12.1,20.9
5,1895,7.7,10.1,13.5,18.4,23.2,25.9,27.9,31.3,27.2,22.9,17.5,10.9,19.7
6,1896,9.5,9.3,10.9,19.8,22.2,26.7,29.1,30.6,26.2,22.0,17.5,10.9,19.6
7,1897,10.1,7.9,12.9,16.9,22.4,26.0,30.0,31.7,26.6,21.6,18.4,9.4,19.5
8,1898,11.3,10.0,12.5,18.1,22.5,26.0,31.0,31.8,28.4,23.7,18.2,12.3,20.5
9,1899,8.5,10.1,14.1,18.3,23.6,27.2,30.5,30.7,25.5,19.7,15.5,13.7,19.8
10,1900,7.6,9.6,12.9,17.9,23.0,25.7,28.3,31.3,27.7,23.0,17.0,11.4,19.6
11,1901,11.8,7.1,12.3,18.7,21.1,24.9,27.0,31.1,27.0,22.9,16.4,11.0,19.3
12,1902,10.7,9.8,15.1,16.6,22.4,24.8,29.0,29.2,25.8,22.2,19.1,13.8,19.9
13,1903,10.3,10.2,14.0,18.2,21.7,25.2,28.4,32.1,28.9,22.2,15.8,10.4,19.8
14,1904,8.8,11.1,13.0,19.3,22.0,26.3,30.7,31.8,26.9,22.0,15.7,12.2,20.0
15,1905,12.3,8.7,12.9,17.1,23.2,25.1,29.9,29.3,28.1,22.9,17.8,14.2,20.1
16,1906,9.5,8.7,12.5,18.6,22.6,24.6,29.1,31.1,27.1,21.9,15.4,10.9,19.3
17,1907,10.8,7.4,12.4,18.9,23.5,25.2,28.9,30.7,26.4,22.7,17.3,11.0,19.6
18,1908,11.2,9.5,12.9,17.7,22.6,26.7,28.7,31.1,26.7,22.5,15.6,13.0,19.9
19,1909,9.6,8.6,11.7,19.1,22.9,25.7,29.9,30.4,28.2,22.0,18.1,10.8,19.8
20,1910,10.2,7.8,12.2,17.9,22.6,26.6,30.1,30.7,26.4,21.7,16.8,9.2,19.4
21,1911,9.8,10.3,13.6,17.7,23.4,25.9,29.7,30.8,29.1,21.9,17.6,11.1,20.1
22,1912,8.3,12.6,14.0,19.1,22.9,26.1,29.1,31.4,25.8,21.8,14.8,11.9,19.8
23,1913,9.4,9.8,12.9,19.7,22.2,26.0,29.3,29.9,26.7,22.5,17.0,10.6,19.7
24,1914,10.8,10.4,15.3,17.7,23.1,25.8,32.7,31.7,28.6,22.4,18.0,12.4,20.7
25,1915,9.9,10.3,12.2,17.9,22.8,26.0,30.9,31.0,26.6,23.6,17.8,13.6,20.2
26,1916,12.1,10.2,11.4,18.8,23.4,28.8,29.6,31.5,29.3,23.1,18.4,13.2,20.8
27,1917,6.5,8.6,11.7,18.6,22.2,25.7,31.2,30.4,28.4,22.0,14.8,8.0,19.0
28,1918,6.3,9.8,13.2,18.0,22.1,25.6,29.6,29.6,26.9,22.5,15.9,11.3,19.2
29,1919,8.6,10.4,14.9,19.6,23.6,27.0,29.6,30.3,26.8,22.1,17.1,10.5,20.0
30,1920,8.6,8.6,12.3,18.6,20.1,25.7,31.3,30.6,28.3,23.4,18.9,11.8,19.9
31,1921,10.0,10.3,12.5,19.6,21.7,23.9,29.9,31.7,26.3,21.6,15.8,11.2,19.5
32,1922,7.2,12.0,13.3,19.7,24.4,28.3,30.4,34.1,28.5,23.5,17.0,10.8,20.8
33,1923,8.8,8.7,15.4,18.4,23.6,26.1,29.3,33.1,28.2,22.2,16.6,11.4,20.2
34,1924,10.0,9.7,11.6,19.3,22.1,25.5,32.1,31.2,26.8,22.9,15.7,11.5,19.9
35,1925,8.7,8.2,13.5,17.7,23.3,26.2,30.0,32.4,27.5,22.7,18.6,11.5,20.0
36,1926,9.3,10.9,13.1,18.5,22.7,26.1,30.8,32.7,28.6,21.4,17.5,9.8,20.1
37,1927,9.0,8.2,12.7,18.0,22.4,26.5,31.2,30.8,25.7,22.5,18.5,12.7,19.9
38,1928,8.9,9.7,13.5,19.5,23.9,26.1,29.8,29.9,28.9,23.3,17.5,11.8,20.2
