,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1890,1017.1,1017.6,1018.5,1013.5,1012.1,1009.1,1011.2,1007.5,1011.7,1015.3,1020.3,1015.2,1014.1
1,1891,1012.7,1017.5,1016.4,1017.1,1008.5,1010.1,1007.7,1010.9,1013.7,1016.5,1017.2,1019.5,1014.0
2,1892,1017.9,1015.1,1014.9,1014.0,1012.7,1008.9,1010.5,1010.7,1011.3,1017.6,1017.2,1014.9,1013.8
3,1893,1012.9,1016.4,1015.1,1013.1,1013.3,1010.4,1008.5,1010.5,1015.5,1018.9,1015.9,1016.0,1013.9
4,1894,1015.2,1017.9,1016.9,1015.7,1013.1,1010.5,1009.2,1006.7,1014.3,1018.9,1018.8,1016.0,1014.4
5,1895,1015.5,1014.8,1016.9,1014.4,1013.2,1009.1,1008.3,1009.5,1014.8,1015.7,1017.7,1014.3,1013.7
6,1896,1011.2,1018.1,1017.7,1017.9,1013.6,1010.5,1007.5,1010.5,1011.5,1017.1,1016.0,1017.2,1014.1
7,1897,1019.5,1016.7,1021.1,1014.8,1009.9,1008.9,1009.7,1009.9,1013.3,1016.3,1017.9,1017.6,1014.6
8,1898,1019.2,1012.7,1017.3,1017.7,1009.6,1008.9,1009.2,1010.1,1012.3,1016.8,1020.1,1014.9,1014.1
9,1899,1014.9,1019.6,1015.5,1015.5,1013.5,1009.6,1006.7,1011.2,1015.3,1014.9,1017.6,1017.3,1014.3
10,1900,1018.0,1017.2,1015.6,1016.8,1008.9,1011.6,1007.1,1010.8,1013.5,1018.8,1018.7,1017.2,1014.5
11,1901,1018.9,1010.4,1017.1,1017.5,1011.9,1007.9,1008.4,1011.2,1011.5,1016.9,1015.6,1015.2,1013.5
12,1902,1014.4,1019.2,1016.3,1013.3,1012.0,1007.7,1007.7,1011.7,1011.3,1018.9,1020.7,1015.1,1014.0
13,1903,1017.1,1017.7,1019.1,1017.6,1012.9,1007.6,1008.3,1011.3,1014.5,1017.3,1017.9,1015.3,1014.7
14,1904,1016.4,1018.8,1017.7,1018.1,1012.1,1009.1,1008.9,1010.8,1011.3,1016.5,1014.9,1016.1,1014.2
15,1905,1015.2,1014.0,1021.5,1015.9,1012.9,1009.1,1009.9,1010.0,1014.5,1018.0,1020.5,1017.7,1014.9
16,1906,1016.8,1014.8,1014.4,1013.1,1012.9,1010.4,1006.7,1008.8,1013.9,1017.7,1020.8,1013.2,1013.6
17,1907,1018.5,1015.9,1016.5,1016.4,1008.8,1008.9,1009.5,1008.0,1013.6,1017.2,1019.6,1015.3,1014.0
18,1908,1018.7,1016.5,1016.7,1017.1,1012.1,1008.3,1009.2,1010.8,1015.1,1016.7,1013.5,1017.2,1014.3
19,1909,1018.5,1013.7,1018.7,1014.1,1011.5,1008.7,1012.1,1008.9,1012.1,1016.3,1017.1,1017.3,1014.1
20,1910,1015.7,1012.1,1014.1,1016.3,1012.8,1007.9,1008.8,1008.5,1012.8,1018.5,1017.5,1016.5,1013.5
21,1911,1018.8,1020.4,1016.5,1012.4,1014.7,1008.5,1009.2,1010.3,1014.5,1014.1,1018.8,1018.8,1014.8
22,1912,1016.7,1015.9,1015.1,1013.6,1011.2,1007.2,1007.2,1010.9,1012.3,1018.3,1018.0,1021.1,1014.0
23,1913,1017.5,1015.3,1014.4,1015.6,1009.7,1006.7,1008.3,1006.5,1012.8,1015.6,1020.7,1015.9,1013.3
24,1914,1015.6,1017.9,1016.8,1012.0,1013.1,1008.3,1006.8,1008.8,1014.4,1016.9,1018.7,1014.5,1013.7
25,1915,1017.9,1014.4,1013.5,1015.2,1010.5,1009.5,1008.7,1005.5,1012.9,1015.7,1021.5,1015.9,1013.4
26,1916,1017.6,1014.0,1013.3,1016.3,1011.9,1009.1,1008.7,1008.1,1013.3,1018.7,1022.0,1016.8,1014.2
27,1917,1012.1,1010.7,1016.1,1011.3,1008.5,1008.7,1010.1,1009.1,1014.3,1015.6,1016.1,1009.6,1011.9
