,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1942,158.6,132.9,190.4,237.3,240.3,166.7,324.3,249.3,172.4,197.8,185.5,154.3,2409.8
1,1943,172.8,163.3,190.8,231.9,229.6,193.9,172.0,268.8,198.5,205.4,195.5,181.5,2404.0
2,1944,159.3,153.7,194.2,204.7,230.5,269.4,254.3,261.0,208.2,163.4,138.9,123.5,2361.1
3,1945,166.9,148.4,177.0,255.7,214.8,179.4,205.9,281.6,128.2,134.4,182.3,122.3,2196.9
4,1946,142.9,147.8,155.5,196.0,171.0,156.4,270.5,248.6,190.2,176.4,131.4,109.1,2095.8
5,1947,112.6,138.7,167.4,262.0,207.4,169.3,221.3,295.8,146.2,146.7,170.4,113.9,2151.7
6,1948,150.9,140.0,161.7,197.8,218.6,202.2,184.3,247.3,177.3,173.5,152.9,110.6,2117.1
7,1949,134.6,119.2,145.4,203.1,201.4,126.4,212.0,229.5,172.3,177.5,133.8,111.8,1967.0
8,1950,102.6,114.3,185.4,204.2,212.5,168.2,231.3,246.8,159.9,160.9,128.5,119.7,2034.3
9,1951,129.0,136.0,172.1,169.9,209.3,211.9,180.4,237.2,154.1,191.2,161.9,164.0,2117.0
10,1952,138.7,110.5,171.6,198.2,210.8,133.5,184.8,254.3,166.4,221.4,173.9,132.3,2096.4
11,1953,133.1,124.0,173.2,224.8,218.0,123.1,170.8,227.3,181.8,215.6,166.2,134.7,2092.6
12,1954,111.4,143.8,187.2,196.2,186.9,143.9,158.5,283.1,174.9,156.1,189.0,149.5,2080.5
13,1955,127.9,176.6,130.9,190.1,217.7,185.8,221.8,280.6,184.5,152.8,186.1,179.3,2234.1
14,1956,153.1,166.0,159.3,212.1,153.3,148.9,238.6,229.8,157.3,156.3,191.3,155.1,2121.1
15,1957,146.3,132.6,201.9,197.5,202.1,159.4,135.8,214.2,141.7,206.1,192.4,135.8,2065.8
16,1958,131.9,145.4,175.8,161.7,226.6,216.1,×,×,×,×,×,×,1057.5 ]
17,1959,×,×,×,×,×,×,×,×,×,×,×,×,×
18,1960,×,×,×,×,×,×,×,×,×,×,×,×,×
19,1961,　,　,　,　,194.2,183.1,244.1,261.7,223.6,158.8,155.0,144.8,1565.3 ]
20,1962,151.7,156.5,212.1,215.0,221.2,140.2,212.5,267.0,217.7,201.2,153.3,191.1,2339.5
21,1963,182.9,170.7,227.5,159.8,102.0,110.9,241.8,205.8,172.0,181.3,183.5,150.2,2088.4
22,1964,99.6,133.4,198.9,150.1,257.4,179.4,274.8,298.8,155.5,170.5,193.5,154.9,2266.8
23,1965,164.6,160.2,223.7,196.9,220.5,173.5,151.5,315.4,183.4,253.8,170.0,127.7,2341.2
24,1966,175.6,159.4,167.3,185.6,228.2,177.2,225.3,230.5,186.5,188.8,176.5,142.1,2243.0
25,1967,192.5,142.5,182.3,152.5,249.7,224.1,204.0,263.2,231.6,175.5,140.4,163.2,2321.5
26,1968,130.1,172.1,192.9,197.8,224.9,207.0,159.6,214.0,134.9,151.6,195.3,135.9,2116.1
27,1969,116.6,88.6,160.7,196.1,262.1,201.8,203.3,257.0,169.9,192.9,152.3,156.1,2157.4
28,1970,165.8,160.2,194.5,162.0,196.7,96.3,205.5,210.4,164.2,157.3,178.6,129.5,2021.0
29,1971,166.7,124.3,204.9,222.3,208.3,118.2,174.3,206.0,164.4,173.6,177.2,153.4,2093.6
30,1972,135.5,126.6,154.7,197.6,224.6,178.7,199.5,252.7,173.0,178.3,135.4,136.7,2093.3
31,1973,129.6,113.1,187.5,176.2,214.9,213.7,255.5,222.2,136.3,152.1,183.0,167.0,2151.1
32,1974,168.9,137.0,178.0,225.1,238.8,209.6,150.8,257.5,180.0,151.9,181.6,116.1,2195.3
33,1975,150.9,132.6,208.2,165.1,178.2,184.0,245.6,250.6,202.7,117.7,173.0,137.0,2145.6
34,1976,169.0,134.6,182.8,166.7,193.4,177.0,227.9,216.1,171.1,196.8,145.9,149.0,2130.3
35,1977,140.3,186.9,183.7,201.6,211.0,156.9,238.1,186.8,203.3,253.5,147.5,151.0,2260.6
36,1978,144.6,163.5,228.6,229.3,248.7,200.2,316.5,300.9,167.4,198.8,144.8,149.1,2492.4
37,1979,143.9,146.7,182.3,215.7,294.2,154.5,212.0,241.9,162.6,237.3,149.5,175.9,2316.5
38,1980,157.3,193.3,171.3,210.7,231.5,158.5,143.0,103.7,189.1,185.2,192.4,159.0,2095.0
39,1981,199.0,137.5,176.5,212.3,246.8,161.0,258.2,240.7,189.7,187.8,146.1,172.6,2328.2
40,1982,174.9,145.8,206.4,224.8,266.5,236.9,182.9,210.3,146.0,210.1,150.9,183.1,2338.6
41,1983,179.9,200.4,149.2,210.7,277.4,242.9,228.4,258.3,171.5,202.7,194.8,184.6,2500.8
42,1984,170.8,182.5,195.9,208.2,266.7,188.6,238.2,290.5,189.2,217.5,198.5,170.3,2516.9
43,1985,199.6,112.4,166.0,233.1,226.7,146.4,258.5,315.0,196.4,205.8,166.1,167.7,2393.7
44,1986,185.0,184.5,185.0,198.0 ),194.3,205.9,190.8,280.0,187.6,200.6,161.1 ),163.1,2335.9
45,1987,183.7,178.6,170.8,220.9,240.6,257.2,182.2,225.2,191.0,202.2,179.1,201.2,2432.7
46,1988,131.1,144.7 ),135.8,192.7,213.2,169.4,138.6,197.0,148.7,174.3,181.2,169.3,1996.0
47,1989,121.4,109.3,192.1,214.5,173.2,174.7,206.6,202.9,133.5,201.3,149.7,165.2,2044.4
48,1990,121.6,94.7,189.7,191.1,217.5,199.0,249.0,275.6,143.3,158.8,157.7,149.9,2147.9
49,1991,133.4,131.8,145.8,180.1,143.1,111.0,169.6,204.5,167.6,142.3,173.8,134.9,1837.9
50,1992,112.1,155.9,119.0,204.4,202.8,190.3,202.9,150.3,186.1,182.0,147.9,122.7,1976.4
51,1993,97.0,138.9,154.8,202.1,193.4,141.3,132.6,137.6,113.3,173.0,89.2,139.5,1712.7
52,1994,138.9,124.9,169.3,198.7,226.4,182.8,306.5,312.1,197.4,175.8,155.2,141.9,2329.9
53,1995,132.5,154.8,155.7,166.3,192.7,152.3,201.9,298.7,141.3,194.9,176.0,167.3,2134.4
54,1996,148.6,161.2,135.0,194.1,212.6,134.3,248.8,214.6 ),153.1 ),154.5,126.1,155.5,2038.4
55,1997,163.3,152.9,172.3,195.9,197.9,193.2,190.0,238.4,149.8,243.0,154.8,141.4,2192.9
56,1998,128.9,129.0,180.8,177.8,179.3,138.1,203.4,203.2,139.2,151.3,161.5,182.5,1975.0
57,1999,169.7,152.7,136.0,176.6,249.4,139.2,131.8,187.1,150.7,190.1,151.0,167.3,2001.6
58,2000,106.5,148.8,205.6,178.5,228.4,157.1,234.9,253.4,176.9,141.6,122.9,147.7,2102.3
59,2001,122.1,114.9,181.5,223.3,196.7,169.2,255.9,236.8,176.9,186.1,165.8,133.7,2162.9
