,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1893,8,18,45,46,28,30,47,45,43,34,33,16,34
1,1894,16,33,23,33,46,32,40,47,28,43,34,21,34
2,1895,18,25,33,42,31,36,29,44,43,46,40,26,35
3,1896,21,23,33,46,47,32,29,48,35,39,41,15,35
4,1897,17,26,27,31,35,34,35,39,31,46,35,16,32
5,1898,13,29,31,48,47,33,41,×,×,×,28,20,33 ]
6,1899,16,20,41,54,46,43,36,40,35,36,29,26,36
7,1900,20,30,37,46,56,60,35,63,45,48,43,24,44
8,1901,23,32,51,55,53,43,36,63,60,38,35,29,44
9,1902,28,38,41,46,45,45,35,38,46,51,46,31,41
10,1903,28,25,40,48,47,46,27,65,45,41,33,21,40
11,1904,20,40,33,44,46,48,43,67,43,26,33,33,41
12,1905,28,30,43,39,45,24,44,35,43,50,38,22,37
13,1906,30,18,42,54,54,41,41,45,32,45,25,32,39
14,1907,31,35,42,51,50,44,55,48,44,58,34,24,44
15,1908,15,27,38,37,61,48,42,64,54,52,29,26,43
16,1909,14,24,34,51,48,30,50,56,26,46,33,14,37
17,1910,22,14,30,47,38,44,32,33,25,32,33,18,32
18,1911,20,23,26,33,54,33,38,44,36,35,34,20,34
19,1912,17,29,34,47,39,40,29,45,30,34,26,13,33
20,1913,14,22,31,36,43,28,29,49,46,38,39,14,33
21,1914,28,28,34,45,40,44,45,55,52,47,44,14,41
22,1915,23,19,29,37,42,36,55,37,35,35,36,33,36
23,1916,19,25,30,35,39,35,33,58,34,32,41,25,34
24,1917,13,28,33,53,49,31,58,47,31,23,23,20,36
25,1918,12,36,38,35,43,26,49,49,44,37,20,12,35
26,1919,10,28,36,42,54,37,38,53,32,41,33,24,37
27,1920,20,19,34,45,31,34,42,38,36,43,41,17,34
28,1921,12,24,29,33,38,29,40,56,15,24,23,22,30
29,1922,7,28,35,50,55,62,42,63,44,44,32,14,42
30,1923,17,17,37,44,39,38,27,71,41,40,23,18,36
31,1924,23,16,32,40,39,40,61,61,40,38,33,20,39
32,1925,15,30,33,40,43,43,47,53,43,46,31,22,38
33,1926,14,22,34,46,42,55,45,47,33,42,30,23,38
34,1927,17,13,31,47,50,56,35,35,33,45,35,19,36
35,1928,20,20,37,48,51,33,46,59,47,35,34,11,38
36,1929,19,25,41,40,35,49,44,54,34,34,23,21,36
37,1930,20,28,36,45,47,41,39,53,48,48,24,19,38
38,1931,16,21,55,41,58,43,20,60,39,30,35,22,38
39,1932,34,19,33,44,54,37,46,52,30,45,33,16,38
40,1933,17,23,22,40,48,52,47,48,59,34,41,18,39
41,1934,22,19,34,48,57,45,28,48,32,40,30,29,37
42,1935,21,32,41,55,42,47,41,45,33,51,38,18,40
43,1936,8,19,43,41,46,47,47,35,46,50,37,20,38
