,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1953,55,20,--,--,--,--,--,--,--,--,--,--,75 ]
1,1954,67,9,0,--,--,--,--,--,--,--,--,0,76
2,1955,9,3,0,--,--,--,--,--,--,--,--,0,12
3,1956,66,60,3,--,--,--,--,--,--,--,0,3,129
4,1957,0,23,0,--,--,--,--,--,--,--,--,0,26
5,1958,23,7,20,--,--,--,--,--,--,--,--,--,50
6,1959,35,0,0,--,--,--,--,--,--,--,--,0,35
7,1960,8,0,0,--,--,--,--,--,--,--,--,0,8
8,1961,17,8,0,--,--,--,--,--,--,--,--,0,25
9,1962,5,7,0,--,--,--,--,--,--,--,--,0,12
10,1963,81,37,1,--,--,--,--,--,--,--,--,5,119
11,1964,0,12,0,--,--,--,--,--,--,--,--,0,17
12,1965,3,62,0,0,--,--,--,--,--,--,--,25,65
13,1966,34,9,2,--,--,--,--,--,--,--,0,5,70
14,1967,16,4,0,--,--,--,--,--,--,--,--,0,25
15,1968,27,35,0,--,--,--,--,--,--,--,--,0,62
16,1969,50,3,2,--,--,--,--,--,--,--,0,0,55
17,1970,12,17,20,--,--,--,--,--,--,--,28,6,49
18,1971,0,6,9,--,--,--,--,--,--,--,1,--,49
19,1972,--,2,--,0,--,--,--,--,--,--,--,10,3
20,1973,0,13,1,--,--,--,--,--,--,--,3,8,24
21,1974,6,7,0,--,--,--,--,--,--,--,--,0,24
22,1975,61,29,0,--,--,--,--,--,--,--,--,0,90
23,1976,50,0,0,--,--,--,--,--,--,--,0,22,50
24,1977,16,26,1,--,--,--,--,--,--,--,--,0,65
25,1978,11,50,0,--,--,--,--,--,--,--,0,0,61
26,1979,1,0,0,--,--,--,--,--,--,--,--,--,1
27,1980,7,6,--,--,--,--,--,--,--,--,--,2,13
28,1981,91,35,0,--,--,--,--,--,--,--,0,3,128
29,1982,21,0,0,--,--,--,--,--,--,--,0,--,24
30,1983,3,5,0,--,--,--,--,--,--,--,0,1,8
31,1984,46,50,4,--,--,--,--,--,--,--,--,48,101
32,1985,9,16,--,--,--,--,--,--,--,--,--,3,73
33,1986,9,27,0,0,--,--,--,--,--,--,--,0,39
34,1987,14,45,2,--,--,--,--,--,--,--,--,0,61
35,1988,0,59,0,--,--,--,--,--,--,--,--,10,59
36,1989,0,0,0,--,--,--,--,--,--,--,--,0,10
37,1990,4,0,0,--,--,--,--,--,--,--,--,4,4
38,1991,20,34,0,--,--,--,--,--,--,--,--,5,58
39,1992,0,3,--,--,--,--,--,--,--,--,--,7,8
40,1993,21,2,0,--,--,--,--,--,--,--,--,4,30
41,1994,0,25,--,--,--,--,--,--,--,--,--,0,29
42,1995,10,3,--,0,--,--,--,--,--,--,--,13,13
43,1996,71,19,4,0,--,--,--,--,--,--,--,22,107
44,1997,17,7,--,--,--,--,--,--,--,--,--,0,46
45,1998,4,2,0,--,--,--,--,--,--,--,--,--,6
46,1999,30,8,0,--,--,--,--,--,--,--,--,0,38
47,2000,1,39,3,--,--,--,--,--,--,--,--,1,43
48,2001,30,0,0,--,--,--,--,--,--,--,--,0,31
49,2002,40,20,--,--,--,--,--,--,--,--,--,0,60
50,2003,31,0,0,--,--,--,--,--,--,--,--,21,31
51,2004,2,6,0,--,--,--,--,--,--,--,--,0,29
52,2005,1,27,0,--,--,--,--,--,--,--,--,79,28
53,2006,--,4,3,--,--,--,--,--,--,--,--,1,86
54,2007,10,--,2,--,--,--,--,--,--,--,--,--,13
55,2008,--,14,--,--,--,--,--,--,--,--,--,--,14
56,2009,10,--,--,--,--,--,--,--,--,--,--,40,10
57,2010,19,3,--,--,--,--,--,--,--,--,--,1,62
58,2011,36,4,--,--,--,--,--,--,--,--,--,7 ),41
59,2012,2,19,5,--,--,--,--,--,--,--,--,23,33
60,2013,15,7,--,--,--,--,--,--,--,--,--,--,45
61,2014,--,12,--,--,--,--,--,--,--,--,--,16,12
62,2015,9,8,16,--,--,--,--,--,--,--,--,--,49
63,2016,12,--,1,--,--,--,--,--,--,--,--,--,13
64,2017,17,4,--,--,--,--,--,--,--,--,--,6,21
65,2018,14,2,--,--,--,--,--,--,--,--,--,7,22
66,2019,--,--,×,　,　,　,　,　,　,　,　,　,7 ]
