,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1921,90.4,39.5,46.2,56.9,76.1,32.5,118.7,88.8,81.9,70.0,181.0,79.7,961.7
1,1922,92.6,57.1,64.6,48.7,114.7,46.9,98.6,165.3,131.3,107.0,173.1,199.8,1299.7
2,1923,79.6,55.2,57.3,73.2,106.7,70.7,80.4,114.7,301.0,155.0,165.8,121.0,1380.6
3,1924,72.9,102.6,30.8,80.4,105.2,49.8,115.9,99.9,205.8,196.0,171.8,98.5,1329.6
4,1925,103.1,33.7,36.9,32.8,40.8,70.9,157.2,106.5,108.3,83.3,106.8,142.6,1022.9
5,1926,100.8,66.7,68.3,72.9,44.5,71.9,123.7,75.2,153.7,253.9,102.8,64.0,1198.4
6,1927,117.7,82.6,17.7,41.7,112.1,48.5,134.5,125.2,179.9,223.9,132.4,129.3,1345.5
7,1928,65.3,52.3,52.6,24.2,118.3,51.1,80.9,10.9,167.3,212.8,245.4,173.7,1254.8
8,1929,154.2,53.1,94.0,47.1,12.3,57.9,147.2,259.2,77.6,218.7,159.6,120.6,1401.5
9,1930,97.9,23.5,86.5,28.0,77.5,66.9,38.8,183.8,146.2,151.8,276.6,146.9,1324.4
10,1931,90.8,65.4,43.8,106.1,158.1,92.9,68.9,183.2,134.4,142.6,142.3,119.1,1347.6
11,1932,92.7,33.6,82.1,75.1,96.9,43.1,117.8,373.3,183.6,164.4,143.9,117.7,1524.2
12,1933,97.6,122.4,76.0,34.4,83.3,43.2,116.3,199.6,269.4,211.6,196.3,61.4,1511.5
13,1934,90.8,63.9,151.9,116.5,74.4,71.9,56.6,139.4,154.5,160.1,241.3,112.3,1433.6
14,1935,127.4,52.7,51.9,76.5,69.7,148.1,170.9,139.2,96.3,243.0,166.8,163.2,1505.7
15,1936,83.1,55.8,57.9,62.9,68.5,103.0,197.8,40.9,142.2,264.3,120.7,185.7,1382.8
16,1937,71.0,89.3,56.9,67.5,79.4,50.9,157.6,52.6,115.3,128.2,136.9,235.3,1240.9
17,1938,105.5,88.5,50.4,85.1,59.7,62.3,66.2,18.4,387.7,123.3,106.5,205.8,1359.4
18,1939,138.9,58.5,51.5,94.0,64.7,106.5,219.1,178.5,131.9,79.0,93.7,58.0,1274.3
19,1940,71.9,32.5,49.3,82.0,74.6,108.0,147.9,249.7,66.4,88.1,100.5,108.7,1179.6
20,1941,110.7,77.5,106.8,67.9,85.8,52.0,119.8,85.0,242.7,327.2,201.3,159.0,1635.7
21,1942,110.3,119.8,94.6,113.9,122.0,87.0,100.8,125.6,155.6,101.9,156.3,132.2,1420.0
22,1943,199.0,106.2,18.8,54.4,47.5,38.8,183.7,170.8,149.4,145.5,115.7,113.4,1343.2
23,1944,135.5,46.0,27.6,33.2,28.7,53.1,86.8,59.2,168.6,136.3,112.3,96.1,983.4
24,1945,124.0,37.1,51.2,66.2,131.5,90.3,34.9,196.0,95.2,105.8,211.2,116.7,1260.1
25,1946,164.7,93.8,77.9,89.6,80.4,115.4,108.0,21.1,212.2,271.2,168.5,165.3,1568.1
26,1947,176.9,58.7,90.0,121.8,69.7,28.3,144.6,212.6,220.6,129.4,214.3,125.5,1592.4
27,1948,60.9,77.4,58.2,28.4,175.2,107.6,135.4,98.5,170.0,110.8,143.7,125.3,1291.4
28,1949,96.6,48.3,71.9,50.1,120.4,37.4,57.4,64.9,177.3,114.9,179.2,100.5,1118.9
29,1950,125.5,56.2,43.8,31.7,123.5,26.1,173.7,52.9,153.2,148.8,164.8,151.2,1251.4
30,1951,125.3,62.5,71.3,46.5,44.9,129.1,54.5,92.1,258.4,121.0,90.2,113.3,1209.1
31,1952,177.4,170.4,57.5,81.1,60.4,58.0,110.2,57.5,228.9,192.1,150.1,119.9,1463.5
32,1953,73.2,94.7,33.6,80.3,74.4,93.8,210.5,125.6,73.7,114.3,188.6,144.3,1307.0
33,1954,94.2,88.9,64.4,57.6,148.2,14.1,129.2,147.8,117.0,124.4,75.3,140.6,1201.7
34,1955,101.8,101.8,137.5,106.0,88.1,110.3,308.4,249.7,151.9,199.1,206.5,126.7,1887.8
35,1956,145.1,103.0,50.6,59.5,48.2,97.3,103.6,132.0,93.1,106.4,208.4,187.1,1334.3
36,1957,137.4,85.1,67.1,75.5,36.4,94.4,27.4,164.5,161.9,114.0,147.4,179.4,1290.5
37,1958,179.3,42.4,138.3,66.5,62.3,79.5,159.6,131.1,94.3,123.8,116.8,121.2,1315.1
38,1959,107.2,58.0,32.7,128.8,78.5,102.9,101.1,55.0,152.5,140.6,123.8,138.1,1219.2
39,1960,108.9,65.7,50.3,98.0,124.1,133.6,51.3,162.1,114.7,202.9,119.5,162.4,1393.5
40,1961,133.0,71.4,84.7,67.6,154.5,35.0,146.8,76.0,187.9,76.0,101.7,104.2,1238.8
41,1962,96.8,140.5,101.8,86.7,39.6,101.1,174.6,259.4,224.3,139.5,221.9,148.6,1734.8
42,1963,47.3,55.9,91.5,101.7,67.8,122.5,66.2,106.5,195.2,118.6,130.7,125.2,1229.1
43,1964,76.5,33.4,39.3,55.1,85.3,57.2,135.0 ),208.3,160.9,184.7,142.2,163.9,1341.8
44,1965,72.0,118.5,69.7,63.9,88.0,46.8,76.7,166.1,289.1,209.3,212.9,132.4,1545.4
45,1966,132.2,78.3,96.3,44.2 ),79.9,72.7,248.7,178.1,139.4,193.1,177.2,263.2,1703.3
46,1967,82.0,67.8,75.3,58.5,56.6,161.0,154.1,44.1,107.3,115.6,156.7,141.3,1220.3
47,1968,154.0,61.5,79.5,22.5,45.5,29.0,74.0,84.0,164.0,86.5,174.0,88.0,1062.5
48,1969,189.5,88.5,58.0,25.0,119.5,97.0,101.5,198.5,110.5,186.0,137.5,197.0,1508.5
49,1970,92.0,111.0,102.5,78.5,93.0,128.0,111.5,129.5,146.0,224.0,150.0,173.5,1539.5
50,1971,123.5,41.0,50.5,42.5,64.5,103.0,78.0,86.0,155.5,187.0,94.0,152.0,1177.5
51,1972,104.0,71.0,19.5,64.5,127.5,70.0,89.5,61.0,165.5,191.0,180.5,176.0,1320.0
52,1973,68.0,88.5,67.5,96.5,70.5,6.5,42.0,288.5,117.0,149.5,186.0,262.5,1443.0
53,1974,133.0,147.0,59.0,116.5,68.0,94.5,52.5,149.0,129.0,209.5,192.5,158.0,1508.5
54,1975,155.5,56.5,55.0,70.0,58.0,65.0,160.0,133.5,355.0,132.0,139.5,112.5,1492.5
55,1976,157.0,64.5,95.5,68.0,27.0,68.0,41.5,99.0,77.0,107.5,211.0,108.0,1124.0
56,1977,121.5,56.0,53.5,85.0,101.5,44.0,46.5,175.0,188.0,74.5,200.5,134.5,1280.5
57,1978,80.0,61.0,75.0,81.0,96.5,82.5,136.5,213.0,68.5,108.5,50.0,98.0,1150.5
58,1979,109.0,98.0,82.5,39.5,40.5,118.5,89.5,10.5,141.0,129.5,121.0,95.5,1075.0
59,1980,137.0,86.5,92.0,91.0,45.0,118.5,51.0,89.5,117.5,169.5,99.5,194.0,1291.0
60,1981,116.5,67.5,97.0,65.5,78.0,53.0,49.5,402.5,193.5,209.5,215.0,119.0,1666.5
61,1982,140.5,80.0,56.5,44.0,76.0,37.5,65.5,190.5,85.0,129.0,232.0,129.0,1265.5
62,1983,90.0,63.5,33.0,41.0,72.5,83.5,95.5,78.0,135.5,185.5,96.0,76.0,1050.0
63,1984,75.5,81.5,36.0,17.5,20.5,77.0,81.0,80.5,79.5,146.5,118.0,119.5,933.0
64,1985,80.5,62.5,38.0,45.0,47.0,29.0,144.5,68.0,187.0,186.0,129.0,145.5,1162.0
65,1986,121.0,69.0,44.5,103.0,75.0,17.5,52.5,88.5,154.5,185.0,247.0,103.5,1261.0
66,1987,132.0,71.5,67.0,62.5,58.5,55.5,122.5,177.5,136.5,116.5,150.0,114.0,1264.0
67,1988,137.0,101.5,74.0,56.0,28.5,79.0,56.0,151.0,63.5,217.0,165.0,162.0,1290.5
68,1989,64.5,46.5,51.0,32.5,86.0,54.5,52.5,204.5,176.5,172.5,153.0,142.0,1236.0
69,1990,131.5,60.0,31.5,79.5,71.0,70.0,103.5,110.5,96.5,126.5,126.5,103.5,1110.5
70,1991,147.0,94.5,81.0,91.0,53.0,132.0,142.0,33.5,232.0,156.0,105.0,105.0,1372.0
71,1992,68.5,120.5,32.5,66.0,81.0,49.0,262.5,125.0,260.0,70.5,199.0,197.5,1532.0
72,1993,127.0,53.0,33.5,90.0,28.0,70.0,47.5,159.5,47.0,208.5,117.0,176.5,1157.5
73,1994,164.5,90.5,95.5,43.5,104.0,39.0,53.5,200.0,216.5,141.0,184.5,202.0,1534.5
74,1995,200.0,41.0,62.0,60.0 ),61.5,22.0,102.0,166.0,182.5,210.5,236.0 ),80.5,1424.0
