,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1906,　,　,　,　,　,161.8 ],263.7,204.1,352.2,660.2,386.5,188.7,2217.2 ]
1,1907,225.3,220.4,178.4,155.2,197.0,400.8,489.2,498.6,456.5,331.3,356.5,83.3,3592.5
2,1908,132.5,117.1,569.8,489.9,471.0,215.9,393.9,478.4,916.5,650.1,198.2,176.3,4809.6
3,1909,390.5,105.7,328.4,226.7,161.5,502.4,345.0,174.0,393.1,375.2,178.3,73.5,3254.3
4,1910,590.3,189.7,292.9,312.1,218.1,254.4,389.3,559.6,692.1,1095.0,204.5,91.3,4889.3
5,1911,307.3,167.3,400.0,245.7,150.1,230.1,168.5,334.7,113.9,379.0,165.4,87.9,2749.9
6,1912,137.0,177.0,263.4,155.2,197.6,536.2,276.6,152.5,513.9,537.7,331.1,314.4,3592.6
7,1913,83.6,181.2,122.5,233.4,270.6,263.4,227.0,538.6,530.1,689.3,343.3,133.7,3616.7
8,1914,180.4,229.1,371.2,193.2,246.6,153.7,119.4,405.9,162.6,488.0,291.7,170.6,3012.4
9,1915,161.1,165.7,188.2,360.3,258.0,188.8,57.1,254.0,144.5,798.8,250.6,135.5,2962.6
10,1916,144.2,363.8,185.8,211.4,322.5,153.8,384.6,527.9,216.1,967.1,600.7,346.8,4424.7
11,1917,169.7,205.2,202.1,159.3,172.9,393.1,143.7,249.1,250.1,481.9,127.2,103.0,2657.3
12,1918,68.6,215.4,349.7,189.3,284.2,366.5,78.1,135.6,244.4,212.6,279.3,193.2,2616.9
13,1919,241.1,406.3,200.8,117.0,307.3,286.5,287.1,436.1,398.3,426.3,895.9,161.9,4164.6
14,1920,119.5,213.2,310.7,259.0,262.3,368.2,123.1,160.1,378.1,393.1,365.6,355.5,3308.4
15,1921,117.4,217.7,227.0,183.5,339.1,614.0,263.9,141.7,536.9,770.2,95.5,107.4,3614.3
16,1922,217.0,348.5,223.8,198.2,182.2,204.4,112.4,209.0,267.7,647.0,385.2,105.5,3100.9
17,1923,219.7,184.1,127.0,290.2,307.4,325.6,384.7,52.0,545.6,222.4,189.0,146.1,2993.8
18,1924,164.7,199.3,102.6,235.3,365.0,317.0,42.5,179.6,491.1,606.3,88.3,206.6,2998.3
19,1925,171.9,313.2,204.5,410.3,130.6,150.2,292.3,531.7,398.6,678.8,267.6,174.3,3724.0
20,1926,126.4,188.7,300.8,99.5,125.5,164.4,207.2,124.0,90.2,262.3,164.5,227.1,2080.6
21,1927,96.4,261.0,435.1,262.8,190.3,334.0,29.6,277.9,527.9,275.2,245.9,258.4,3194.5
22,1928,240.9,250.8,316.8,226.1,311.4,402.6,280.6,321.5,288.7,853.9,255.6,257.1,4006.0
23,1929,163.7,41.2,239.9,178.2,485.8,246.6,70.7,154.6,852.8,556.8,378.5,304.5,3673.3
24,1930,197.4,611.0,289.5,513.7,281.9,161.5,235.2,27.2,296.3,453.0,160.1,323.5,3550.3
25,1931,292.5,339.3,138.7,195.0,334.7,350.9,530.1,132.5,429.7,576.8,479.7,316.1,4116.0
26,1932,260.6,205.6,153.0,201.8,186.9,323.2,55.5,110.1,241.8,560.3,256.2,355.3,2910.3
27,1933,166.6,116.1,259.9,152.1,113.0,235.2,90.8,127.5,332.7,443.1,257.7,324.9,2619.6
28,1934,181.5,36.2,131.2,203.8,144.7,192.4,370.9,216.1,250.2,935.0,215.3,364.2,3241.5
29,1935,285.3,205.8,506.1,290.5,108.3,211.2,266.6,129.1,766.5,262.4,287.8,287.2,3606.8
30,1936,117.6,114.2,101.6,448.9,382.9,112.2,279.7,92.0,333.8,1065.8,312.0,328.5,3689.2
31,1937,207.2,452.6,253.6,338.0,137.9,249.4,17.0,52.7,250.4,420.0,339.7,86.2,2804.7
32,1938,135.2,120.8,318.1,189.2,212.3,267.0,121.7,574.8,805.0,514.1,294.7,203.9,3756.8
33,1939,159.0,137.4,298.4,412.8,346.1,250.8,168.3,218.5,216.3,796.9,295.4,149.9,3449.8
34,1940,58.9,131.4,219.6,119.2,45.9,152.7,145.9,252.8,894.9,370.6,295.2,124.9,2812.0
35,1941,150.1,204.4,328.6,97.8,265.2,363.9,467.7,216.9,851.8,122.7,587.9,137.5,3794.5
36,1942,111.4,260.5,231.9,142.9,275.2,687.6,35.2,129.3,149.3,355.0,321.4,183.2,2882.9
37,1943,90.4,187.9,307.1,281.1,230.4,236.7,172.7,167.6,116.3,320.9,320.2,98.8,2530.1
38,1944,89.1,168.3,345.9,200.7,138.6,280.0,179.7,359.9,161.6,519.8,554.7,92.6,3090.9
39,1945,79.8,266.9,114.1,77.5,279.1,510.8,218.6,73.0,324.2,369.1,343.7,125.8,2782.6
40,1946,162.5,139.7,285.3,256.6,503.0,118.6,101.2,116.5,250.4,425.7,631.2,94.9,3085.6
41,1947,226.3,83.6,95.8,94.6,219.5,413.5,59.0,79.4,147.7,742.6,137.6,168.6,2468.2
42,1948,172.9,174.6,362.9,253.1,394.0,448.4,142.7,617.3,205.7,302.1,300.9,166.2,3540.8
43,1949,93.6,136.0,258.7,177.2,126.5,465.1,273.1,225.8,228.4,815.3,813.2,197.7,3810.6
44,1950,265.9,230.0,199.8,220.9,280.9,296.2,92.0,532.3,314.3,531.4,440.3,206.8,3610.8
45,1951,308.3,408.6,148.8,207.2,192.4,484.9,161.8,87.5,474.7,394.0,141.1,234.3,3243.6
46,1952,187.4,224.1,291.6,491.7,255.0,391.2,390.2,241.4,496.9,230.2,517.9,183.5,3901.1
47,1953,240.9,205.5,266.4,232.1,310.4,472.5,41.6,645.6,341.3,416.6,247.4,235.5,3655.8
48,1954,633.2,219.9,333.4,205.8,286.8,382.6,246.2,163.0,411.0,440.6,608.0,170.2,4100.7
49,1955,161.8,115.3,347.0,412.7,385.0,376.2,74.2,326.2,347.6,1062.6,321.8,143.9,4074.3
50,1956,274.8,251.3,273.1,212.7,538.2,125.7,206.9,143.8,395.5,766.9,244.1,38.0,3471.0
51,1957,141.4,295.8,114.8,147.2,365.3,462.9,69.4,483.3,632.9,231.3,518.6,198.2,3661.1
52,1958,158.8,203.6,370.4,278.1,260.7,240.5,142.5,96.7,260.2,614.0,437.1,204.7,3267.3
53,1959,241.6,401.7,338.3,195.4,429.9,300.1,196.4,180.5,108.0,507.3,533.3,202.4,3634.9
54,1960,100.7,163.8,213.3,437.8,255.5,300.8,80.1,360.3,223.5,353.1,254.5,169.4,2912.8
55,1961,103.8,245.2,306.7,183.1,254.6,72.0,44.8,160.8,209.5,600.9,326.3,162.5,2670.2
56,1962,203.4,96.9,211.7,176.0,422.9,265.8,193.1,98.4,55.7,462.0,663.9,131.0,2980.8
57,1963,88.6,91.4,329.0,270.5,340.7,295.2,268.7,166.1,358.2,577.4,254.8,204.1,3244.7
58,1964,489.3,221.8,187.2,310.6,200.5,246.0,95.5,346.9,643.0,252.3,214.9,267.9,3475.9
59,1965,161.2,188.3,116.3,195.2,386.8,322.0,39.2,134.0,819.8,369.2,271.1,436.1,3439.2
60,1966,98.4,233.6,123.2,311.6,260.0,526.8,151.5,134.5,354.0,152.2,143.1,152.7,2641.6
61,1967,92.2,162.5,161.0,321.1,97.4,320.9,289.9,205.2,595.6,793.6,404.8,194.8,3639.0
62,1968,85.0,138.0,248.0,80.0,264.0,321.5,379.0,101.0,216.5,1053.0,83.5,211.0,3180.5
63,1969,182.0,332.5,239.0,194.5,249.5,307.0,330.5,37.5,182.0,266.0,207.0,82.0,2609.5
64,1970,74.5,33.5,146.0,414.0,201.0,477.0,292.0,300.0,207.0,483.0,355.0,123.5,3106.5
65,1971,100.5,103.5,113.0,109.5,164.5,404.0,91.0,121.5,307.5,711.5,163.5,229.0,2619.0
66,1972,405.5,389.0,268.5,352.5,235.0,280.0,196.0,76.0,76.0,293.0,187.5,230.0,2989.0
67,1973,263.5,165.0,281.0,350.5,316.0,269.0,62.0,46.5,440.0,337.5,226.0,91.5,2848.5
68,1974,129.0,177.5,328.5,146.0,129.5,262.0,324.0,136.0,271.0,273.0,264.5,187.0,2628.0
69,1975,334.5,247.5,115.0,245.0,292.0,586.5,135.0,377.5,315.0,402.5,426.0,326.0,3802.5
70,1976,70.0,199.5,437.0,169.5,323.5,448.0,152.0,130.5,251.0,521.5,245.5,196.0,3144.0
71,1977,84.5,107.5,226.5,163.0,252.0,496.0,114.5,471.0,471.5,226.5,227.5,112.0,2952.5
72,1978,271.0,114.5,236.0,263.5,302.5,253.5,66.5,52.5,449.5,446.5,285.5,185.5,2927.0
73,1979,199.0,149.0,254.5,303.5,197.5,199.5,403.0,632.5,645.5,520.5,530.0,124.0,4158.5
74,1980,287.5,97.5,244.5,141.0,228.5,175.5,267.0,335.0,646.5,254.5,119.5,76.5,2873.5
75,1981,79.5,166.5,424.5,263.0,269.5,316.5,85.0,324.5,294.0,241.0,182.5,79.0,2725.5
76,1982,150.0,120.5,227.5,175.5,192.5,451.5,311.5,283.5,398.5,711.5,200.0,172.0,3394.5
77,1983,184.5,275.5,258.5,234.5,135.5,401.0,207.5,194.5,221.5,248.0,142.5,116.0,2619.5
78,1984,86.0,89.0,271.0,158.0,207.0,379.0,32.5,31.5,169.0,531.0,189.0,173.0,2316.0
79,1985,56.0,198.0,426.0,533.0,222.0,533.5,65.5,153.5,261.0,386.0,107.0,193.0,3134.5
80,1986,124.0,166.5,420.0,244.5,298.5,331.5,230.0,160.0,198.0,402.0,230.0,141.0,2946.0
81,1987,171.0,129.0,245.0,166.5,154.0,413.5,345.0,209.0,556.0,404.5,347.0,338.5,3479.0
82,1988,111.0,179.0,374.5,262.0,160.0,505.5,170.0,275.0,322.0,805.0,94.0,23.5,3281.5
83,1989,360.0,156.5,238.5,250.0,455.5,297.5,218.0,98.5,102.0,561.5,306.5,174.0,3218.5
84,1990,209.5,416.5,269.0,175.0,263.0,350.5,116.0,328.0,285.0,416.5,257.0,64.5,3150.5
85,1991,129.5,98.5,176.5,217.0,239.5,500.5,195.5,183.0,713.5,1031.5,152.0,201.5,3838.5
86,1992,335.5,249.5,625.5,228.0,194.5,601.5,340.0,276.0,60.5,587.5,309.0,274.5,4082.0
87,1993,513.0,64.0,306.0,189.0,177.0,214.5,712.0,330.5,382.5,487.0,143.5,241.0,3760.0
88,1994,138.0,183.5,266.5,143.0,210.5,234.0,60.5,92.5,352.5,367.0,249.0,158.5,2455.5
89,1995,117.5,219.0,315.0,234.0,281.0,734.0,13.0,28.5,241.0,408.0,241.5,64.0,2896.5
