,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1936,　,　,　,　,　,　,16.6,18.6,16.3,6.9,1.2,-1.9,9.6 ]
1,1937,-5.1,-4.7,-3.3,2.1,7.4,10.8,19.0,20.4,13.6,6.7,2.0,-4.9,5.3
2,1938,-6.3,-5.6,-1.6,3.9,9.5,12.1,16.4,20.0,14.3,7.0,1.7,-4.1,5.6
3,1939,-8.2,-6.7,-2.4,2.1,7.1,11.9,17.8,19.7,16.4,8.4,1.2,-2.4,5.4
4,1940,-8.4,-6.6,-1.2,2.1,8.2,11.9,17.8,18.4,13.5,6.6,3.6,-1.8,5.3
5,1941,-4.8,-5.4,-2.2,1.7,6.7,10.8,14.2,16.7,13.6,7.2,0.6,-2.6,4.7
6,1942,-6.7,-8.0,-1.1,3.0,7.1,12.5,17.6,17.2,13.9,6.7,1.4,-3.0,5.1
7,1943,-6.1,-5.9,-3.0,1.9,6.9,11.8,18.4,21.2,16.1,7.5,0.8,-2.6,5.6
8,1944,-7.0,-7.5,-3.2,0.5,7.7,12.9,18.2,19.9,14.4,7.6,1.6,-6.2,4.9
9,1945,-10.8,-7.9,-2.3,2.1,6.3,10.9,13.6,19.3,13.1,8.5,1.9,-5.0,4.1
10,1946,-6.2,-5.1,-4.0,3.5,6.5,14.1,18.6,20.0,13.2,7.6,2.9,-3.4,5.6
11,1947,-5.1,-7.0,-3.7,2.7,6.1,10.1,17.2,19.6,13.6,6.5,0.9,-5.4,4.6
12,1948,-3.3,-5.8,-2.1,4.4,9.2,13.5,17.9,19.8,14.7,7.6,1.0,-1.2,6.3
13,1949,-2.3,-2.1,-3.1,2.0,9.7,10.3,16.1,19.4,13.9,7.8,0.8,-3.0,5.8
14,1950,-5.6,-3.5,-2.1,2.7,8.4,13.4,19.7,20.6,16.1,5.7,2.3,-3.3,6.2
15,1951,-7.1,-5.2,-2.3,3.2,8.1,12.5,16.3,20.4,12.2,7.2,2.3,-1.5,5.5
16,1952,-6.0,-7.8,-3.2,3.7,7.3,13.0,16.8,18.5,14.6,7.2,0.6,-6.1,4.9
17,1953,-6.7,-6.5,0.2,2.6,7.3,11.8,17.2,17.7,13.5,7.6,1.1,-0.8,5.4
18,1954,-5.0,-2.9,-1.7,4.7,8.0,9.3,13.7,18.7,16.6,7.4,2.1,-2.4,5.7
19,1955,-5.6,-4.4,-0.7,3.3,7.3,13.0,20.1,20.0,14.1,9.8,1.7,-0.2,6.5
20,1956,-4.8,-4.8,-0.7,3.9,9.8,12.6,16.1,17.2,14.9,9.1,2.8,-3.1,6.1
21,1957,-4.0,-5.4,-3.1,3.6,8.5,11.4,15.8,19.3,13.2,8.7,2.8,-1.3,5.8
22,1958,-3.8,-2.1,-1.8,3.4,7.7,13.2,17.3,18.4,15.4,7.2,2.0,0.2,6.4
23,1959,-4.9,-2.0,0.2,5.2,8.7,12.8,17.3,18.8,15.7,9.0,2.3,-2.1,6.8
