,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1948,×,×,79,85,86,82,89,87,83,80,74,76,82 ]
1,1949,69,75,68,71,75,83,83,81,83,78,74,75,76
2,1950,69,70,70,80,75,82,78,82,83,78,76,66,76
3,1951,67,70,69,77,77,77,87,77,79,81,72,72,75
4,1952,69,71,74,75,78,82,84,81,82,74,77,69,76
5,1953,65,68,70,70,71,84,82,80,82,77,74,72,75
6,1954,74,73,70,74,76,82,86,81,83,78,76,73,77
7,1955,68,71,74,75,80,80,79,79,82,78,75,72,76
8,1956,69,65,79,72,78,84,84,81,83,79,73,62,76
9,1957,73,67,70,76,76,82,86,83,82,78,78,71,77
10,1958,70,72,74,78,75,80,79,84,82,76,77,74,77
11,1959,72,77,71,72,78,79,85,82,81,77,77,76,77
12,1960,70,69,74,73,78,80,82,79,83,78,79,68,76
13,1961,63,63,72,72,79,80,78,79,81,80,75,72,75
14,1962,69,72,71,72,74,84,85,82,79,77,77,75,76
15,1963,69,74,74,78,87,88,83,83,81,80,77,73,79
16,1964,76,77,71,86,76,82,79,79,84,80,76,74,78
17,1965,71,68,68,72,77,84,86,77,81,78,77,74,76
18,1966,70,75,76,78,77,84,81,78,83,78,75,73,77
19,1967,73,73,77,81,79,82,82,78,78,73,76,71,77
20,1968,64,67,70,73,78,78,83,83,84,78,74,77,76
21,1969,76,76,71,73,75,77,81,76,80,76,72,69,75
22,1970,70,70,62,80,76,85,81,80,81,76,73,68,75
23,1971,73,76,70,72,74,83,80,81,81,73,71,66,75
24,1972,74,73,74,76,77,84,90,85,86,75,71,70,78
25,1973,76,69,65,74,72,81,79,78,80,75,67,65,73
26,1974,63,69,69,69,72,75,86,82,80,77,71,70,74
27,1975,68,69,71,78,76,83,77,75,78,81,79,72,76
28,1976,66,76,74,76,78,84,80,78,82,79,71,71,76
29,1977,64,64,74,76,76,86,81,84,83,78,72,67,75
30,1978,66,69,65,67,72,74,74,72,79,75,72,72,71
31,1979,68,71,70,70,69,76,80,77,77,76,71,68,73
32,1980,64,61,71,68,71,77,84,88,80,73,75,63,73
33,1981,65,71,71,73,70,80,78,76,75,73,71,67,73
34,1982,66,72,73,70,72,76,83,81,81,80,78,70,75
35,1983,69,70,76,75,75,79,81,83,84,80,73,67,76
36,1984,67,66,67,76,80,83,82,76,79,74,78,70,75
37,1985,68,74,80,76,78,86,80,72,83,78,69,68,76
38,1986,62,61 ),75,75,79,82,85,75,82,75,73,73,75
39,1987,65,64,73,70,73,75,79,77,77,76,75,70,73
40,1988,66,62,70,66,73,81,86,80,83,73,65,63,72
41,1989,75,73,69,68,76,77,77,79,81,73,68,68,74
42,1990,68,75,70,70,72,76,78,72,79,78,74,66,73
43,1991,64,66,77,77,75,86,83,83,81,73,69,72,76
44,1992,69,64,77,71,72,76,78,82,75,74,73,67,73
45,1993,71,65,70,67,78,84,87,88,84,74,79,67,76
46,1994,71,67,68,73,70,86,82,76,78,76,73,69,74
47,1995,61,68,72,72,75,83,84,79,79,78,69,67,74
48,1996,65,69,70,67,72,83,80,81,79,76,71,68,73
49,1997,65 ),61,71,71,74,78,82,78,81,67,74,69,73
50,1998,70,71,68,81,78,81,80,77,79,80,68,67,75
51,1999,60,63,74,74,69,79,81,82,82,75,71,67,73
52,2000,72,62,64,65,73,85,75,73,78,81,74,67,72
53,2001,70,71,67,69,74,80,78,77,79,76,71,68,73
54,2002,63,67,65,66,78,74,76,72,75,71,62,69,70
55,2003,66,71,69,74,75,78,81,80,73 ),66,76,66,73
56,2004,64,59,64,66 ),75,78,76,79,83,78,72,73,72
57,2005,68,67,70,63,72,75,82,74,79,75,70,61,71
58,2006,67,68,68 ),68,77,80,82,78,81,78,73,73,74
59,2007,70,71,65,65,67,78,85,75,79,74,71,68,72
60,2008,74,63,74,73,73,82,77,78,81,75,72,73,75
61,2009,75,73,67,68,70,75,81,80,79,74,76,70,74
62,2010,66,70,73 ),71,72,80,79,71,73,76,70,68,72
63,2011,68,73,65,65,73,80,74,76,76,74,72,66,72
64,2012,66,70,69,64,70,78,75,71,76,72,68,69,71
65,2013,68,68,66,65,67,79,71,73,74,74,69 ),71,70
66,2014,72,73,70,73,68,81,81,85,80,77,78,66,75
67,2015,70,69,69,75,73,81,83,83,83,75,81,77,77
68,2016,78,70,73,77,75,83,80,78,85,83,78,78,78
69,2017,71,67,69,73,70,77,80,80,81,84,72,65,74
70,2018,73,71,74,73,74,81,81,74,86,78 ),78,76,77
71,2019,73,73,75 ],　,　,　,　,　,　,　,　,　,73 ]
