,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1886,81.0,80.0,78,78,83,86,85,82,86,78,72,78,81
1,1887,75.0,76.0,76,76,81,90,88,86,80,80,80,82,81
2,1888,90.0,90.0,82,74,77,85,89,82,79,76,76,79,82
3,1889,86.0,80.0,78,76,77,86,89,85,82,75,75,79,81
4,1890,79.0,80.0,72,72,73,81,84,85,84,78,71,83,79
5,1891,86.0,79.0,73,67,74,86,87,83,83,74,69,73,78
6,1892,79.0,75.0,70,71,75,82,83,82,79,73,72,83,77
7,1893,80.0,83.0,70,79,80,86,85,85,79,73,72,73,79
8,1894,78.0,74.0,76,76,80,87,88,83,82,75,73,69,78
9,1895,82.0,78.0,74,74,81,85,84,86,79,77,66,73,78
10,1896,76.0,80.0,76,71,71,85,89,84,82,73,71,76,78
11,1897,79.0,75.0,72,76,80,85,87,83,82,71,70,78,78
12,1898,70.0,73.0,78,70,77,83,87,86,82,70,67,70,76
13,1899,76.0,74.0,70,71,73,82,86,85,74,75,66,72,75
14,1900,80.0,81.0,74,72,77,79,83,84,77,74,67,70,77
15,1901,71.0,69.0,65,70,73,83,86,84,83,76,73,75,76
16,1902,77.0,73.0,69,65,75,82,89,84,83,74,69,73,76
17,1903,74.0,71.0,69,74,77,84,87,81,84,75,74,75,77
18,1904,76.0,72.0,68,73,74,82,85,81,80,74,69,71,75
19,1905,68.0,76.0,70,73,75,86,85,84,77,75,70,70,76
20,1906,76.0,76.0,72,72,75,83,88,86,77,75,70,74,77
21,1907,76.0,71.0,70,76,78,82,86,88,79,70,71,76,77
22,1908,77.0,74.0,73,72,79,81,85,84,77,74,72,73,77
23,1909,73.0,76.0,71,72,80,84,85,84,78,72,70,75,77
24,1910,72.0,74.0,68,71,77,83,86,85,80,77,70,73,76
25,1911,76.0,73.0,67,72,70,82,86,83,79,74,74,71,76
26,1912,72.0,72.0,69,67,76,86,84,84,77,74,71,71,75
27,1913,75.0,69.0,69,71,74,83,88,81,77,75,72,75,76
28,1914,73.0,67.0,74,66,75,82,83,83,78,76,74,74,75
29,1915,79.0,77.0,76,71,78,84,86,83,78,77,73,74,78
30,1916,72.0,75.0,72,70,78,85,83,78,78,74,73,72,76
31,1917,74.0,72.0,71,73,73,82,85,82,79,75,75,73,76
32,1918,77.0,74.0,69,74,80,84,86,82,81,75,71,77,78
33,1919,80.0,74.0,68,69,72,81,83,81,79,74,72,71,75
34,1920,75.0,71.0,72,75,86,81,86,86,75,73,71,74,77
35,1921,73.0,71.0,71,77,75,79,88,82,80,71,73,75,76
36,1922,83.0,76.0,71,73,78,80,87,81,76,71,72,74,77
37,1923,79.0,73.0,73,65,77,84,84,81,79,72,73,74,76
38,1924,77.0,76.0,74,74,74,82,80,78,76,73,75,74,76
39,1925,72.0,74.0,73,71,78,77,79,82,80,75,73,77,76
40,1926,78.0,73.0,70,67,77,80,83,81,79,73,69,72,75
