,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1893,1018.7,1022.1,1018.5,1013.9,1013.9,1010.9,1009.9,1009.2,1014.1,1018.1,1019.7,1021.5,1015.9
1,1894,1020.4,1022.5,1018.9,1015.9,1013.7,1011.1,1010.3,1007.6,1013.7,1019.1,1021.3,1021.3,1016.3
2,1895,1021.1,1019.2,1018.3,1015.6,1013.6,1009.2,1006.9,1007.1,1012.8,1015.3,1020.9,1019.1,1014.9
3,1896,1018.8,1021.6,1020.5,1016.1,1012.8,1009.7,1007.3,1009.2,1010.4,1017.9,1018.5,1021.9,1015.4
4,1897,1021.6,1021.2,1021.1,1016.0,1010.5,1008.0,1009.3,1010.1,1012.8,1018.1,1019.1,1024.1,1016.0
5,1898,1022.0,1015.9,1018.7,1018.0,1010.3,1007.3,1009.7,1008.5,1011.6,1017.1,1020.1,1018.7,1014.8
6,1899,1021.2,1020.3,1018.0,1015.9,1012.9,1009.6,1003.2,1010.1,1013.1,1017.7,1020.8,1019.6,1015.2
7,1900,1022.8,1021.9,1018.1,1015.9,1009.7,1011.1,1007.1,1008.3,1012.5,1018.7,1020.1,1022.1,1015.7
8,1901,1021.3,1017.3,1020.9,1014.9,1012.1,1006.8,1007.2,1010.4,1011.7,1016.1,1019.7,1021.6,1015.0
9,1902,1020.7,1023.5,1018.0,1015.5,1011.3,1007.2,1007.9,1009.1,1010.0,1019.7,1021.5,1018.1,1015.2
10,1903,1020.0,1022.4,1018.4,1016.7,1013.9,1007.7,1008.1,1011.9,1013.6,1017.2,1020.7,1020.5,1015.9
11,1904,1023.1,1020.9,1018.8,1017.3,1011.9,1009.5,1008.8,1009.2,1011.9,1017.6,1019.3,1020.8,1015.8
12,1905,1017.7,1018.8,1020.8,1015.9,1012.8,1007.3,1008.1,1008.5,1014.3,1017.7,1022.0,1020.1,1015.3
13,1906,1021.7,1017.9,1017.7,1015.2,1012.0,1008.1,1004.3,1008.1,1013.3,1017.6,1022.4,1018.8,1014.8
14,1907,1021.1,1020.7,1018.4,1016.1,1009.7,1008.4,1006.7,1006.4,1011.6,1017.6,1020.7,1021.2,1014.9
15,1908,1022.5,1020.1,1019.7,1016.7,1011.7,1008.1,1007.5,1008.5,1012.8,1016.9,1018.9,1021.5,1015.4
16,1909,1021.1,1018.9,1020.0,1013.9,1012.5,1007.7,1011.9,1005.9,1011.2,1017.9,1018.9,1022.0,1015.2
17,1910,1018.1,1018.7,1018.0,1016.5,1012.7,1007.3,1006.9,1007.1,1011.9,1018.4,1019.3,1022.0,1014.7
18,1911,1020.7,1024.1,1017.9,1014.9,1014.3,1008.1,1009.1,1008.3,1013.2,1016.1,1019.9,1023.3,1015.8
19,1912,1022.1,1018.1,1017.7,1015.9,1011.5,1006.0,1007.5,1009.7,1012.0,1018.4,1021.1,1024.1,1015.3
20,1913,1022.7,1019.9,1017.9,1015.1,1010.9,1006.5,1008.3,1006.8,1013.3,1016.3,1022.5,1021.5,1015.1
21,1914,1020.7,1020.9,1017.7,1014.7,1013.3,1008.7,1008.0,1007.9,1013.5,1018.9,1020.3,1019.9,1015.4
22,1915,1022.0,1017.6,1017.9,1015.9,1011.6,1009.5,1009.3,1004.1,1010.9,1016.3,1022.8,1020.3,1014.9
23,1916,1022.4,1017.1,1017.9,1016.4,1012.4,1007.7,1008.3,1006.1,1013.2,1018.8,1022.3,1020.8,1015.3
24,1917,1020.3,1016.9,1019.3,1013.3,1010.8,1008.7,1010.3,1008.4,1013.5,1016.1,1020.5,1017.9,1014.7
25,1918,1020.4,1022.9,1019.5,1016.3,1011.6,1008.9,1005.7,1010.5,1011.2,1018.7,1017.6,1021.9,1015.4
26,1919,1020.8,1020.4,1017.3,1014.4,1013.1,1006.1,1010.0,1008.9,1011.9,1016.1,1019.3,1020.8,1014.9
27,1920,1018.8,1022.8,1021.2,1017.3,1008.5,1007.2,1009.2,1005.2,1012.8,1017.3,1019.6,1021.6,1015.1
28,1921,1021.6,1018.4,1017.3,1016.1,1010.9,1007.7,1010.0,1007.9,1012.7,1017.7,1020.5,1022.3,1015.3
29,1922,1022.5,1019.5,1018.8,1015.5,1012.3,1007.3,1009.2,1009.3,1014.3,1016.8,1019.6,1020.0,1015.4
30,1923,1022.7,1017.9,1021.7,1015.5,1010.8,1008.1,1008.3,1009.5,1009.9,1016.0,1018.7,1022.3,1015.1
31,1924,1021.3,1017.7,1020.8,1015.3,1010.3,1008.5,1012.5,1006.5,1013.2,1018.1,1018.1,1021.1,1015.3
32,1925,1020.4,1021.6,1018.0,1018.3,1011.6,1007.6,1009.6,1008.4,1011.3,1017.1,1019.3,1019.3,1015.2
33,1926,1022.3,1022.4,1018.5,1013.3,1012.8,1010.4,1009.1,1010.0,1011.7,1016.4,1021.3,1020.7,1015.7
34,1927,1020.4,1020.5,1019.5,1017.3,1012.1,1008.8,1009.7,1007.5,1010.5,1017.6,1018.4,1019.1,1015.1
35,1928,1022.1,1021.6,1017.9,1016.3,1012.0,1007.9,1008.7,1004.9,1012.1,1018.0,1021.2,1021.9,1015.4
36,1929,1022.3,1020.3,1018.5,1014.9,1012.8,1007.9,1010.0,1008.7,1012.5,1017.6,1021.6,1021.2,1015.7
37,1930,1023.6,1020.7,1020.0,1015.1,1013.6,1009.1,1008.0,1007.9,1014.9,1016.5,1020.8,1022.3,1016.0
38,1931,1020.0,1020.0,1018.2,1014.6,1012.8,1007.4,1007.4,1010.0,1012.5,1019.3,1020.8,1021.7,1015.4
39,1932,1024.0,1020.1,1017.6,1013.7,1012.4,1008.8,1009.0,1007.4,1012.2,1017.3,1019.3,1022.1,1015.3
40,1933,1023.3,1019.7,1018.1,1016.0,1013.2,1008.5,1010.1,1007.8,1012.1,1017.6,1020.1,1017.3,1015.3
41,1934,1021.0,1018.0,1014.9,1016.4,1012.9,1008.9,1008.8,1010.9,1011.3,1020.4,1019.6,1022.8,1015.5
42,1935,1019.8,1020.5,1016.9,1015.2,1011.3,1007.8,1008.5,1006.8,1010.2,1015.8,1022.2,1022.1,1014.8
43,1936,1020.9,1018.0,1022.1,1013.3,1013.3,1009.6,1008.0,1008.6,1012.4,1016.1,1021.2,1020.8,1015.4
44,1937,1021.6,1019.2,1015.7,1017.4,1010.8,1010.1,1007.3,1013.3,1012.9,1017.7,1019.3,1018.9,1015.4
45,1938,1023.6,1017.8,1017.7,1012.9,1011.8,1007.4,1009.4,1007.6,1011.7,1016.2,1020.0,1021.4,1014.8
46,1939,1022.1,1021.6,1016.2,1016.0,1012.0,1007.0,1009.3,1007.8,1011.2,1017.0,1019.7,1024.8,1015.4
47,1940,1017.6,1022.0,1017.0,1014.1,1012.1,1009.6,1010.1,1011.0,1011.3,1017.3,1020.8,1019.4,1015.2
48,1941,1018.1,1021.8,1017.4,1014.2,1012.1,1008.4,1006.6,1007.2,1012.5,1019.4,1019.8,1020.8,1014.9
49,1942,1019.4,1020.9,1019.7,1017.3,1011.8,1008.2,1009.0,1007.2,1011.8,1018.0,1019.7,1019.6,1015.2
50,1943,1021.8,1021.3,1016.6,1017.3,1012.4,1008.6,1008.5,1009.8,1012.2,1016.9,1020.9,1023.4,1015.8
51,1944,1023.4,1019.8,1016.2,1014.5,1012.1,1008.6,1010.0,1010.8,1012.0,1018.0,1017.8,1020.6,1015.3
52,1945,1020.0,1020.2,1021.0,1015.3,1009.7,1008.2,1007.6,1011.3,1012.4,1017.6,1019.8,1018.8,1015.2
53,1946,1021.3,1020.5,1020.8,1015.6,1012.4,1009.4,1006.8,1007.7,1012.0,1018.9,1019.3,1018.9,1015.3
54,1947,1021.0,1018.8,1018.9,1014.5,1012.9,1009.2,1009.4,1012.8,1011.4,1018.9,1022.0,1022.4,1016.0
55,1948,1020.1,1020.1,1020.5,1015.6,1013.2,1007.8,1008.9,1008.5,1013.3,1018.2,1023.2,1021.0,1015.9
56,1949,1019.3,1016.4,1018.5,1015.7,1011.4,1007.3,1009.4,1007.7,1012.6,1017.3,1022.0,1019.7,1014.8
57,1950,1016.9,1019.7,1017.8,1015.7,1011.7,1008.4,1007.0,1005.8,1011.0,1018.0,1018.4,1020.6,1014.3
58,1951,1022.0,1018.0,1019.0,1016.7,1011.9,1007.9,1009.4,1009.1,1013.2,1016.5,1020.1,1020.3,1015.3
59,1952,1020.2,1020.7,1016.8,1015.8,1012.8,1007.8,1007.6,1010.0,1012.9,1017.7,1019.8,1023.1,1015.4
60,1953,1020.2,1023.7,1017.3,1017.2,1011.8,1007.0,1008.1,1009.2,1012.5,1017.2,1021.4,1023.3,1015.7
61,1954,1018.2,1019.4,1020.5,1014.7,1011.6,1007.2,1006.9,1008.9,1008.6,1017.9,1019.6,1023.1,1014.7
62,1955,1022.9,1016.1,1019.6,1015.9,1010.5,1008.3,1007.3,1009.6,1011.9,1016.3,1021.0,1019.3,1014.9
63,1956,1017.1,1017.2,1019.0,1014.0,1012.0,1008.7,1007.7,1009.0,1012.1,1018.5,1022.7,1023.9,1015.2
64,1957,1021.0,1022.0,1018.0,1016.1,1012.3,1008.5,1006.7,1007.9,1012.1,1016.5,1021.4,1019.5,1015.2
65,1958,1021.9,1019.7,1017.5,1015.7,1012.5,1008.7,1007.8,1010.0,1011.8,1018.7,1021.2,1020.4,1015.5
66,1959,1020.0,1021.2,1020.8,1013.9,1012.3,1007.7,1007.3,1006.2,1010.3,1017.1,1019.8,1022.1,1014.9
67,1960,1021.1,1020.1,1017.3,1015.8,1010.6,1009.6,1009.5,1008.2,1013.5,1018.7,1019.9,1020.2,1015.4
68,1961,1022.2,1018.7,1019.8,1015.5,1011.6,1008.8,1007.5,1008.7,1011.8,1016.2,1021.7,1019.1,1015.1
69,1962,1016.9,1019.4,1016.0,1016.0,1011.1,1008.2,1007.6,1010.0,1013.1,1018.3,1020.7,1019.5,1014.7
70,1963,1012.4,1020.4,1018.1,1018.1,1011.6,1010.0,1009.4,1006.3,1011.6,1018.8,1020.2,1020.7,1014.8
71,1964,1021.1,1024.7,1019.3,1018.1,1014.3,1007.3,1008.7,1007.5,1012.9,1019.7,1019.3,1022.3,1016.3
72,1965,1020.2,1019.4,1017.6,1016.5,1011.0,1009.1,1007.9,1009.3,1011.2,1018.9,1020.6,1020.1,1015.2
73,1966,1021.1,1018.9,1013.9,1015.2,1012.5,1009.4,1009.2,1006.2,1010.7,1016.6,1019.6,1021.2,1014.5
74,1967,1021.8,1021.7,1017.7,1017.8,1011.7,1006.7,1006.0,1007.7,1010.9,1017.6,1023.0,1021.7,1015.4
75,1968,1018.3,1021.9,1016.8,1019.0,1011.3,1010.0,1005.3,1007.6,1013.4,1017.0,1021.5,1018.4,1015.0
76,1969,1018.5,1020.6,1018.9,1015.9,1009.5,1007.8,1009.5,1008.9,1013.1,1017.3,1021.5,1022.5,1015.3
77,1970,1020.7,1020.9,1020.2,1017.9,1011.5,1010.8,1006.7,1008.6,1012.2,1018.6,1020.4,1020.9,1015.8
78,1971,1019.4,1019.9,1019.5,1016.3,1012.8,1007.7,1006.9,1007.0,1011.6,1018.8,1021.8,1021.9,1015.3
79,1972,1021.7,1017.0,1017.3,1017.1,1011.0,1007.4,1005.7,1010.0,1012.1,1017.6,1019.1,1021.2,1014.8
80,1973,1021.2,1019.3,1018.6,1014.1,1012.3,1008.9,1009.3,1012.5,1013.4,1018.8,1019.4,1019.6,1015.6
81,1974,1021.3,1020.2,1019.6,1013.2,1013.0,1006.6,1007.8,1006.8,1012.0,1016.9,1022.0,1024.0,1015.3
82,1975,1020.2,1018.4,1016.9,1014.8,1011.6,1007.6,1008.1,1009.1,1012.8,1017.4,1021.0,1020.5,1014.9
83,1976,1020.3,1019.3,1018.5,1016.6,1011.6,1009.2,1009.1,1010.2,1012.2,1016.7,1021.6,1020.5,1015.5
84,1977,1022.5,1022.0,1020.1,1014.9,1012.8,1007.5,1008.8,1005.9,1013.1,1020.4,1020.8,1022.3,1015.9
85,1978,1017.7,1019.7,1016.9,1013.5,1013.1,1009.2,1009.0,1009.7,1012.6,1019.1,1021.0,1022.8,1015.4
86,1979,1020.2,1016.1,1017.5,1016.3,1011.8,1011.3,1007.7,1008.6,1013.4,1016.0,1022.0,1023.4,1015.4
87,1980,1018.7,1022.1,1018.8,1017.0,1012.5,1010.6,1007.4,1008.7,1012.7,1017.6,1020.1,1017.2,1015.3
88,1981,1021.1,1019.0,1018.5,1014.5,1011.4,1009.6,1009.9,1005.6,1012.8,1016.7,1021.3,1022.5,1015.2
89,1982,1020.4,1021.2,1018.6,1016.6,1012.2,1008.0,1007.5,1008.6,1012.9,1017.4,1020.1,1021.4,1015.4
90,1983,1023.8,1020.3,1018.1,1014.3,1012.5,1008.7,1007.4,1008.3,1011.9,1018.3,1019.8,1020.0,1015.3
91,1984,1020.6,1020.5,1018.6,1017.4,1013.3,1008.0,1005.9,1009.5,1012.7,1017.3,1021.5,1020.9,1015.5
92,1985,1022.3,1016.3,1021.6,1014.4,1013.0,1009.4,1007.8,1009.2,1014.4,1017.5,1018.2,1021.2,1015.4
93,1986,1020.3,1020.3,1017.4,1016.1,1009.5,1008.2,1009.5,1007.4,1012.2,1019.0,1022.4,1021.4,1015.3
94,1987,1021.4,1019.1,1016.7,1017.2,1013.8,1009.0,1007.3,1008.9,1013.6,1017.7,1020.8,1022.3,1015.7
95,1988,1020.3,1022.3,1018.2,1015.8,1011.5,1006.8,1007.5,1007.3,1011.4,1016.2,1017.6,1022.2,1014.8
96,1989,1021.8,1020.4,1017.4,1013.8,1011.4,1009.2,1010.0,1007.1,1011.7,1017.6,1021.9,1020.7,1015.3
97,1990,1023.0,1023.2,1018.9,1014.1,1013.3,1008.9,1007.6,1007.4,1012.9,1017.7,1019.9,1020.9,1015.7
98,1991,1021.3,1019.5,1019.2,1015.8,1012.6,1007.5,1006.9,1006.5,1011.6,1014.9,1022.2,1021.9,1015.0
99,1992,1021.1,1018.6,1019.7,1012.1,1011.3,1008.8,1009.0,1008.2,1012.1,1017.6,1022.0,1021.7,1015.2
100,1993,1020.7,1018.6,1019.1,1014.8,1012.2,1006.8,1006.8,1007.9,1013.0,1018.7,1021.8,1022.4,1015.2
101,1994,1019.7,1016.9,1020.1,1014.7,1009.8,1008.5,1007.1,1011.1,1009.5,1017.7,1023.3,1023.0,1015.1
102,1995,1020.2,1020.2,1016.9,1015.0,1012.2,1007.4,1009.5,1011.6,1012.4,1017.6,1018.1,1021.6,1015.2
103,1996,1020.6,1021.0,1016.9,1016.8,1012.8,1008.1,1009.5,1008.6,1012.2,1017.7,1020.0,1020.3,1015.4
104,1997,1018.5,1020.5,1019.8,1015.8,1009.5,1008.5,1007.8,1009.3,1012.5,1016.8,1020.3,1022.5,1015.2
105,1998,1021.2,1019.9,1019.1,1015.9,1013.9,1009.2,1007.0,1008.9,1011.3,1016.2,1019.1,1022.5,1015.4
