,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,4.9,5.2,5.5,5.0,3.7,3.4,3.1,3.2,3.0,3.4,4.4,4.4,4.1
1,1952,4.7,4.3,4.9,4.3,3.8,3.8,3.1,3.1,2.8,3.5,3.1,4.5,3.8
2,1953,5.3,4.7,5.1,4.3,4.3,3.6,3.3,3.7,3.4,2.9,4.3,4.4,4.1
3,1954,4.0,4.6,4.6,4.1,3.7,4.8,3.3,3.4,4.1,3.2,3.5,5.0,4.0
4,1955,5.6,5.0,4.2,3.9,3.9,3.3,4.0,3.2,3.1,3.8,3.4,4.1,4.0
5,1956,4.7,5.3,4.8,4.2,3.5,3.6,3.0,3.4,3.0,3.3,3.9,5.0,4.0
6,1957,4.7,5.1,5.5,4.0,3.9,3.6,3.4,3.3,3.3,3.3,3.0,4.3,4.0
7,1958,5.1,4.9,4.6,4.1,3.8,3.0,3.1,3.7,3.7,3.0,2.8,4.5,3.9
8,1959,4.6,3.7,4.2,4.4,3.4,3.6,3.2,3.6,3.7,2.9,3.2,4.3,3.7
9,1960,5.4,4.7,4.8,4.6,3.4,3.6,3.1,3.6,2.8,3.3,3.7,4.9,4.0
10,1961,4.8,4.9,3.6,4.0,3.4,3.6,3.1,2.9,3.4,3.4,3.6,4.0,3.7
11,1962,4.4,4.2,4.3,4.1,3.3,3.2,2.9,3.3,2.9,2.7,2.9,3.8,3.5
12,1963,5.0,4.7,4.1,3.7,3.2,3.2,3.1,3.4,3.2,3.1,3.5,4.1,3.7
13,1964,3.6,4.4,4.7,3.7,3.4,3.6,3.2,2.9,3.0,2.6,3.6,3.8,3.5
14,1965,4.6,5.1,5.3,4.4,3.8,2.9,3.7,3.3,3.4,2.8,3.8,4.4,4.0
15,1966,5.0,4.7,4.6,3.8,3.8,3.4,3.1,2.8,3.6,3.4,3.5,4.4,3.8
16,1967,5.0,3.9,4.0,3.9,3.1,3.2,2.9,3.5,2.8,3.1,2.9,4.2,3.5
17,1968,4.9,4.9,4.1,3.2,3.5,3.0,3.6,2.8,3.1,2.9,3.5,3.9,3.6
18,1969,3.8,4.1,4.2,3.9,4.1,3.1,2.9,3.6,2.5,3.3,3.5,4.3,3.6
19,1970,4.5,4.7,4.8,3.7,3.4,2.9,2.9,2.9,2.7,2.8,3.8,4.2,3.6
20,1971,4.4,4.2,4.5,3.9,3.5,3.0,3.0,3.5,3.6,2.9,3.0,3.8,3.6
21,1972,3.8,4.2,4.3,3.6,3.6,3.2,3.6,2.8,3.6,3.3,3.8,4.0,3.7
22,1973,4.1,4.5,4.7,3.6,3.7,3.0,3.0,2.8,2.8,3.1,3.9,4.4,3.6
23,1974,5.3,4.3,4.1,4.3,3.5,3.2,2.8,3.3,3.2,3.0,3.8,3.8,3.7
24,1975,3.8,4.0,3.8,2.9,2.9,2.6,2.4,2.8,2.3,2.4,2.9,3.1,3.0
25,1976,4.3,3.8,3.6,2.8,2.9,2.9,2.5,2.9,2.8,3.0,3.4,3.8,3.2
26,1977,4.2,4.4,3.7,3.5,3.4,2.7,2.2,2.9,2.5,2.0,3.1,3.5,3.2
27,1978,4.1,4.5,4.4,3.7,2.9,2.5,2.1,2.7,2.8,2.6,3.0,3.1,3.2
28,1979,3.9,4.0,3.8,3.6,3.4,2.6,2.7,2.5,2.8,3.0,3.4,3.1,3.2
