,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,5.8,6.3,7.2,10.0,13.8,17.4,24.7,26.7,17.8,14.9,9.9,8.0,13.5
1,1952,6.2,5.7,7.1,10.2,13.6,19.3,24.7,27.0,21.7,13.9,11.1,7.3,14.0
2,1953,6.0,6.2,8.2,9.3,14.0,21.4,26.1,27.8,22.6,15.3,9.9,8.2,14.6
3,1954,7.0,6.8,7.3,11.1,14.6,18.0,23.3,27.3,23.9,14.1,10.8,7.9,14.3
4,1955,5.9,6.7,8.6,11.7,15.4,22.3,27.3,26.6,22.0,15.7,9.5,8.1,15.0
5,1956,6.1,5.8,8.5,10.3,14.7,20.4,26.2,26.0,22.9,16.0,10.5,6.5,14.5
6,1957,6.6,6.1,6.6,11.2,14.2,19.0,26.4,27.8,19.8,14.6,11.4,7.9,14.3
7,1958,6.3,6.6,7.7,11.5,14.0,20.0,26.9,27.0,23.6,14.9,10.5,8.2,14.8
8,1959,6.1,7.9,8.4,11.3,15.3,19.6,27.5,28.5,23.3,16.3,11.1,7.8,15.3
9,1960,6.3,6.6,8.0,9.6,14.6,19.6,25.4,26.9,22.8,15.0,11.3,7.3,14.5
10,1961,5.5,5.6,7.3,10.4,15.6,19.4,28.0,28.1,24.1,17.2,11.2,7.7,15.0
11,1962,6.0,6.3,7.0,10.1,14.1,18.7,26.5,26.8,21.7,14.3,10.1,7.1,14.1
12,1963,4.6,5.3,6.8,11.5,17.0,22.7,26.6,26.5,19.4,13.8,9.9,7.6,14.3
13,1964,6.6,5.8,6.9,13.9,14.6,18.9,27.7,28.4,22.3,14.4,9.4,7.6,14.7
14,1965,5.7,5.8,6.3,8.5,14.5,20.3,26.3,24.6,19.9,13.2,10.9,7.4,13.6
15,1966,6.0,6.8,7.9,10.6,13.7,19.3,25.2,27.4,21.7,14.6,10.2,6.8,14.2
16,1967,5.8,6.3,7.4,11.2,14.5,19.0,26.6,26.9,21.4,13.8,10.3,6.0,14.1
