,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1948,8.9,9.8,11.7,18.8,23.3,26.8,29.8,31.8,28.2,22.6,16.8,13.5,20.2
1,1949,9.8,10.6,10.5,16.2,22.8,25.1,29.0,30.8,27.4,21.4,16.1,11.5,19.3
2,1950,9.6,9.3,12.8,19.5,23.8,25.6,30.3,31.9,28.1,21.6,16.3,10.1,19.9
3,1951,8.5,9.9,12.4,17.7,22.8,25.2,28.4,32.4,26.4,23.6,16.5,13.0,19.7
4,1952,8.9,8.3,12.0,17.9,23.0,25.3,29.3,32.2,27.8,22.1,18.3,11.9,19.8
5,1953,8.5,8.5,13.5,17.1,22.3,25.2,28.8,31.3,27.7,23.6,16.0,12.9,19.6
6,1954,9.7,11.2,12.8,19.1,22.0,23.8,27.6,32.2,28.4,21.0,18.4,12.2,19.9
7,1955,8.3,10.9,13.3,18.6,23.0,26.9,31.0,31.7,28.3,21.8,16.6,13.1,20.3
8,1956,8.8,8.9,13.1,18.1,21.1,26.1,30.5,30.5,27.8,22.8,16.7,10.3,19.6
9,1957,9.7,8.6,11.0,19.4,21.5,25.1,28.3,31.0,25.0,22.1,18.3,12.4,19.4
10,1958,8.8,10.3,13.1,18.5,22.6,26.7,30.3,30.9,28.1,21.2,17.0,12.9,20.0
11,1959,8.5,11.6,13.8,18.9,23.2,26.5,30.3,31.7,28.9,22.8,18.2,12.8,20.6
12,1960,9.3,11.7,14.4,17.8,22.9,25.4,31.0,31.9,28.1,22.6,18.0,11.5,20.4
13,1961,7.9,8.7,13.4,19.2,23.4,26.0,31.0,32.4,29.8,23.6,17.8,12.3,20.5
14,1962,8.7,10.6,12.6,18.0,22.7,24.4,30.1,32.2,28.7,22.6,16.2,12.2,19.9
15,1963,6.0,7.4,12.6,18.4,21.9,26.4,30.7,30.9,26.4,21.9,16.8,12.1,19.3
16,1964,10.0,7.5,12.0,21.8,24.5,25.8,31.0,33.0,27.9,21.9,16.3,12.2,20.3
17,1965,8.0,8.5,10.7,15.6,22.1,25.2,28.3,31.6,25.3,22.1,16.6,10.0,18.7
18,1966,7.7,10.4,13.1,17.6,21.3,24.4,29.2,31.6,27.2,21.7,15.9,9.7,19.2
19,1967,7.9,8.7,12.3,17.5,24.4,27.0,29.7,32.4,28.1,21.1,16.3,8.8,19.5
20,1968,7.7,6.4,11.9,18.3,21.8,25.7,28.4,29.9,26.1,20.2,17.4,13.4,18.9
21,1969,8.3,8.3,10.8,18.0,23.2,24.7,28.5,31.0,28.0,21.5,15.2,9.8,18.9
22,1970,7.7,9.4,9.2,16.4,22.4,23.3,29.2,30.7,27.8,22.1,15.8,10.5,18.7
23,1971,8.9,8.8,11.4,18.1,21.4,25.2,29.5,30.2,26.5,20.5,17.0,11.6,19.1
24,1972,10.8,9.3,12.8,17.4,22.1,25.6,29.1,30.1,26.6,22.0,15.7,11.3,19.4
25,1973,9.8,10.4,12.2,19.5,22.1,25.5,31.7,32.0,26.1,21.2,15.5,9.6,19.6
26,1974,8.3,8.2,11.3,18.8,23.5,26.4,28.5,32.1,26.8,21.5,15.7,11.1,19.4
27,1975,8.4,8.2,13.0,18.4,22.7,26.4,30.7,31.1,30.2,21.4,17.1,11.9,20.0
28,1976,9.0,11.1,12.7,17.8,22.4,25.5,28.9,30.5,25.4,21.5,15.0,10.9,19.2
