,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1961,8.7,12.8 ),16.7,19.3 ),19.1,17.6 ),19.9 ),18.4 ),18.2,12.9,10.9,9.6,15.4
1,1962,8.0,12.4,17.5,19.0,21.7,17.7,15.8,20.3,17.2,15.9,10.4,9.3,15.4
2,1963,7.1,11.2,17.5,15.4,10.8,14.4,20.4,19.3,17.9,15.7,11.4,9.7,14.2
3,1964,8.5,8.8,17.5,11.9,21.6,18.3,16.2,17.7,14.9,13.5,10.8,7.9,13.9
4,1965,8.1,11.3,16.5,15.4,15.5,14.7,10.1,16.3,13.6,13.8,9.4,6.3,12.6
5,1966,8.5,9.8,11.9,13.1,15.5,14.7,13.8,15.2,13.6,11.3,9.5,6.6,11.9
6,1967,6.7,8.5,10.8,11.0,15.1,15.7,11.6,15.8,15.1,10.7,7.4,4.6,11.1
7,1968,6.4,7.8,12.3,13.6,12.7,12.5,10.2,12.3,9.6,9.4,7.9,5.2,10.0
8,1969,4.3,　,　,　,　,　,　,　,　,　,　,　,4.3 ]
9,1970,　,　,　,　,　,　,　,　,　,　,　,　,　
10,1971,　,　,　,　,　,　,　,　,　,　,　,　,　
11,1972,　,　,　,　,　,　,　,　,　,　,　,　,　
12,1973,　,　,　,　,　,　,　,　,　,　,　,　,　
13,1974,　,　,　,　,　,　,　,　,　,　,　,　,　
14,1975,　,　,　,　,　,　,　,　,　,　,　,　,　
15,1976,　,　,　,　,　,　,　,　,　,　,　,　,　
16,1977,　,　,　,　,　,　,　,　,　,　,　,　,　
17,1978,　,　,　,　,　,　,　,　,　,　,　,　,　
18,1979,　,　,　,　,　,　,　,　,　,　,　,　,　
19,1980,　,　,　,　,　,　,　,　,　,　,　,　,　
20,1981,　,　,　,　,　,　,　,　,　,　,　,　,　
21,1982,　,　,　,　,　,　,　,　,　,　,　,　,　
22,1983,　,　,　,　,　,　,　,　,　,　,　,　,　
23,1984,　,　,　,　,　,　,　,　,　,　,　,　,　
24,1985,　,　,　,　,　,　,　,　,　,　,　,　,　
25,1986,　,　,　,　,　,　,　,　,　,　,　,　,　
26,1987,　,　,　,　,　,　,　,　,　,　,　,　,　
27,1988,　,　,　,　,　,　,　,　,　,　,　,　,　
28,1989,　,　,　,　,　,　,　,　,　,　,　,　,　
29,1990,　,　,　,　,　,　,　,　,　,　,　,　,　
30,1991,　,　,　,　,　,　,　,　,　,　,　,　,　
31,1992,　,　,　,　,　,　,　,　,　,　,　,　,　
32,1993,　,　,　,　,　,　,　,　,　,　,　,　,　
33,1994,　,　,　,　,　,　,　,　,　,　,　,　,　
34,1995,　,　,　,　,　,　,　,　,　,　,　,　,　
35,1996,　,　,　,　,　,　,　,　,　,　,　,　,　
36,1997,　,　,　,　,　,　,　,　,　,　,　,　,　
37,1998,　,　,　,　,　,　,　,　,　,　,　,　,　
38,1999,　,　,　,　,　,　,　,　,　,　,　,　,　
39,2000,　,　,　,　,　,　,　,　,　,　,　,　,　
40,2001,　,　,　,　,　,　,　,　,　,　,　,　,　
41,2002,　,　,　,　,　,　,　,　,　,　,　,　,　
42,2003,　,　,　,　,　,　,　,　,　,　,　,　,　
43,2004,　,　,　,　,　,　,　,　,　,　,　,　,　
44,2005,　,　,　,　,　,　,　,　,　,　,　,　,　
45,2006,　,　,　,　,　,　,　,　,　,　,　,　,　
46,2007,　,　,　,　,　,　,　,　,　,　,　,　,　
47,2008,　,　,　,　,　,　,　,　,　,　,　,　,　
48,2009,　,　,　,　,　,　,　,　,　,　,　,　,　
49,2010,　,　,　,　,　,　,　,　,　,　,　,　,　
50,2011,　,　,　,　,　,　,　,　,　,　,　,　,　
51,2012,　,　,　,　,　,　,　,　,　,　,　,　,　
52,2013,　,　,　,　,　,　,　,　,　,　,　,　,　
53,2014,　,　,　,　,　,　,　,　,　,　,　,　,　
54,2015,　,　,　,　,　,　,　,　,　,　,　,　,　
55,2016,　,　,　,　,　,　,　,　,　,　,　,　,　
56,2017,　,　,　,　,　,　,　,　,　,　,　,　,　
57,2018,　,　,　,　,　,　,　,　,　,　,　,　,　
58,2019,　,　,　,　,　,　,　,　,　,　,　,　,　
