,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1958,-3.7,-3.9,-0.9,5.0,9.1,12.9,16.4,17.6,15.4,10.3,4.6,0.1,6.9
1,1959,-6.1,-3.6,-0.2,6.7,9.7,11.0,16.9,18.7,15.8,11.0,3.4,-1.5,6.8
2,1960,-7.0,-3.5,-1.4,4.4,8.3,11.8,16.7,21.1,17.2,10.2,4.5,-2.5,6.7
3,1961,-7.3,-4.8,-1.4,6.8,10.9,13.5,17.5,19.0,17.8,10.8,5.1,-1.0,7.2
4,1962,-4.0,-5.0,-1.4,7.2,11.3,13.5,16.4,18.1,16.4,9.9,4.0,-0.6,7.2
5,1963,-4.4,-3.6,-0.2,5.3,11.1,12.0,16.7,18.3,15.0,10.3,5.3,0.5,7.2
6,1964,-4.7,-7.0,-1.2,4.2,9.0,11.6,14.4,17.2,14.2,9.0,4.2,-1.3,5.8
7,1965,-3.7,-5.1,-2.5,3.1,8.9,12.3,14.3,18.4,15.3,10.5,4.9,-1.4,6.3
8,1966,-5.1,-4.4,0.2,3.0,9.4,10.2,14.5,17.4,14.5,11.3,6.0,-3.2,6.2
9,1967,-6.1,-4.5,0.6,4.9,9.7,12.7,16.1,19.2,14.6,10.1,2.6,-1.9,6.5
10,1968,-3.5,-5.0,1.0,5.0,7.9,11.8,17.0,17.7,14.8,9.0,5.6,0.6,6.8
11,1969,-5.6,-5.0 ),-1.6,4.0,8.8,12.7,16.5,17.0,15.2,9.6,4.5,-3.8,6.0
12,1970,-6.7,-4.3,-4.0,4.2,10.9,13.2,17.5,18.4,15.7,11.0,5.1,-2.2,6.6
13,1971,-5.2,-5.0,-0.5,5.4,8.0,11.9,16.1,17.4,13.9,10.0,4.6,-0.2,6.4
14,1972,-4.5,-4.8,-0.8,5.2,10.5,14.2,17.0,19.6,16.0,12.1,4.0,0.3,7.4
15,1973,-3.7,-3.4,-2.8,6.0,10.2,11.5,16.8,19.8,15.1,10.5,4.2,-0.7,7.0
16,1974,-3.2,-3.2,-1.4,5.3,9.1,11.3,15.6,18.8,15.8,10.4,3.0,-4.7,6.4
17,1975,-4.6,-5.8,-2.5,4.2,8.7,11.3,16.0,19.5,17.1,9.7,4.8,-3.2,6.3
18,1976,-4.3,-2.7,-0.7,5.3,10.4,11.8,16.5,17.0,14.7,10.0,3.1,-2.8,6.5
19,1977,-8.2,-6.3,-1.2,3.9,8.0,11.6,17.2,17.5,16.5,10.5,5.3,-0.5,6.2
20,1978,-5.7,-8.3,-1.9,4.0,8.8,14.6,19.0,20.4,15.4,9.3,3.7,-0.3,6.6
21,1979,-4.6,-3.5,-1.8,1.9,7.8,13.8,14.9,18.1,15.1,11.8,4.7,0.0,6.5
22,1980,-4.8,-7.0,-1.1,3.2,9.7,13.5,14.3,15.7,15.0,10.4,5.6,-0.6,6.2
23,1981,-5.7,-4.9,-1.5,4.9,8.0,9.6,16.5,18.3,14.6,10.4,2.2,-0.4,6.0
24,1982,-4.9,-6.6,-0.2,3.8,10.3,12.9,15.4,18.9,16.2,11.1,4.9,-0.1,6.8
25,1983,-3.8,-6.1,-2.9,7.1,10.4,8.5,12.8,18.3,14.7,8.9,4.3,-1.9,5.9
26,1984,-5.3,-6.8,-3.4 ),2.2,6.1,13.2,16.6,19.0,15.3,9.4,4.0,-2.0,5.7
27,1985,-8.0,-3.7,-1.4,5.2,9.3,10.5,16.0,19.9,15.3,9.9,4.4,-3.6,6.2
28,1986,-7.1,-6.7,-2.5,4.6,9.3,11.2,14.3,18.1,16.0,8.9,3.8,-2.0,5.7
29,1987,-5.7,-5.4,-1.0,4.9,9.8,12.7,16.3,16.1,15.2,11.5,3.7,-1.7,6.4
30,1988,-4.1,-6.4,-1.4,4.8,9.2,13.2,13.3,18.1,15.9,10.0,3.2,-0.6,6.3
31,1989,-2.7,-2.2,1.1,5.1,8.5,10.3,16.0,20.2,16.4,11.2,6.0,-0.7,7.4
32,1990,-5.7,-2.0,0.7,5.7,10.7,14.3,16.3,19.2,16.0,11.3,6.8,1.5,7.9
33,1991,-2.1,-4.6,-0.5,6.0,11.1,14.8,16.2,17.2,16.2,11.8,5.1,-0.8,7.5
34,1992,-4.3,-3.5,-0.8,4.8,8.2,11.5,17.1,17.6,14.5,10.1,5.0,-1.1,6.6
35,1993,-3.3,-3.4,0.0,4.1,8.2,10.3,13.5,16.9,15.2,10.5,4.8,-0.9,6.3
36,1994,-5.0,-2.2,-0.8,5.7,11.0,12.3,17.0,20.8,17.5,11.3,5.2,-1.7,7.6
37,1995,-4.5,-3.5,-0.5,5.7,10.5,11.1,17.0,17.3,15.7,11.7,6.0,-1.1,7.1
38,1996,-4.7,-4.3,-0.6,4.0,7.0,11.3,16.6,16.3,15.2,11.0,4.3,-1.3,6.2
39,1997,-3.2,-3.6,-0.6,5.7,7.9,11.5,16.7,15.4,14.5,10.3,6.5,-0.1,6.8
40,1998,-6.5,-5.3,0.8,6.8,10.0,11.3,15.9,18.4,17.4,12.1,3.9,-1.9,6.9
41,1999,-3.7,-3.5,-1.1,3.9,10.1,14.1,17.6,20.5,18.3,11.3,5.6,-1.9,7.6
42,2000,-4.4,-6.0,-1.2,5.2,9.5,13.0,18.1,19.9,16.9,10.9,4.0,-2.7,6.9
43,2001,-6.5,-6.4,-0.8,6.4,8.2,13.1,15.3,16.4,15.1,10.5,5.5,-3.9 ),6.1
44,2002,-3.6,-3.0,1.6,6.0,9.8,12.1,15.6,16.1,15.8,11.0,3.7,-3.3,6.8
45,2003,-4.7,-5.5,-0.7,5.6,8.9,12.5,13.6 ),16.9,15.0,10.3,5.8,-0.3,6.5
46,2004,-3.8,-2.4,-0.5,5.0,10.3,14.4,17.6,19.2,16.6,11.6,6.9,-1.3,7.8
47,2005,-3.6,-4.9 ),-0.4,5.1,7.3 ),12.9,15.2,20.1,17.2,12.2,5.7,-2.7,7.0
48,2006,-5.6,-3.3,0.9,3.5,10.0,11.7,16.0,20.7,16.8,11.4,6.2,-0.9,7.3
49,2007,-2.9,-2.3,-0.2,4.0,10.1,14.3,14.9,19.9,17.0,11.2,4.6,-1.2,7.5
50,2008,-5.3,-4.2,1.7,4.8,9.4,12.4,16.3,17.8,17.2,12.0,4.7,1.3,7.3
51,2009,-2.1,-3.3,0.5,5.4,11.0,12.2,15.5,17.7,15.3,11.7,4.3,-1.5,7.2
52,2010,-2.6,-3.8,-0.6,4.1,8.7,13.9,17.9,21.9,18.1,11.6,5.7,0.9,8.0
53,2011,-5.3,-2.5,0.2,5.4,7.7,13.3,17.6,19.1,17.5,11.2,5.7,-2.2,7.3
54,2012,-5.5,-5.8,-1.3,4.2,9.9,11.7,16.7 ),19.4 ),19.4,12.6,5.5 ),-2.8,7.0
55,2013,-6.4,-4.8,0.3,5.2,7.9,12.8,17.7,19.5,17.3,11.8,6.2,1.0,7.4
56,2014,-4.0,-4.2,-0.2 ),5.5,10.6,13.4,17.9,19.5,16.2,10.5,5.5,-1.5,7.4
57,2015,-3.1,-2.1,2.1,6.4,12.1,13.3,18.3,18.5,16.2,10.6,5.3,0.4,8.2
58,2016,-3.3,-2.9,0.8,6.1,12.2,12.2,16.7,21.0,17.4,10.7,2.2,-1.9,7.6
59,2017,-5.1,-3.2,-0.1,5.5,11.5,11.6,19.2,17.8,16.3,10.2,5.3,-1.7,7.3
