,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1953,2,2,--,--,--,--,--,--,--,--,--,--,4 ]
1,1954,3,1,--,0,--,--,--,--,--,--,--,0,4
2,1955,6,21,--,--,--,--,--,--,--,--,--,0,27
3,1956,13,27,5,--,--,--,--,--,--,--,--,0,45
4,1957,0,0,0,--,--,--,--,--,--,--,--,0,0
5,1958,1,4,6,--,--,--,--,--,--,--,--,--,11
6,1959,1,0,0,--,--,--,--,--,--,--,--,1,1
7,1960,1,0,0,--,--,--,--,--,--,--,0,3,2
8,1961,0,0,0,--,--,--,--,--,--,--,--,0,3
9,1962,15,0,0,0,--,--,--,--,--,--,--,0,15
10,1963,21,8,0,--,--,--,--,--,--,--,--,0,29
11,1964,2,13,0,--,--,--,--,--,--,--,--,--,15
12,1965,2,6,0,--,--,--,--,--,--,--,--,4,8
13,1966,9,0,--,--,--,--,--,--,--,--,0,0,13
14,1967,5,0,0,--,--,--,--,--,--,--,--,0,5
15,1968,16,10,0,--,--,--,--,--,--,0,--,1,26
16,1969,3,2,3,0,--,--,--,--,--,--,--,1,9
17,1970,11,1,0,--,--,--,--,--,--,--,0,--,13
18,1971,7,3,0,--,--,--,--,--,--,--,0,0,10
19,1972,0,3,3,0,--,--,--,--,--,--,0,11,6
20,1973,0,1,0,--,--,--,--,--,--,--,--,4,12
21,1974,0,19,0,--,--,--,--,--,--,--,--,--,23
22,1975,14,12,0,--,--,--,--,--,--,--,--,0,26
23,1976,5,0,0,--,--,--,--,--,--,--,0,0,5
24,1977,0,5,8,--,--,--,--,--,--,--,--,0,13
25,1978,8,14,0,--,--,--,--,--,--,--,0,1,22
26,1979,0,1,1,--,--,--,--,--,--,--,--,0,3
27,1980,1,0,--,--,--,--,--,--,--,--,--,10,1
28,1981,11,7,2,--,--,--,--,--,--,--,--,2,30
29,1982,17,0,0,--,--,--,--,--,--,--,--,0,19
30,1983,0,0,0,--,--,--,--,--,--,--,0,2,0
31,1984,36,6,5,--,--,--,--,--,--,--,--,0,49
32,1985,5,0,--,--,--,--,--,--,--,--,--,3,5
33,1986,3,22,0,--,--,--,--,--,--,--,--,0,28
34,1987,3,0,1,--,--,--,--,--,--,--,--,3,4
35,1988,4,0,0,--,--,--,--,--,--,--,0,1,7
36,1989,4,0,0,--,--,--,--,--,--,--,--,0,5
37,1990,2,0,0,--,--,--,--,--,--,--,--,4,2
38,1991,0,3,2,--,--,--,--,--,--,--,--,0,9
39,1992,0,1,--,--,--,--,--,--,--,--,0,0,1
40,1993,2,3,1,--,--,--,--,--,--,--,0,0,6
41,1994,10,6,0,--,--,--,--,--,--,--,--,0,16
42,1995,0,5,0,--,--,--,--,--,--,--,--,8,5
43,1996,0,20,0,--,--,--,--,--,--,--,--,11,28
44,1997,8,9,0,--,--,--,--,--,--,--,--,0,28
45,1998,7,0,0,--,--,--,--,--,--,--,--,--,7
46,1999,2,15,0,--,--,--,--,--,--,--,--,0,17
47,2000,0,12,0,--,--,--,--,--,--,--,--,0,12
48,2001,1,0,4,--,--,--,--,--,--,--,--,0,5
49,2002,3,1,--,--,--,--,--,--,--,--,--,0,4
50,2003,10,0,0,--,--,--,--,--,--,--,--,5,10
51,2004,0,0,1,--,--,--,--,--,--,--,--,0,6
52,2005,0,9,1,--,--,--,--,--,--,--,--,34,10
53,2006,1,3,0,--,--,--,--,--,--,--,--,1,38
54,2007,4,0,0,0,--,--,--,--,--,--,--,0,5
55,2008,1,3,--,--,--,--,--,--,--,--,0,0,4
56,2009,2,0,0,--,--,--,--,--,--,--,--,2,2
57,2010,0,0,0,--,--,--,--,--,--,--,--,0,2
58,2011,3,1,0,--,--,--,--,--,--,--,--,0,4
59,2012,0,1,0,--,--,--,--,--,--,--,--,2,1
60,2013,6,--,--,--,--,--,--,--,--,--,--,--,8
61,2014,--,2,--,--,--,--,--,--,--,--,--,9,2
62,2015,5,--,--,--,--,--,--,--,--,--,--,--,14
63,2016,6,1,--,--,--,--,--,--,--,--,--,--,7
64,2017,20,--,--,--,--,--,--,--,--,--,--,--,20
65,2018,--,2,--,--,--,--,--,--,--,--,--,--,2
66,2019,--,--,×,　,　,　,　,　,　,　,　,　,×
