,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1942,　,　,　,　,　,　,　,25.0 ],22.5,14.4,8.3,4.3,12.4 ]
1,1943,1.0,3.2,6.8,11.1,16.9,22.0,24.6,25.6,22.4,15.7,9.4,5.9,13.7
2,1944,2.9,3.1,5.9,11.4,17.6,22.1,26.2,25.9,22.0,15.6,11.8,3.2,14.0
3,1945,1.1,1.5,7.8,13.1,15.2,21.5,24.8,26.1,22.6,16.1,10.3,4.6,13.7
4,1946,3.4,4.4,7.6,13.6,17.2,22.7,26.0,25.4,22.0,15.6,11.9,4.5,14.5
5,1947,4.8,1.5,6.4,11.3,15.8,19.8,26.0,26.0,22.3,13.6,8.8,4.3,13.4
6,1948,3.6,5.2,7.9,13.7,17.0,21.8,25.1,25.2,22.3,17.6,10.7,9.4,15.0
7,1949,4.2,5.9,7.0,11.2,17.5,20.3,24.4,25.5,22.4,14.7,10.9,6.6,14.2
8,1950,6.0,5.4,7.8,13.3,17.7,21.0,25.6,25.1,21.8,16.1,11.2,4.1,14.6
9,1951,3.3,5.8,7.1,12.3,17.0,20.4,24.3,26.5,19.8,16.4,10.2,6.7,14.2
10,1952,3.7,3.9,7.5,13.0,17.5,20.8,25.3,26.0,21.6,14.1,13.0,5.4,14.3
11,1953,2.7,4.5,8.1,11.1,16.8,21.4,26.1,26.7,22.6,16.5,10.2,7.1,14.5
12,1954,6.3,5.6,7.2,14.0,18.2,20.4,24.5,26.7,22.4,15.2,11.1,5.4,14.8
13,1955,2.2,5.2,9.9,13.8,17.6,23.0,26.2,25.7,22.9,15.2,8.3,5.2,14.6
14,1956,3.3,2.4,8.7,12.7,16.6,22.3,26.4,24.8,22.4,16.5,8.2,2.5,13.9
15,1957,5.2,3.1,6.1,13.8,17.0,20.8,25.3,25.9,19.8,14.6,10.6,5.7,14.0
16,1958,3.4,4.9,7.8,14.1,17.4,22.0,26.9,25.4,23.0,15.8,10.4,6.9,14.8
17,1959,3.0,8.4,9.2,13.5,17.6,22.0,26.5,26.3,23.2,16.3,11.6,6.4,15.3
18,1960,2.8,5.2,9.6,12.3,17.3,22.0,26.6,26.7,22.7,15.7,11.5,4.0,14.7
19,1961,2.1,3.4,8.9,13.5,18.4,22.9,27.2,26.9,24.3,18.4,11.6,5.2,15.2
20,1962,1.9,4.5,7.2,12.0,17.3,21.4,25.7,26.0,22.4,15.2,10.4,5.8,14.2
21,1963,0.3,1.3,6.8,13.6,19.7,22.5,26.3,25.6,21.5,14.5,10.4,6.1,14.1
22,1964,5.5,3.7,8.0,18.0,18.6,21.1,27.1,27.3,23.6,17.0,9.4,4.9,15.4
23,1965,2.7,4.4,5.6,11.9,17.3,21.1,26.2,25.9,19.5,14.4,12.1,5.0,13.8
24,1966,2.8,6.2,9.7,13.5,17.4,21.7,25.5,27.6,21.4,16.0,10.2,4.4,14.7
25,1967,2.5,3.8,8.5,14.4,19.2,22.4,26.2,27.5,22.7,15.7,11.3,3.3 ),14.8
26,1968,3.4,0.9,8.0,13.6,17.9,21.3,25.0,26.3,22.5,15.6,10.4,8.3,14.4
27,1969,5.1,5.1,6.9,14.0,18.4,20.8,25.9,26.6 ),24.5,15.3,9.6,4.1 ),14.7
28,1970,1.7,5.2,5.3,12.7,18.0,20.8,25.9,26.8,24.2,17.7,9.6,4.7,14.4
29,1971,2.4,4.6,6.7,13.7,17.8,22.5,27.1,25.6,22.6,15.3,10.5,5.3,14.5
30,1972,5.7,5.5,8.5,13.3,18.1,21.7,26.0,26.0,21.3,15.8,10.7,5.6,14.9
31,1973,5.8,6.3,8.1,15.4,17.9,21.8,27.2,27.1,21.3,15.9,8.9,2.7,14.9
32,1974,2.3,4.2,7.4,13.6,18.7,21.2,25.1,26.4,21.2,16.7,9.2,5.9,14.3
33,1975,3.6,3.5,7.6,14.4,18.0,22.2,26.9,26.6,24.3,17.9,10.6 ),5.2,15.1
34,1976,2.3,6.9,8.0,13.8,18.3,21.6,25.0,26.5,20.3,15.8,8.6,4.6,14.3
35,1977,1.2,2.3,9.1,14.8,18.2,22.1,26.9,25.7,23.4,17.0,12.0,6.7,15.0
36,1978,4.4,3.9,7.7,13.3,18.7,23.3,27.8,27.0,23.3,16.3 ),10.8,6.0,15.2
