,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1943,137.8,166.6,188.3,156.3,182.3,99.3,106.3,152.1,155.4,160.9,118.9,134.3,1758.5
1,1944,123.2,137.0,180.4,158.6,177.1,203.8,180.6,244.2,155.2,162.1,106.2,123.6,1952.0
2,1945,108.6,119.7,182.2,232.5,227.0,143.1,159.6,208.0,126.7,131.0,162.6,129.8,1930.8
3,1946,119.1,161.1,134.2,172.2,160.9,115.6,185.8,183.3,170.3,161.4,119.5,96.8,1780.2
4,1947,115.3,142.0,186.6,234.7,176.8,152.0,192.3,203.5,194.0,172.6,132.9,126.4,2029.1
5,1948,116.2,135.5,169.7,171.6,132.6,159.1,86.7,182.6,150.1,156.1,127.8,100.3,1688.3
6,1949,116.6,110.6,165.3,196.2,157.1,103.3,151.3,178.1,187.0,130.6,105.7,99.9,1701.7
7,1950,114.1,115.5,145.5,156.2,158.2,182.9,163.7,195.0,159.1,155.2,109.9,118.6,1773.9
8,1951,138.1,131.1,158.9,133.2,193.5,169.7,156.2,237.0,138.8,138.9,105.8,145.1,1846.3
9,1952,102.0,130.7,152.6,191.4,155.0,124.9,166.3,211.9,152.8,172.1,138.6,135.3,1833.6
10,1953,131.9,136.6,160.2,192.6,164.2,77.8,168.6,198.9,146.2,151.1,119.6,120.9,1768.6
11,1954,84.8,144.2,193.4,116.2,132.1,82.6,77.2,212.4,151.7,135.5,132.5,136.3,1598.9
12,1955,127.7,130.2,131.8,165.7,175.9,109.8,177.8,208.6,171.7,182.9,161.6,149.0,1892.7
13,1956,119.6,144.4,133.9,191.3,114.1,153.0,222.5,187.8,129.9,153.7,164.0,146.5,1860.7
14,1957,132.6,109.4,187.8,138.7,169.0,146.8,147.8,173.8,112.1,159.3,159.8,122.8,1759.9
15,1958,110.3,135.4,167.7,127.0,177.3,193.3,243.9,190.2,206.5,127.4,151.4,140.9,1971.3
16,1959,117.5,82.8,166.7,164.3,158.5,196.7,155.9,229.2,213.1,171.5,144.5,118.4,1919.1
17,1960,146.2,185.4,170.2,194.4,172.7,172.8,230.1,211.2,130.9,188.3,137.9,141.8,2081.9
18,1961,160.4,138.7,181.7,188.7,143.4,178.0,201.2,192.5,184.1,170.5,133.7,150.7,2023.6
19,1962,115.8,129.7,170.5,156.9,155.2,101.2,153.4,193.3,175.7,176.6,103.7,136.0,1768.0
20,1963,92.3,142.7,198.0,130.9,86.4,130.4,200.9,137.7,149.2,179.1,127.5,132.8,1707.9
21,1964,118.8,136.1,187.0,102.9,187.1,89.5,239.0,177.2,169.6,175.7,184.5,119.2,1886.6
22,1965,141.0,157.1,205.1,186.4,192.5,108.3,177.5,228.9,158.6,195.0,151.7,117.8,2019.9
23,1966,163.2,140.0,164.6,138.5,203.5,171.9,236.1,206.5,194.2,169.8,144.4,124.9,2057.6
24,1967,148.0,142.3,163.0,120.9,195.8,199.7,159.4,251.0,231.0,151.6,100.2,111.0,1973.9
25,1968,121.1,174.1,187.8,192.4,211.7,165.1,156.3,224.6,141.3,176.5,165.3,98.7,2014.9
26,1969,82.0,99.4,139.3,209.8,229.2,188.9,197.6,259.5,193.6,164.0,150.8,123.4,2037.5
27,1970,147.0,151.4,178.2,144.4,173.0,90.2,196.8,225.2,162.8,142.1,168.8,118.1,1898.0
28,1971,148.5,134.4,234.5,202.0,203.6,96.5,223.6,183.2,160.8,169.5,155.1,127.3,2039.0
29,1972,127.7,113.8,171.5,163.3,189.2,158.0,158.0,221.5,196.0,170.2,85.8,137.5,1892.5
30,1973,130.3,113.8,180.5,157.8,153.0,172.0,197.7,239.9,120.1,147.0,164.3,154.8,1931.2
31,1974,188.1,136.7,174.3,206.5,180.9,200.5,132.7,235.8,164.7,137.2,144.2,107.4,2009.0
32,1975,108.1,142.4,198.4,145.6,171.8,159.7,212.6,195.4,153.5,143.5,147.1,122.7,1900.8
33,1976,147.6,148.0,163.7,134.2,162.5,125.5,163.4,209.7,142.7,165.6,145.6,108.8,1817.3
34,1977,120.4,183.6,168.4,181.9,143.0,130.4,221.3,210.6,169.1,203.3,137.3,135.4,2004.7
35,1978,126.0,153.1,186.3,197.6,191.5,167.5,233.6,196.4,136.9,156.2,153.7,155.7,2054.5
36,1979,142.5,116.6,151.4,194.3,233.0,118.4,152.6,206.3,184.3,210.8,101.2,145.6,1957.0
37,1980,103.9,156.6,120.2,183.0,171.1,129.2,126.9,135.4,174.1,162.0,159.7,118.4,1740.5
38,1981,154.5,133.2,141.3,179.7,214.7,158.6,183.4,208.1,151.4,161.5,110.7,162.5,1959.6
39,1982,151.2,123.1,175.0,190.5,204.9,194.9,133.5,207.6,144.1,177.4,110.4,118.6,1931.2
40,1983,163.2,159.4,127.9,166.2,205.9,158.0,222.6,216.9,142.9,150.5,168.9,165.3,2047.7
41,1984,164.9,142.1,174.8,161.6,210.3,93.4,216.2,214.9,133.5,201.9,155.6,147.1,2016.3
42,1985,157.2,109.4,129.2,228.9,184.1,142.9,201.7,249.0,209.2,183.1,144.4,132.9,2072.0
43,1986,118.6,167.0,169.3,160.5,195.6,121.5,153.8,234.5,132.8,169.2,100.9,120.8,1844.5
44,1987,139.1,106.9,119.4,147.0,148.3,182.9,137.4,145.7,169.1,167.2,95.3,130.1,1688.4
45,1988,116.9,147.7,84.4,168.6,187.7,107.0,199.9,194.1,152.0,197.7,133.2,157.2,1846.4
46,1989,103.2,120.7,161.1,155.2,132.3,164.7,178.4,189.1,125.1,192.2,131.0,146.9,1799.9
47,1990,138.3,91.9,130.8 ),184.3,147.1,162.2,214.1,184.5,156.0,155.0,129.7,110.4,1804.3
48,1991,149.2,116.0,129.6,141.7,110.8,47.6,153.4,197.4,152.4,140.9,162.0,105.6,1606.6
49,1992,104.4,128.0,62.3,181.4,223.8,139.9,182.1,125.4,182.6,194.1,117.5,114.2,1755.7
50,1993,106.8,136.3,166.3,219.5,133.4,119.5,108.0,142.7,113.4,153.0,103.2,122.9,1625.0
51,1994,126.5,135.9,195.4,148.1,200.6,137.2,256.7,244.2,226.8 ),171.1 ),160.0,94.1,2096.6
52,1995,139.6,154.6,170.0,137.0,206.8,138.1,187.1,227.5,187.8,179.3,139.1,150.9,2017.8
53,1996,135.7,159.7,131.2,207.2,227.6,100.5,194.1,181.5,183.1,145.4,122.8,135.6,1924.4
54,1997,141.5,143.2,176.2,174.4,195.5,156.5,164.0,177.2,163.6,226.0,127.7,98.1,1943.9
55,1998,95.9,119.3,125.4,156.3,127.2,121.3,202.6,237.6,144.0,128.7,132.7,150.5,1741.5
56,1999,151.8,149.5,90.8,176.1,230.1,84.8,109.0,128.0,95.5,161.1,122.2,140.3,1639.2
57,2000,116.6,153.8,196.1,193.1,205.1,121.7,189.9,202.2,134.0 ),108.2,95.9,143.4,1860.0
58,2001,124.3,113.6,156.2,179.8,149.6,115.6,208.9,206.3,153.8,158.8,143.9,112.4,1823.2
59,2002,94.4,158.2,180.7,128.1,130.7,173.8,142.1,213.8,210.6,165.0,125.4,91.5,1814.3
60,2003,113.1,129.9,163.1,146.8,122.7,123.1,135.0,156.8,224.8,199.9,118.6 ),139.4,1773.2
61,2004,152.6,153.9,157.3,218.8,139.4,172.8,241.4,155.9,94.4,170.7,162.4,125.4,1945.0
62,2005,88.4,98.7,159.1,200.1,212.5,167.6,147.9 ),186.2,186.4,151.1,138.2,125.8,1862.0
63,2006,133.5,114.2,184.5,166.6,128.2,126.5,145.6,186.1 ),128.6,228.8,122.2,109.7,1774.5
64,2007,108.3,139.6,197.0,166.5,225.8,122.9 ),156.4,208.5 ),189.4,210.9,143.2,115.9,1984.4
65,2008,100.2,182.4,199.9 ),166.9,209.6,83.5,241.8,150.5,128.3 ),148.0,89.2,114.6,1814.9
