,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1898,×,×,×,×,×,×,×,227.1,168.6,169.1,138.5,149.9,853.2 ]
1,1899,183.2,156.0,224.8,213.0,188.5,189.4,140.4,172.6,108.8,171.0,178.3,117.6,2043.6
2,1900,123.0,157.3,164.2,180.2,224.6,212.4,170.9,240.9,160.3,136.9,95.0,118.0,1983.7
3,1901,144.0,189.2,245.0,189.6,195.7,171.2,149.8,228.2,214.9,147.3,128.3,157.2,2160.4
4,1902,184.3,193.4,183.8,189.6,190.4,179.2,169.5,141.9,174.9,156.6,138.1,155.4,2057.1
5,1903,111.8,174.5,157.0,148.4,174.1,123.3,99.9,243.0,136.6,111.2,144.7,136.2,1760.7
6,1904,121.9,129.3,148.3,87.3,155.5,155.3,199.0,276.6,128.0,121.4,172.0,151.9,1846.5
7,1905,146.6,172.9,191.0,172.9,192.9,105.1,179.1,117.6,173.4,142.9,178.3,135.8,1908.5
8,1906,169.7,145.8,215.8,223.2,207.4,181.2,202.5,219.4,107.3,147.0,161.7,146.8,2127.8
9,1907,166.1,192.9,204.1,212.9,223.2,156.8,195.4,198.2,145.5,183.6,137.7,162.4,2178.8
10,1908,162.2,183.5,186.3,190.1,229.7,181.4,207.5,173.0,149.5,141.9,175.9,188.1,2169.1
11,1909,174.5,152.5,177.5,220.6,234.1,129.8,211.7,257.3,99.7,150.8,175.1,179.6,2163.2
12,1910,95.4,152.7,189.3,217.3,173.4,137.5,163.1,165.0,103.1,123.5,189.1,198.7,1908.1
13,1911,156.1,187.1,171.2,198.5,213.0,145.3,182.2,181.9,135.6,137.7,150.1,141.5,2000.2
14,1912,172.6,148.1,175.8,214.9,232.2,189.5,141.7,233.9,105.0,144.8,143.9,134.3,2036.7
15,1913,149.2,143.3,200.2,140.0,203.0,154.3,222.7,191.6,143.4,128.4,153.8,125.3,1955.2
16,1914,151.2,166.0,164.7,189.9,126.0,177.7,195.8,214.2,186.9,191.6,146.1,154.0,2064.1
17,1915,166.4,145.7,201.8,166.7,250.1,125.5,236.9,181.2,141.5,135.9,156.3,209.6,2117.6
18,1916,190.0,175.0,206.6,178.3,219.9,150.7,169.3,228.8,157.3,85.4,123.6,165.4,2050.3
19,1917,181.3,170.6,197.4,204.2,234.1,169.1,220.1,192.2,96.6,96.1,170.2,182.4,2114.3
20,1918,204.2,183.5,230.5,172.9,196.4,68.1,238.6,192.3,164.7,140.9,154.2,151.4,2097.7
21,1919,138.1,166.1,219.5,223.2,226.3,155.8,152.1,189.9,149.1,139.0,118.0,180.1,2057.2
