,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1935,　,　,　,　,　,　,　,　,374.5,76.7,62.5,85.6,599.3 ]
1,1936,57.0,81.9,48.3,216.9,178.5,137.2,371.4,497.8,128.5,7.3,68.1,113.4,1906.3
2,1937,100.7,141.2,125.2,62.7,120.8,257.7,341.2,95.3,238.2,153.0,159.2,71.8,1867.0
3,1938,80.6,56.8,107.1,44.8,246.0,382.8,98.3,150.4,174.5,204.1,52.7,54.5,1652.6
4,1939,66.3,70.8,111.8,135.3,41.4,142.7,105.7,61.9,75.7,199.3,72.6,6.4,1089.9
5,1940,39.9,120.1,92.7,116.9,28.1,322.9,129.2,441.2,124.2,91.6,29.5,52.5,1588.8
6,1941,97.2,95.5,90.7,107.8,224.0,789.2,182.3,177.3,336.9,237.5,60.4,85.6,2484.4
7,1942,45.0,82.9,142.1,136.2,133.2,320.3,66.7,322.8,238.1,85.1,24.7,75.5,1672.6
8,1943,29.4,65.5,61.7,152.9,160.0,196.9,218.4,91.3,326.9,46.7,70.8,28.5,1449.0
9,1944,35.6,97.8,93.1,61.1,117.4,71.6,142.1,115.1,292.1,107.2,99.3,48.0,1280.4
10,1945,24.1,84.2,95.1,79.1,93.4,177.0,301.0,187.0,671.5,424.4,101.0,92.5,2330.3
11,1946,36.3,61.9,188.8,214.9,173.8,415.6,227.8,135.1,131.4,63.8,83.5,96.9,1829.8
12,1947,116.8,62.1,47.0,66.4,199.0,369.5,237.6,77.4,150.4,25.3,38.7,142.4,1532.6
13,1948,71.6,58.5,103.7,133.6,155.3,172.2,583.1,216.1,245.0,30.1,95.2,146.5,2010.9
14,1949,67.5,167.0,109.9,76.5,146.2,387.4,235.9,470.1,253.0,90.7,92.3,136.4,2232.9
15,1950,189.4,137.0,218.7,113.7,142.7,278.5,110.5,84.4,298.0,103.9,149.5,74.5,1900.8
16,1951,50.3,181.8,105.5,157.4,97.7,169.0,618.1,70.3,115.6,295.5,107.9,117.2,2086.3
17,1952,116.3,118.1,86.5,218.5,134.4,269.7,228.0,132.4,239.1,57.7,62.6,55.5,1718.8
18,1953,64.2,101.8,135.4,88.9,252.3,965.1,317.7,79.2,227.3,30.2,66.8,57.8,2386.7
19,1954,83.7,121.9,79.8,125.2,319.4,415.9,675.1,78.7,399.8,29.1,33.3,34.8,2396.7
20,1955,56.6,97.6,114.6,395.3,63.9,345.0,395.8,100.1,220.8,46.1,66.0,19.0,1920.8
21,1956,113.4,117.6,141.1,102.5,165.5,334.4,257.4,405.4,322.1,167.8,20.8,16.1,2164.1
22,1957,58.2,73.6,55.0,182.2,111.9,237.8,758.1,168.5,233.0,40.1,55.6,69.9,2043.9
23,1958,96.4,65.1,214.2,297.6,124.6,76.9,6.8,350.3,78.1,107.4,63.9,107.4,1588.7
