,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,6.6,6.8,7.0,6.2,4.7,4.1,4.2,3.9,4.3,4.7,6.2,5.7,5.4
1,1952,7.0,6.7,6.9,6.1,5.4,4.5,4.1,3.9,3.8,5.5,4.9,6.4,5.4
2,1953,7.0,6.4,7.2,5.8,5.6,4.4,4.2,4.5,4.6,4.4,6.9,6.1,5.6
3,1954,6.5,6.6,7.0,6.4,5.1,6.7,4.4,4.3,6.0,4.9,5.2,7.9,5.9
4,1955,7.6,6.8,6.4,6.0,5.2,4.2,4.9,4.3,4.6,6.4,6.2,7.2,5.8
5,1956,8.0,7.7,7.1,6.3,4.6,4.9,4.2,4.8,4.8,5.5,6.7,8.1,6.1
6,1957,7.5,7.5,8.0,5.6,5.8,6.0,4.8,6.0,6.1,×,3.8,5.1,6.0 ]
7,1958,5.9,5.7,5.0,4.6,4.7,4.1,4.2,4.1,4.6,4.6,4.2,6.2,4.8
8,1959,6.3,5.1,5.9,6.4,4.8,4.8,3.5,4.7,4.7,4.8,4.9,5.7,5.1
9,1960,6.6,5.3,6.5,6.4,4.9,4.7,4.1,5.3,3.8,5.1,5.0,7.1,5.4
10,1961,6.5,6.4,4.7,5.4,5.0,5.0,3.5,3.5,4.9,5.4,5.2,5.2,5.1
11,1962,6.5,5.5,5.3,5.9,4.2,4.2,3.7,4.4,3.8,4.0,4.4,5.1,4.8
12,1963,7.9,6.5,5.6,5.2,4.4,4.4,3.7,4.3,4.0,5.2,5.0,5.2,5.1
13,1964,5.8,6.7,6.5,4.8,4.5,4.4,3.5,4.0,4.0,4.4,5.3,4.6,4.9
14,1965,6.5,6.9,7.0,6.0,4.8,3.3,3.2,3.8,4.9,4.3,5.1,5.7,5.1
15,1966,6.3,5.7,6.0,5.5,5.5,4.7,3.5,4.6,5.5,4.8,4.9,5.4,5.2
16,1967,6.5,5.3,5.5,5.4,4.5,4.4,3.4,4.0,4.3,4.4,4.6,6.3,4.9
17,1968,6.4,7.0,5.4,4.6,5.4,4.0,5.1,4.0,4.7,4.4,4.3,5.1,5.0
18,1969,5.7,6.2,5.8,4.7,5.2,4.5,3.8,4.3,3.5,5.2,5.2,5.8,5.0
19,1970,6.3,5.8,6.8,5.1,4.9,3.7,4.3,3.9,3.6,4.1,5.4,5.8,5.0
20,1971,6.3,6.5,6.3,5.3,4.6,3.8,3.5,4.8,4.8,4.2,4.3,4.9,4.9
21,1972,4.9,6.7,6.2,5.6,5.0,4.3,5.3,3.7,4.7,4.9,5.5,5.5,5.2
22,1973,5.6,5.9,6.6,4.6,5.2,4.0,4.1,4.0,4.0,4.3,5.2,5.5,4.9
