,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1975,5.3,5.4,4.9,4.5,3.5,5.6,3.6,3.3,2.1,4.2,5.5,5.9,4.5
1,1976,5.1,4.6,4.6,4.0,3.4,4.3,3.1,3.1,4.0,3.9,7.4,5.3,4.4
2,1977,6.1,6.5,4.7,4.5,3.4,5.0,4.3 ),3.4,3.2,3.8,6.6,4.0,4.6
3,1978,5.8,5.3,4.4,4.0,2.7,2.7,2.3,2.5,2.4,6.3,6.5,5.0,4.2
4,1979,4.7,4.8,4.7,4.4,3.7,3.8,3.1,4.8,3.5,6.6,6.2,4.6,4.6
5,1980,5.3,5.3,4.5,4.2,4.6,4.2,4.5,2.9,4.4,4.3,5.3,5.5,4.6
6,1981,4.7,4.9,4.4,4.2,3.8,5.1,4.0,2.4,4.1,4.5,4.7,5.5,4.4
7,1982,4.8,5.2,4.5,3.7,4.0,4.2,4.5,3.9,4.1,4.4,3.8,5.3,4.4
8,1983,5.2,5.5,5.3,4.4,4.3,5.8,4.8,3.2,3.3,3.4,6.6,5.6,4.8
9,1984,5.3,5.3,4.3,4.4,3.3,3.9,2.4,4.1,2.5,4.5,4.5,5.4,4.2
10,1985,4.7,4.5,4.8,3.2,3.0,3.3,4.5,3.8,2.2,4.2,3.6,6.1,4.0
11,1986,5.1,5.7,4.6,3.9,2.9,3.7,3.0,3.8,4.1,3.8,5.1,4.9,4.2
12,1987,4.6,4.7,4.5,4.6,3.4,3.1,5.3,3.4,3.9,3.4,4.0,5.3,4.2
13,1988,5.0,4.6,4.8,3.7,3.7,5.5,3.5,3.0,2.7,5.3,5.3,4.7,4.3
14,1989,4.8,4.2,4.8,3.7,3.4,3.9,2.9,2.7,3.2,4.0,5.3,3.9,3.9
15,1990,3.9,3.8,3.3,4.1,3.4,4.7,3.7,5.9,4.3,4.5,4.4,4.4,4.2
16,1991,4.4,4.8,4.2,4.2,4.2,5.2,4.9,2.7,4.5,5.9,5.2,4.0,4.5
17,1992,5.2,4.8,4.0,3.7,3.1,3.9,3.9,2.7,4.4,6.1,5.2,4.1,4.3
18,1993,5.3,4.1,4.7,3.8,3.8,5.2,3.6,3.4,3.4,5.0,3.4,5.4,4.3
19,1994,4.3,4.5,4.6,3.4,3.3,4.7,2.3,4.7 ),4.2,5.9 ),3.5,3.9,4.1
20,1995,5.0,5.6,5.0,4.5,3.4,5.3,3.4,2.7,3.3,4.5,4.7,5.5,4.4
21,1996,4.1,5.5,4.1,4.1,3.8,5.2,3.9,3.1,3.9,3.3,4.1,4.1,4.1
22,1997,4.7,4.3,3.5,3.9,3.8,3.4,3.6,4.8,4.3,3.2,3.9,3.9,3.9
23,1998,5.0,4.4,4.0,4.1,2.7,5.6,3.0,2.5,3.5,3.5,4.5,5.0,4.0
24,1999,4.3,4.6,4.1,3.5,3.3,5.3,3.0,3.7,3.2,3.2,4.1,5.4,4.0
25,2000,4.6,4.6,3.4,3.4,3.0,4.5,3.2,4.2,3.1,3.3,4.1,3.8,3.8
26,2001,3.8,3.8,4.0,3.7,3.1,3.8,2.9,1.8,4.4,4.5,4.4,3.5,3.6
27,2002,4.1,3.1,3.2,3.9,2.8,4.5,4.3,2.6,3.4,3.1,4.1,4.1,3.6
28,2003,4.5,3.9,3.9 ),3.6,3.2 ),4.6,3.4,2.5,3.8,4.0,4.4,4.1,3.8
29,2004,4.0,4.1,3.8,3.2,3.3,3.4,3.7,4.4,3.7,5.2,4.4,5.1,4.0
30,2005,4.4 ),4.5 ),4.2,3.4,3.4,5.4,4.6,4.4,3.9,4.4,4.2,4.8,4.3
31,2006,4.5,4.7,4.0,4.2,3.7,3.3,4.5,2.7,4.1 ),4.6 ),4.0,5.4,4.1
32,2007,4.6 ),4.1,4.1,4.2,2.8,3.8,3.7,4.5,4.2 ),6.3 ),6.7,4.4,4.5
33,2008,4.8,5.4,4.0,3.6,3.6 ),4.1,4.3,3.1,5.1 ),3.7,4.9,4.3,4.2
34,2009,4.5,3.7 ),4.2,4.2,3.1,4.1,3.8,4.7,4.1,5.7,4.7,4.4,4.3
35,2010,4.7,4.4,4.4,4.3,3.5,4.0,4.1,3.3,3.4 ),4.6,5.5,4.1,4.2
36,2011,5.2,3.7,4.8,3.3,3.8,4.7,2.9,3.7,3.8,4.6,4.7,5.8,4.3
37,2012,4.8,4.7,4.2,4.1,3.5,4.4,4.0,5.3,3.9,4.6,4.2,5.0,4.4
38,2013,4.9,4.2,4.0,3.6,3.2,3.8,3.5,3.6,4.2,5.6,4.7,5.4,4.2
39,2014,4.1,4.3,3.9,3.2,3.5,3.8,4.2,2.8,2.8,4.8,4.2 ),4.6 ),3.9
40,2015,4.2,3.8,4.3 ),4.0,3.3,4.4,4.4,4.5,3.7,4.4,4.4,5.0,4.2
41,2016,4.8,4.8,3.6,3.8,3.4,3.8,3.7,2.4,4.5 ),3.8,4.2,4.7,4.0
42,2017,4.0,4.3,3.9,3.4,3.6,3.5,3.0,3.3,3.6,5.1,4.6,5.5,4.0
43,2018,4.6,4.2,3.7,3.2,3.0,3.9,3.9,3.1,3.3,4.7,3.9,4.4,3.8
44,2019,4.1,3.7,4.1 ],　,　,　,　,　,　,　,　,　,3.9 ]
