,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1939,　,　,　,　,　,190.7,245.0,252.9,173.6,173.7,149.8,184.7,1370.4 ]
1,1940,255.0,165.7,237.9,227.5,250.0,245.3,202.1,245.3,181.1,153.8,139.7,193.0,2496.4
2,1941,209.5,162.5,200.3,229.6,200.4,154.8,160.5,235.7,138.1,235.0,142.1,164.1,2232.6
3,1942,229.2,146.3,211.8,224.2,244.1,147.9,241.8,264.7,213.6,217.0,193.4,187.1,2521.1
4,1943,226.5,192.8,186.0,221.5,197.0,166.2,235.5,273.9,237.3,174.8,183.9,194.6,2490.0
5,1944,188.6,218.1,213.3,230.3,204.6,224.2,229.0,237.2,204.2,129.9,147.4,196.6,2423.4
6,1945,229.2,177.9,198.8,239.6,204.9,155.4,149.8,220.8,173.7,171.7,196.3,192.2,2310.3
7,1946,208.3,185.0,169.7,220.2,161.6,163.6,267.9,302.8,207.0,182.2,156.7,180.6,2405.6
8,1947,141.2,223.8,226.0,271.1,223.9,128.6,217.1,305.2,174.7,166.2,169.0,157.5,2404.3
9,1948,170.6,157.6,145.0,205.0,155.8,156.0,187.2,175.9,205.3,158.5,144.3,156.1,2017.3
10,1949,194.4,163.6,200.4,242.5,196.3,155.8,206.4,288.8,167.6,117.3,134.7,164.4,2232.2
11,1950,179.6,160.6,204.4,182.2,178.0,148.1,256.7,255.5,219.9,167.0,133.5,169.7,2255.2
12,1951,190.2,155.1,202.8,161.1,247.8,191.8,146.3,235.4,130.7,161.1,182.9,182.3,2187.5
13,1952,180.2,135.8,190.1,173.3,207.1,137.2,180.0,284.1,182.1,173.1,140.6,187.0,2170.6
14,1953,212.2,157.4,175.6,226.9,226.8,100.9,189.0,155.9,168.6,163.0,171.4,155.8,2103.5
15,1954,134.7,188.7,198.3,198.5,170.2,127.3,138.8,273.6,190.2,128.0,188.6,157.9,2094.8
16,1955,219.4,194.8,140.7,183.0,183.8,75.4,209.9,176.5,162.9,143.8,204.0,218.5,2112.7
17,1956,208.7,214.4,164.8,178.4,152.2,170.9,222.8,202.0,168.8,110.2,176.2,227.5,2196.9
18,1957,164.4,167.4,267.5,201.9,190.9,143.2,128.6,239.8,99.9,174.6,159.0,158.1,2095.3
19,1958,186.1,175.0,213.4,182.3,189.6,162.7,149.7,211.1,192.8,122.5,135.4,186.3,2106.9
20,1959,164.7,115.8,195.0,199.9,201.2,168.0,165.7,214.9,179.6,159.5,130.7,184.5,2079.5
21,1960,218.5,210.4,207.8,181.7,181.6,123.1,209.8,238.7,183.9,171.1,142.6,187.7,2256.9
22,1961,188.1,197.6,184.2,208.8,170.5,180.4,195.7,230.0,240.4,140.3,177.6,216.3,2329.9
23,1962,219.6,193.7,210.1,183.0,173.4,87.4,144.3,226.5,216.6,163.5,143.5,180.3,2141.9
24,1963,250.2,192.0,190.7,172.7,68.7,111.7,181.9,229.0,157.5,159.6,177.2,176.7,2067.9
25,1964,102.0,130.3,206.3,119.3,249.5,118.9,152.0,242.2,165.3,143.0,176.8,169.0,1974.6
26,1965,194.3,210.1,272.0,182.9,171.5,140.6,131.1,284.6,155.2,218.8,153.0,165.3,2279.4
27,1966,206.6,159.7,200.8,156.1,190.0,114.8,162.5,208.1,191.0,215.9,161.7,164.2,2131.4
28,1967,210.4,169.0,176.2,144.4,243.0,229.1,201.0,184.6,161.9,146.9,106.7,193.9,2167.1
29,1968,212.1,190.0,178.7,192.3,208.2,171.7,119.7,188.6,200.5,127.6,216.6,166.2,2172.2
