,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1898,×,×,×,×,×,×,×,×,×,×,98.4,88.4,186.8 ]
1,1899,93.6,107.5,176.1,121.0,155.7,161.2,185.6,259.9,215.0,140.0,42.3,112.7,1770.6
2,1900,70.0,76.3,64.2,137.1,176.4,222.4,299.6,282.1,210.9,183.9,101.4,70.7,1895.0
3,1901,144.3,70.3,123.2,156.5,167.0,202.4,314.1,181.1,175.1,191.4,115.3,104.6,1945.3
4,1902,133.8,147.5,155.0,208.1,190.4,170.8,316.5,229.7,228.0,225.7,106.4,81.9,2193.8
5,1903,80.4,95.2,114.7,170.2,191.2,198.3,274.8,239.8,229.3,186.3,106.5,133.0,2019.7
6,1904,108.3,153.8,113.2,245.3,224.3,256.3,185.2,270.7,267.4,226.2,146.9,136.2,2333.8
7,1905,139.4,66.7,90.8,134.6,223.3,253.4,318.0,285.9,226.4,188.1,163.1,115.3,2205.0
8,1906,65.2,118.1,99.4,92.9,225.0,311.5,256.0,296.7,271.5,165.6,95.9,106.6,2104.4
9,1907,135.4,86.2,123.2,122.4,167.9,170.2,278.0,300.2,190.0,191.8,131.9,65.1,1962.3
10,1908,95.5,71.0,82.2,100.4,177.7,242.5,282.2,166.8,229.2,187.5,116.8,83.0,1834.8
11,1909,90.8,68.2,84.5,134.9,132.1,306.3,292.6,299.4,224.7,180.6,107.8,114.2,2036.1
12,1910,119.4,44.1,78.1,131.6,189.4,331.7,318.7,235.5,220.6,187.1,123.0,97.7,2076.9
13,1911,93.9,102.6,170.7,141.1,186.4,302.9,286.7,214.0,255.5,170.2,148.6,65.7,2138.3
14,1912,84.8,91.0,141.7,198.0,182.1,139.2,321.7,239.3,211.8,177.6,108.4,90.1,1985.7
15,1913,82.4,90.2,52.4,197.9,200.9,283.7,259.7,311.1,238.8,168.4,156.5,80.0,2122.0
16,1914,143.8,133.1,145.5,185.7,201.6,240.2,270.9,311.0,195.6,243.1,82.4,108.3,2261.2
17,1915,100.8,99.4,135.3,170.0,157.3,300.6,304.4,281.1,274.1,222.4,152.2,150.4,2348.0
18,1916,103.3,99.1,77.8,214.7,268.5,241.0,326.6,185.5,263.6,114.9,118.1,70.2,2083.3
19,1917,79.5,103.3,104.7,118.9,167.7,250.4,249.3,283.2,243.8,169.1,113.9,102.5,1986.3
20,1918,78.0,140.3,143.0,236.7,147.4,298.2,249.1,288.1,231.2,146.5,138.3,88.1,2184.9
21,1919,120.9,117.3,150.1,153.0,146.4,289.3,300.0,259.4,253.3,145.7,136.6,77.6,2149.6
22,1920,121.8,71.5,119.2,138.7,187.7,256.6,244.8,290.3,247.5,236.9,136.2,139.5,2190.7
23,1921,82.7,90.9,129.5,241.5,121.8,263.7,305.4,287.4,227.3,191.5,104.1,90.2,2136.0
24,1922,69.8,107.6,129.8,117.7,183.3,190.8,276.7,223.1,167.6,200.1,105.4,105.3,1877.2
25,1923,110.6,85.2,196.5,177.3,270.6,220.1,296.5,265.5,215.9,208.3,158.0,107.7,2312.2
26,1924,64.0,80.2,102.6,129.2,230.0,179.5,243.5,216.2,209.2,160.2,151.4,87.0,1853.0
27,1925,59.6,111.1,97.3,80.8,217.5,255.1,265.1,257.1,209.1,234.2,197.1,120.4,2104.4
28,1926,78.5,88.5,122.6,105.9,207.6,178.8,338.4,302.5,240.4,162.2,120.5,107.9,2053.8
29,1927,90.0,54.6,134.3,125.4,128.5,198.9,279.8,278.2,263.3,223.9,193.3,121.7,2091.9
30,1928,117.7,35.2,70.5,173.5,169.0,193.9,301.6,248.6,197.7,210.3,101.1,110.5,1929.6
31,1929,92.4,98.3,145.5,175.1,140.5,242.3,277.9,259.9,262.4,189.4,107.7,188.1,2179.5
32,1930,87.8,131.2,167.4,238.1,188.8,304.5,234.1,309.0,224.4,148.4,144.1,74.8,2252.6
33,1931,108.0,92.1,121.1,163.7,200.4,220.8,332.1,226.9,218.4,147.5,158.4,141.7,2131.1
34,1932,144.0,89.4,166.0,164.4,257.7,203.8,298.6,261.9,150.0,143.4,150.8,118.6,2148.6
35,1933,112.5,85.9,144.6,197.7,235.5,211.1,283.1,298.4,250.8,177.4,156.1,172.4,2325.5
36,1934,64.1,107.7,138.8,146.8,193.4,262.4,293.1,326.7,254.9,203.3,110.7,102.3,2204.2
37,1935,93.0,143.6,137.9,114.2,215.0,196.3,229.4,245.3,222.1,211.6,142.2,77.2,2027.8
38,1936,71.8,79.8,62.2,176.1,152.6,268.2,275.5,238.0,185.1,150.2,162.7,82.5,1904.7
39,1937,114.7,109.1,82.0,182.2,184.5,173.2,274.2,167.6,277.6,233.3,153.6,65.3,2017.3
40,1938,122.6,89.8,84.3,165.9,229.1,322.8,300.2,234.8,234.8,223.3,92.1,113.9,2213.6
41,1939,105.2,120.1,87.9,109.0,144.7,198.6,202.5,287.3,195.4,166.9,122.7,103.6,1843.9
42,1940,127.6,152.6,112.7,175.2,147.8,188.3,223.7,256.0,237.0,197.6,136.9,166.7,2122.1
43,1941,95.8,78.0,118.2,117.3,161.8,196.8,261.7,265.3,223.9,165.8,153.8,94.1,1932.5
44,1942,93.2,69.1,189.2,153.7,174.4,231.8,279.4,292.9,228.0,189.4,155.1,96.7,2152.9
45,1943,99.2,79.1,84.2,162.4,253.1,198.9,189.9,215.0,238.8,209.9,111.1,88.3,1929.9
46,1944,68.3,107.2,142.0,103.3,178.7,185.4,316.9,260.4,255.7,231.7,135.2,36.0,2020.8
47,1945,81.8,36.0,146.4,185.4,149.1,219.2,290.1,271.7,195.0,155.5,146.4,119.8,1996.4
48,1946,128.7,138.8,113.4,189.6,176.3,217.8,263.2,243.5,262.3,196.2,168.6,88.7,2187.1
49,1947,86.3,82.0,131.4,125.4,165.8,148.4,281.2,262.4,269.7,190.5,78.5,65.3,1886.9
50,1948,131.6,113.8,159.8,136.7,276.4,219.0,259.4,272.0,204.8,214.2,111.5,121.0,2220.2
51,1949,103.8,120.6,136.5,141.2,233.7,174.8,282.7,208.8,241.9,155.3,164.9,113.9,2078.1
52,1950,115.0,57.5,142.1,127.9,167.5,180.7,269.3,259.3,280.9,189.2,126.5,89.9,2005.8
53,1951,83.9,129.3,82.4,127.9,177.3,218.3,276.7,229.1,232.9,153.6,122.4,96.9,1930.7
54,1952,103.0,110.7,122.2,154.5,241.4,211.6,207.7,282.2,235.0,162.6,147.0,62.2,2040.1
55,1953,93.7,103.1,124.1,75.8,144.4,270.9,297.2,278.8,208.0,182.0,81.4,120.6,1980.0
56,1954,89.7,113.8,89.0,125.1,227.1,204.6,310.1,235.3,235.3,181.2,168.9,88.8,2068.9
57,1955,86.6,128.0,167.9,144.9,157.3,241.5,239.1,174.6,233.6,187.1,108.1,180.4,2049.1
58,1956,67.4,95.7,141.1,136.3,186.0,281.5,340.8,267.6,193.1,170.0,95.8,64.8,2040.1
59,1957,106.7,75.2,64.6,190.9,182.3,153.7,358.4,260.6,189.6,194.7,137.4,80.7,1994.8
60,1958,102.7,60.9,104.3,217.7,155.5,164.0,266.8,290.6,234.1,127.1,131.5,114.8,1970.0
61,1959,68.2,92.7,142.5,137.7,181.9,179.1,266.1,242.9,253.7,155.7,178.9,122.4,2021.8
62,1960,95.2,154.6,165.4,95.2 ),132.3,200.2,272.0,165.9,246.3,205.2,137.2,113.3,1982.8
63,1961,116.7,59.2,114.4,114.5,136.1,261.7,219.0,262.2,203.6,227.6,134.9,75.3,1925.2
64,1962,81.3,119.7,98.8,164.0,187.4,196.0,256.7,256.2,229.6,173.7,102.9,140.8,2007.1
65,1963,145.7,113.0,172.3,213.7,315.8,193.2,311.0,298.6,218.8,195.3,158.3,113.2,2448.9
66,1964,112.5,77.6,166.6,275.2,175.3,212.0,303.0,242.9,239.1,195.6,111.6,116.7,2228.1
67,1965,150.2,98.6,141.6,121.6,137.2,181.4,310.1,263.7,206.7,175.8,124.9,95.8,2007.6
68,1966,91.6,114.8,124.0,157.3,124.0,162.5,244.5,224.8,173.1,174.1,92.5,72.9,1756.1
69,1967,61.5,116.9,169.1,137.3,192.6,185.6,299.5,268.1,196.7,152.3,125.2,86.2,1991.0
70,1968,89.0,42.4,80.2,199.1,138.8,173.4,252.0,235.9,197.4,224.8,192.6,205.1,2030.7
71,1969,86.2,79.9,75.0,183.4 ),178.6,123.9,303.5,268.3,224.6,183.5,117.2,91.9,1916.0
72,1970,83.2,148.5,23.0,89.7 ),179.9 ),210.5,267.2,259.5,231.7 ),149.3,103.9,73.7,1820.1
73,1971,85.4,51.2 ),184.1,179.1,237.6,294.7,314.1,316.2,220.3 ),145.2 ),121.3,90.4,2239.6
74,1972,107.7,84.7,192.2,166.6,190.8,255.7,207.8 ),221.0,219.5,232.7,126.3 ),80.0,2085.0
75,1973,72.5,124.8,126.1,160.9,166.4,174.1 ),233.5,242.3,227.9,139.4,118.2,118.3,1904.4
76,1974,119.0,95.2,118.1 ),143.6,223.9,189.0,304.5,220.7,200.6,186.1,107.0,64.0 ),1971.7
77,1975,74.6,118.0,106.1,191.0,118.9,189.7,280.1,216.2,245.2,180.1,115.0,82.0 ),1916.9
