,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1931,6.2,6.2,4.9,7.0,6.7,8.1,8.8,8.0,7.6,6.4,5.3,5.8,6.8
1,1932,5.7,6.1,6.3,7.1,7.1,8.5,7.6,7.8,9.0,6.1,6.4,5.7,7.0
2,1933,5.5,5.3,7.1,6.4,7.2,7.1,7.7,7.7,6.0,6.3,5.1,4.9,6.4
3,1934,4.5,5.8,6.3,6.9,6.5,7.7,9.0,8.4,8.8,6.7,6.5,5.1,6.9
4,1935,5.2,5.6,6.5,6.1,7.4,7.6,9.1,8.3,8.7,5.9,5.8,5.9,6.8
5,1936,6.1,5.6,6.1,7.5,7.8,7.7,7.9,8.2,7.7,5.4,6.2,6.6,6.9
6,1937,5.8,6.0,5.7,6.4,6.4,6.7,9.3,7.1,7.3,6.1,6.9,5.6,6.6
7,1938,4.8,4.9,6.4,6.6,7.3,8.5,8.8,7.4,8.0,7.7,5.4,5.9,6.8
8,1939,5.2,5.6,6.1,6.9,8.0,7.6,8.2,7.5,7.7,7.3,6.1,5.3,6.8
9,1940,5.2,6.0,5.8,6.8,6.7,7.2,8.6,8.1,7.5,5.8,6.6,5.7,6.7
10,1941,6.7,5.8,6.7,6.8,7.0,8.1,9.1,9.4,7.9,4.8,6.4,6.1,7.1
11,1942,4.7,5.9,6.5,6.7,7.2,7.0,7.7,7.4,8.2,5.6,5.3,6.5,6.6
12,1943,4.4,6.1,6.0,5.4,6.5,7.4,8.5,7.3,8.7,6.6,5.2,5.0,6.4
13,1944,5.1,5.4,6.8,7.0,6.9,8.1,8.8,6.0,6.8,7.2,6.5,6.0,6.7
14,1945,5.0,4.6,5.6,5.7,7.1,8.9,8.8,8.0,8.6,8.0,6.6,6.9,7.0
15,1946,5.5,6.1,6.3,6.2,7.5,7.3,7.7,7.2,6.5,6.2,6.7,5.4,6.6
16,1947,5.9,4.8,6.3,5.8,6.9,8.6,8.6,6.8,7.5,7.0,5.3,5.3,6.6
17,1948,5.2,5.2,5.9,6.5,6.6,8.3,8.6,8.3,7.5,6.4,5.7,6.2,6.7
18,1949,5.6,6.5,5.2,6.2,7.1,8.6,7.9,7.2,7.6,6.7,6.0,5.1,6.6
19,1950,4.5,5.4,5.6,6.5,6.8,8.2,7.0,6.6,7.5,7.0,5.9,6.3,6.4
20,1951,4.8,6.0,6.0,7.2,6.7,6.5,7.7,6.7,7.3,6.6,6.1,6.0,6.5
