,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1946,　,　,　,　,　,　,　,　,　,159.5 ),160.5,119.9,439.9 ]
1,1947,124.8,30.8,69.0,172.4,63.9,71.2,129.7,186.0,297.0,117.2,152.8,119.9,1534.7
2,1948,47.9,159.2,35.7,27.2,119.5,82.5,72.1,134.4,118.6,101.7,81.4,82.4,1062.6
3,1949,111.8,65.3,91.4,76.6,88.5,22.5,17.8,68.6,104.1,157.6,77.5,221.8,1103.5
4,1950,123.1,36.1,35.0,21.3,95.2,40.1,80.2,88.6,208.0,145.7,92.2,187.4,1152.9
5,1951,212.3,50.1,86.9,55.7,30.7,122.9,79.4,56.6,141.4,89.5,121.1,66.3,1112.9
6,1952,164.6,133.7,72.9,93.9,96.6,116.5,99.7,69.5,144.5,94.3,137.5,148.6,1372.3
7,1953,73.2,125.0,30.9,36.2,121.4,77.1,86.5,147.3,96.7,97.4,262.6,140.6,1294.9
8,1954,137.6,96.3,44.5,57.8,93.2,47.6,102.1,201.2,124.3,71.1,124.9,100.5,1201.1
9,1955,111.1,118.0,93.0,79.4,83.7,96.8,117.4,160.2,78.5,255.4,110.4,91.1,1395.0
10,1956,101.0,44.8,64.5,85.6,50.2,177.8,77.8,153.5,55.9,75.0,134.6,184.5,1205.2
11,1957,104.6,64.3,34.7,68.3,82.6,79.5,55.2,206.5,232.5,171.1,68.5,128.5,1296.3
12,1958,178.9,66.7,91.2,53.3,42.3,92.4,241.2,144.4,96.4,89.8,76.1,66.7,1239.4
13,1959,97.3,45.3,50.4,113.2,53.3,54.9,93.2,53.3,298.5,65.1,188.4,179.9,1292.8
14,1960,110.2,63.3,63.1,85.1,74.8,157.6,68.7,54.3,77.7,44.2,157.2,148.2,1104.4
15,1961,203.2,82.7,50.0,32.6,146.0,46.3,327.4,95.8,162.1,84.2,75.5,70.9,1376.7
16,1962,80.2,94.1,90.0,103.3,48.7,103.7,198.3,393.2,137.2,45.6,108.6,81.9,1484.8
17,1963,62.4,34.8,41.4,93.2,81.3,120.0,202.9,123.7,149.2,100.6,88.6,144.7,1242.8
18,1964,99.5,78.7,28.3 ),133.0,55.6,159.6,139.0,177.6,119.0,73.9 ),134.9,143.9,1343.0
19,1965,112.4,195.0,83.9,39.2 ),62.9,69.6,90.8 ),46.7,344.6,41.9,177.7,113.7,1378.4
20,1966,125.7,81.7,89.7,61.5,84.1,92.3,141.4,274.8,112.2,142.8,96.9,149.0,1452.1
21,1967,106.9 ),103.4,61.7,85.5,52.9,179.2,93.9,47.8,196.1,80.0 ),136.7,95.9,1240.0
22,1968,93.5,50.5,49.0,42.0,77.0,29.5,78.0,101.0,116.0,43.0 ),111.0,141.5 ),932.0
23,1969,202.0,150.5,52.5,30.5,130.0,119.0,72.0,217.5,118.0,107.5,108.0,194.5 ),1502.0
24,1970,121.0,156.0,138.0,74.0,107.5,107.5,106.0,99.0,135.5,145.0,100.5,212.0,1502.0
25,1971,83.0,50.0,64.5,28.5,75.5,107.5,126.0,57.0,191.0,191.0,69.0,145.0,1188.0
26,1972,82.0,112.5,15.5,83.0,96.5,83.5,38.0,73.5,111.0,104.0,137.5,183.0,1120.0
27,1973,80.5,100.5,69.5,77.0,61.5,6.5,31.5,216.0,169.0,174.0,180.0,136.5,1302.5
28,1974,54.5,34.5,39.0,120.0,62.0,118.5,23.0,184.5,75.0,89.5,184.5,231.0,1216.0
29,1975,106.5,47.0,50.5,33.5,57.0,52.5,140.0,295.5,76.0,100.5,83.0,59.0,1101.0
30,1976,165.5,45.5,48.5,31.0,79.5,65.0,54.0,71.5,77.0,128.0,130.5,106.5,1002.5
31,1977,145.5,124.5,71.5,66.5,110.0,22.0,52.5,152.5,149.0,29.5,123.0,172.0,1218.5
