,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,3.8,4.9,4.2,3.1,3.0,3.4,3.4,3.3,2.6,3.6,3.3,3.6,3.5
1,1952,4.2,3.9,4.3,4.0,3.1,3.7,3.4,3.7,3.1,3.3,4.2,3.6,3.7
2,1953,4.8,3.9,4.1,3.5,4.0,3.1,3.9,3.8,2.8,3.0,3.5,3.4,3.7
3,1954,3.6,4.1,3.8,3.3,3.4,3.9,3.9,2.7,3.7,3.9,3.3,4.2,3.7
4,1955,5.0,3.9,3.6,3.4,2.6,3.5,3.6,3.7,4.2,4.5,3.4,3.4,3.7
5,1956,4.6,4.3,4.2,3.7,3.0,3.5,3.2,3.3,3.2,4.0,3.4,4.0,3.7
6,1957,3.9,4.3,3.7,3.1,2.7,2.7,4.3,3.3,3.9,2.9,3.5,4.2,3.5
7,1958,5.0,3.6,4.0,3.9,3.5,2.7,4.1,3.1,4.0,3.6,3.5,3.8,3.7
8,1959,4.5,4.1,4.2,3.6,3.6,2.8,4.2,4.1,3.7,3.3,3.4,4.1,3.8
9,1960,4.1,3.9,4.0,3.6,3.8,3.9,2.7,3.6,3.2,4.7,3.0,3.9,3.7
10,1961,3.5,3.3,3.1,3.6,2.7,2.7,3.7,3.1,2.9,4.4,3.6,3.2,3.3
11,1962,4.1,3.3,3.6,3.2,2.6,2.4,2.9,2.9,3.2,3.0,3.5,3.2,3.2
12,1963,5.8,3.3,3.8,3.8,3.2,3.1,3.3,2.9,3.0,3.1,2.8,3.4,3.5
13,1964,3.6,3.4,3.2,3.9,2.3,3.3,4.1,3.2,3.3,3.0,3.1,2.7,3.3
14,1965,4.0,3.6,3.4,3.3,3.2,2.6,4.4,2.8,3.2,2.6,2.9,3.8,3.3
15,1966,3.8,3.5,3.9,3.0,3.2,3.1,3.4,2.9,3.4,2.9,2.8,3.0,3.2
16,1967,3.8,3.5,3.2,3.7,2.2,2.5,2.8,2.7,3.4,3.6,3.4,4.0,3.2
17,1968,4.0,4.0,3.3,2.6,2.8,2.8,3.1,3.2,3.4,3.3,2.7,3.0,3.2
18,1969,3.8,4.1,3.6,4.0,3.2,2.8,3.2,3.3,3.2,3.4,3.0,3.6,3.4
19,1970,3.6,3.5,3.5,3.4,3.3,2.6,3.1,3.1,3.0,2.8,3.0,3.1,3.2
20,1971,3.6,3.6,3.5,3.1,3.0,2.7,4.2,3.9,3.1,3.3,3.2,3.3,3.4
21,1972,3.6,3.7,3.4,3.4,3.3,2.8,3.8,2.9,3.0,2.6,3.6,3.1,3.3
22,1973,3.2,2.9,3.6,3.0,2.9,2.3,2.4,2.7,2.5,3.0,3.6,3.8,3.0
23,1974,3.3,3.6,3.3,4.5,3.2,2.5,3.1,3.3,2.6,2.8,3.0,3.1,3.2
24,1975,3.0,3.0,2.8,3.1,2.3,2.0,3.0,2.3,2.6,3.3,3.1,3.1,2.8
25,1976,3.7,2.3,2.5,2.7,2.6,2.7,2.6,2.6,2.6,2.3,3.0,3.2,2.7
26,1977,3.1,3.1,3.2,2.9,2.3,2.8,2.0,3.3,2.3,2.2,3.1,2.5,2.7
27,1978,3.7,3.3,3.2 ),3.0,2.1,2.9,2.2,2.3,2.7,2.6 ),2.5,2.5 ),2.8
28,1979,2.7,3.1,2.6 ),3.1,2.5,2.7,2.5,2.7,2.7,2.5,2.6,2.2,2.7
29,1980,3.4,3.1,2.5,3.0,2.7,2.3,2.3,2.6,2.8,2.9,2.3,3.7,2.8
30,1981,3.4,3.3,3.1,2.6,2.8,2.0,2.8,2.5,3.0,2.9,3.0,3.2,2.9
31,1982,3.2,2.6,3.0,3.1,2.7,2.4,2.2,2.9,3.2,2.2,2.8,2.9,2.8
32,1983,3.1,3.5,3.5,3.2,2.7,2.4,3.4,3.3,2.6,2.5,3.0,3.3,3.0
33,1984,3.4,3.3,3.3,2.8,2.4,2.4,2.8,2.1,2.6,3.4,2.6,3.0,2.8
34,1985,3.1,3.7,3.2,3.2,2.8,2.2,3.1,2.6,2.8,2.9,3.5,3.3,3.0
35,1986,3.6,3.2,3.0,2.6,2.8,2.7,2.4,2.6,2.3,2.5,2.4,3.1,2.8
36,1987,3.5,3.8,3.0,2.6,2.2,2.7,2.8 ),2.5,3.3,3.2,2.8,3.1,3.0
37,1988,3.2,3.4,3.5,3.6,2.7,2.7,3.3,2.5,3.2,2.6 ),3.4 ),3.2,3.1
38,1989,2.8,2.9,3.1,2.6,2.7,2.7,2.9,3.6,1.9,2.3,3.0,2.9,2.8
39,1990,3.2 ),3.3,3.6 ),3.2,2.5,2.7,2.9,2.1,3.1 ),2.5,2.6,3.0,2.9
40,1991,3.2,3.4,3.1,2.6 ),3.1,2.6,3.7,3.7,2.9,3.0,2.7,2.8,3.1
41,1992,3.0,3.6,2.8,3.5,3.6,2.6,3.7,3.0,2.9,2.9,2.9,3.1,3.1
42,1993,3.2,3.9,2.6,3.9,2.6,2.7,2.9,2.3,2.4,2.9,3.0 ),3.4,3.0
43,1994,3.1,3.2,3.1,2.9,3.3,2.6,2.9,3.0,2.8,3.3,2.9,3.3,3.0
44,1995,3.7,2.8,3.4,3.1,3.1,2.6,4.1,3.1 ),2.8 ),2.8,3.0,3.3,3.2
45,1996,3.2,3.9,3.6,3.2,2.4,3.1,3.0,2.3,2.3 ),2.4,3.0,2.9,2.9
46,1997,3.4,3.1,3.1,2.9,3.4,2.6,3.5,3.3,3.0,2.8,2.9,3.2,3.1
47,1998,3.5 ),3.3,3.4,2.7,2.4,3.1,3.3,3.3,2.5,2.7,2.9,2.8,3.0
48,1999,3.3,3.2,3.0,3.1 ),3.0,2.2,3.1,2.9,2.7,2.4,2.4,3.0,2.9
49,2000,3.2,3.2,3.4,3.5,3.0,2.6,3.2,2.6,3.3,2.4,2.9,2.8,3.0
50,2001,3.6,3.0,3.6,2.9,2.8,3.7 ),2.8,2.6,2.9,2.7,2.5,3.1,3.0
51,2002,3.9,2.8,3.3,3.7,2.4,2.5,3.3,3.6,2.7,2.6,3.2,3.4,3.1
52,2003,3.6,2.8,3.0,3.5,2.4 ),2.5,3.1,2.4,2.7,2.9 ),2.8,3.6,2.9
53,2004,3.2 ),3.6,3.2,2.9,3.2,2.1,3.5,2.6,3.0,3.2,2.3,2.5,2.9
54,2005,3.5,3.5,3.6,3.8,2.5,3.0,2.8,2.8,3.1,2.7,2.7,3.8,3.2
55,2006,3.0,3.5,3.5,3.6,3.3,2.5,3.3,2.0,3.2,2.3,3.2,2.7,3.0
56,2007,2.7,3.0 ),3.3,3.3,3.6,3.0,2.6,3.0,2.8,2.4,2.9,3.2,3.0
57,2008,3.2,3.3,3.2,2.9,2.8,2.8,2.7,2.9,2.3,2.1,2.7,2.8,2.8
58,2009,3.1,2.9,3.5,2.9,2.9,3.0,4.1,2.7,2.3 ),2.6,3.1,3.1,3.0
59,2010,3.3,3.2,3.9,2.9,3.0,2.1,2.9,3.0,2.7,2.9,2.5,3.4,3.0
60,2011,3.9,2.7,3.3,4.2,3.3,3.0,3.4,2.7,2.9,2.4,2.7,3.1,3.1
61,2012,3.3,3.2,3.5,3.5,2.6,2.5,2.8,2.8,2.6,2.7 ),3.3,3.6,3.0
62,2013,3.1,2.8,3.5,3.9,2.7,2.3,4.6,2.7,2.6,3.4,3.3,3.6,3.2
63,2014,3.2,3.4,3.5,2.6,3.3,2.6,2.7,3.6,2.7,3.1,2.5,3.6,3.1
64,2015,3.5,3.2,3.1,3.4,2.4,2.3,3.4,2.4,2.9,3.0,2.9,2.8,2.9
65,2016,3.2,3.5,3.0,2.9,2.9,2.4,3.0,2.7,2.5,3.0,2.8,3.0,2.9
66,2017,3.3,4.0,2.6 ),3.6,2.8,2.5,3.2,2.7,2.8,3.4,2.8,3.2,3.1
67,2018,3.2,3.2,3.4,3.4,3.4,2.7,2.3,3.0,2.8,2.9,2.3,3.2,3.0
68,2019,3.0,2.8,3.0 ],　,　,　,　,　,　,　,　,　,2.9 ]
