,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1961,12.0 ),13.9 ),16.4 ),17.2 ),14.1 ),18.9,19.8 ),18.9,17.5 ),14.8 ),10.5 ),10.7 ),15.4
1,1962,9.9 ),13.4 ),16.8,16.7 ),16.0,13.6 ),16.7 ),21.1 ),18.8,16.5 ),11.2,11.1,15.2
2,1963,10.2 ),14.3 ),19.7,17.0,16.4 ),21.2,23.9,19.8,18.8 ),18.8,13.9,13.0,17.2
3,1964,12.4,14.7,20.1,16.3,21.7,16.6,24.8 ),20.1 ),20.0,17.9,16.5,11.8,17.7
4,1965,12.6,15.5,19.6,19.8,20.2,15.5,20.3,23.1,17.2,17.1,12.3,9.3,16.9
5,1966,11.0,13.7,14.7,15.2,19.3,18.1,21.0,17.5,16.7,14.6,11.4,8.9 ),15.2
6,1967,11.1 ),12.2,14.3,10.3 ),11.6,12.2,11.0 ),12.8,11.3,8.2 ),6.3 ),6.0 ),10.6
7,1968,6.2,8.1,9.0,11.1,11.1,9.3 ),5.6 ),9.3,8.0,8.1,7.5 ),5.0,8.2
8,1969,4.6,4.8 ),11.3,16.1,17.7 ),16.9,16.4,18.4 ),15.8,11.9,10.4,8.8,12.8
9,1970,8.7,11.1,12.9,12.9 ),14.0 ),10.8,16.2,15.5 ),14.5,11.8,10.9 ),7.6,12.2
10,1971,9.6 ),9.8,15.4,16.1,16.2,10.6,18.7,15.5,14.2,11.5,9.8,7.1,×
11,1972,7.7,7.7,11.7,12.6,14.0,12.6,13.4,16.8,13.2,11.3,6.4,6.7,11.2
12,1973,6.6,6.9,11.0,11.3,11.9,12.8,16.2,17.4,11.8,11.0,9.6,7.8,11.2
13,1974,8.7,9.4,11.9,14.3 ),13.6,14.6,13.8,18.9,14.1,10.3,8.9,7.0,12.1
14,1975,9.1,10.8,15.7,14.0,16.7,16.7,18.8,18.4,15.5,12.3,10.8,8.5,13.9
15,1976,10.0,10.9,13.9,13.1,15.3,13.6,17.5,18.5,13.8,13.6,10.2,8.1,13.2
16,1977,8.2,12.9,13.3,16.0,14.5,14.1,20.6,17.3,14.3,14.3,9.8,8.5 ),13.6
17,1978,9.0,11.9,13.6,16.2,16.6,17.9,19.3,17.8,14.3,12.0,10.8,9.8,14.1
18,1979,8.6,9.5,11.5,15.7,18.6,15.0,16.6,17.6,14.9,14.4,8.0,9.4,13.3
19,1980,7.7,11.3,11.4,15.9,16.8,14.4,14.0,15.8,15.2,12.4,11.0,8.0,12.9
20,1981,8.9,9.4 ),11.6 ),15.7,18.1,15.7,20.1,17.8,13.8,12.3,8.8,9.5,13.5
21,1982,10.2,10.6,14.0,16.4,17.4,18.2,14.7,18.4,13.6,13.9,8.6,8.6,13.7
22,1983,10.0,11.3,11.0,13.1,17.0,14.3,19.0,17.3,14.0,11.4,11.3,10.0,13.3
23,1984,9.7,10.8,13.4,15.1,16.7,13.4,19.4,18.6,13.3,14.5 ),10.0,8.1,13.6
24,1985,9.3,8.5,10.2,17.6,16.3,14.4,16.9,16.7,16.1,13.8,10.1,8.4,13.2
25,1986,8.9,12.9,13.4,14.3,17.3,14.0,17.9,18.3,13.6,13.5,8.8,9.0,13.5
26,1987,9.5,10.6,10.9,14.7,16.1,17.0,16.3,17.6,15.2,12.3,8.6,9.3,13.2
27,1988,8.3,11.3,10.2,15.4,17.1,12.9,17.5,17.7,13.7,13.9,10.1,9.5,13.1
28,1989,8.1,9.7,14.2,14.6,13.3,15.1,17.7,16.0,13.9,14.3,10.5,9.7,13.1
29,1990,8.6,8.8,13.9,16.5,14.8,16.2,19.7,16.5,15.4,14.7,11.5,9.1,13.8
30,1991,9.8,11.4,12.6,13.8,14.0,12.0,18.1,17.3,16.1,12.3,12.0,8.5,13.2
31,1992,9.3,11.6,7.8,17.4,19.9,15.1,17.4,16.4,16.1,14.6,10.3,8.7,13.7
32,1993,7.9,11.4,13.6,18.6,15.3,15.0,12.5,16.1,13.5,13.6,9.5,8.7,13.0
33,1994,9.0,11.2,15.5,13.6,19.2,15.2,21.5,19.9,18.2,13.6,11.1,7.6,14.6
