,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1882,3.6,3.1,5.1,12.1,15.9,19.2,23.4,25.1,20.5,15.5,9.1,4.6,13.1
1,1883,2.1,1.9,4.1,9.9,14.1,19.4,24.1,25.2,21.1,16.4,9.0,4.4,12.6
2,1884,1.8,1.4,4.2,9.9,14.9,19.3,23.6,23.8,21.2,13.8,7.0,3.1,12.0
3,1885,1.0,0.4,3.1,10.4,14.3,19.3,22.1,25.4,22.3,15.7,9.7,5.7,12.5
4,1886,1.7,0.8,6.0,10.9,15.4,20.5,24.9,27.0,22.8,16.6,10.4,3.9,13.4
5,1887,2.3,2.3,5.0,11.5,13.9,19.4,24.1,26.2,20.6,16.7,10.7,5.5,13.2
6,1888,2.3,0.8,5.8,11.4,16.1,18.5,25.5,25.8,20.2,14.8,11.6,6.1,13.2
7,1889,1.3,2.0,5.8,10.7,14.4,20.3,23.6,25.6,19.7,14.5,8.9,5.2,12.7
8,1890,3.2,5.9,7.3,12.5,16.0,20.9,24.1,25.8,23.2,15.4,10.7,8.8,14.5
9,1891,1.3,1.5,6.9,10.1,17.0,19.3,23.7,24.5,23.6,15.4,10.1,5.9,13.3
10,1892,2.4,2.5,3.5,11.5,15.2,20.4,26.1,25.5,22.5,15.0,8.4,2.7,13.0
11,1893,1.4,0.2,3.6,10.7,14.5,19.4,24.1,26.0,22.4,15.5,8.9,4.3,12.6
12,1894,2.3,2.3,6.3,11.9,15.4,23.2,26.6,26.5,21.6,15.1,11.2,4.8,13.9
13,1895,1.5,1.7,5.6,11.6,16.8,19.6,22.2,26.0,22.5,15.7,10.0,4.8,13.2
14,1896,2.7,2.0,4.1,12.4,15.9,21.4,23.1,25.6,20.8,15.1,9.7,3.8,13.1
15,1897,3.5,1.7,4.9,9.1,15.5,18.6,23.5,26.1,20.6,14.6,10.2,3.4,12.6
16,1898,3.6,3.3,4.1,9.8,15.9,20.0,25.2,26.4,21.6,15.9,11.2,6.1,13.6
17,1899,2.4,3.2,6.5,11.1,17.5,21.5,25.2,25.5,20.1,13.2,8.5,6.1,13.4
18,1900,1.1,2.2,5.0,11.1,16.4,19.1,22.5,26.2,21.8,15.6,10.6,5.0,13.1
19,1901,4.2,1.7,5.0,11.9,15.2,19.8,22.3,25.4,21.5,16.6,9.5,4.4,13.1
20,1902,1.9,2.2,7.3,10.1,16.0,19.2,21.9,23.8,22.0,15.2,11.0,6.9,13.1
21,1903,4.4,3.5,7.5,12.6,14.6,19.3,22.6,25.2,22.8,15.1,9.0,3.7,13.4
22,1904,0.9,3.7,5.1,12.4,15.2,21.2,24.7,25.6,20.4,15.3,8.4,5.6,13.2
23,1905,4.7,1.5,5.5,9.9,15.9,20.0,24.3,23.0,21.4,15.7,9.9,6.5,13.2
24,1906,1.2,1.6,6.0,10.9,15.6,19.1,23.8,24.6,19.8,15.2,8.4,5.8,12.7
25,1907,3.6,1.5,4.7,10.8,15.9,19.1,24.1,25.9,20.7,15.0,10.8,4.1,13.0
26,1908,3.1,2.0,5.3,10.6,14.9,19.6,22.6,25.2,20.0,15.2,8.8,5.6,12.7
27,1909,2.2,1.7,4.3,11.4,15.3,19.6,24.1,25.8,21.4,14.1,10.2,4.2,12.9
28,1910,4.5,1.1,3.7,10.3,15.1,20.5,23.7,24.2,20.4,15.4,9.7,3.9,12.7
29,1911,2.2,3.4,6.0,10.4,15.4,19.8,24.2,24.9,22.7,14.9,11.3,4.8,13.3
30,1912,2.2,6.0,6.2,11.7,15.1,19.3,23.4,25.5,20.2,15.2,9.1,5.4,13.3
31,1913,2.2,2.7,4.5,11.9,14.7,19.3,22.4,23.5,19.2,15.4,10.0,5.4,12.6
32,1914,4.3,3.3,8.1,9.8,16.7,20.5,25.5,26.2,22.7,15.4,12.4,5.8,14.2
33,1915,3.2,3.2,4.9,10.8,14.9,21.9,24.3,25.5,22.6,17.4,11.6,6.9,13.9
34,1916,5.0,3.4,3.9,10.9,15.6,22.9,24.0,26.2,22.9,16.3,11.7,6.9,14.1
