,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1961,3.6,3.8,3.3,3.8,3.4,2.8,2.8,2.5,2.8,3.0,3.0,3.4,3.2
1,1962,3.6,3.6,3.7,3.7,3.4,2.6,2.6,2.9,2.5,2.4,2.7,3.2,3.1
2,1963,4.1,3.1,3.4,3.6,3.3,3.1,2.5,2.5,2.5,2.6,3.0,3.3,3.1
3,1964,3.0,3.2,3.1,3.1,2.5,2.2,2.2,2.0,2.1,2.2,2.6,2.6,2.6
4,1965,3.0,3.2,3.3,3.0,2.9,2.1,2.1,2.1,2.1,2.1,2.9,3.0,2.7
5,1966,3.2,3.1,3.1,2.8,2.9,2.3,2.1,2.0,2.1,2.1,2.3,2.3,2.5
6,1967,2.6,1.9,2.6,2.8,2.5,2.1,1.9,2.0,1.9,2.1,2.4,2.7,2.3
7,1968,2.9,2.3,2.6,2.5,2.6,2.2,2.2,1.7,2.2,1.9,2.4,2.7,2.4
8,1969,2.8,2.6,2.7,2.9,2.8,1.9,2.0,1.9,1.6,2.1,2.4,3.0,2.4
9,1970,2.6,3.3,2.9,2.6,2.7,1.9,2.2,1.9,1.8,1.8,2.5,2.4,2.4
10,1971,2.7,2.6,2.9,2.7,2.4,1.9,1.9,2.1,2.0,2.0,2.3,2.8,2.4
11,1972,2.6,2.7,2.4,2.5,2.5,2.2,2.2,1.7,2.0,1.9,2.6,2.4,2.3
12,1973,2.4,2.7,3.0,2.6,2.4,1.8,1.9,1.9,1.8,1.9,2.8,2.8,2.3
13,1974,2.6,2.6,2.6,3.1,2.4,2.0,1.8,1.6,1.7,1.7,2.2,2.2,2.2
14,1975,2.1,2.4,2.2,1.9,1.9,1.4,1.4,1.5,1.4,1.4,1.7,1.9,1.8
15,1976,2.5,2.0,2.0,1.8,1.8,1.5,1.4,1.3,1.3,1.5,2.0,2.0,1.8
16,1977,1.8,2.1,2.2,2.2,2.1,1.5,1.2,1.2,1.2,1.3,1.6,1.9,1.7
17,1978,1.9,1.9,2.1,2.0,1.7,1.4,1.2,1.3,1.2,1.3,1.4,1.0,1.5
18,1979,1.0,1.1,1.2,1.5,1.3,1.2,1.0,1.0,1.0,0.9,1.0,0.8,1.1
19,1980,2.0,2.5,2.3,2.2,2.2,1.7,1.6,1.5,1.3,1.8,1.8,2.5,2.0
20,1981,2.4,2.0,2.4,2.3,2.2,1.5,1.5,1.6,1.4,1.8,2.0,2.1,1.9
21,1982,2.1,1.9,2.1,2.2,1.9,1.6,1.5,1.5,1.3,1.3,1.4,1.5,1.7
22,1983,2.1,2.3,2.1,2.2,1.8,1.6,1.3,1.6,1.3,1.4,2.0,2.4,1.8
23,1984,2.2,2.5,2.4,2.2,2.0,1.6,1.6,1.5,1.6,1.7,2.0,2.3,2.0
24,1985,2.4,2.6,2.0,2.1,1.9,1.6,1.6,1.6,1.5,1.7,2.1,2.3,2.0
25,1986,2.5,2.2,2.3 ),2.3,2.1,1.6,1.5,1.5,1.3,1.5,2.0,2.2,1.9
26,1987,2.5,2.4,2.4,2.1,1.8,1.6,1.6,1.5,1.4,1.6,2.0,2.1,1.9
27,1988,2.4,2.5,2.2,2.0,2.0,1.7,1.7,1.5,1.4,1.7,2.2,2.3,2.0
28,1989,2.3,2.2,2.2,2.5,1.9,1.9,1.7,1.7,1.6,1.7,2.0,2.3,2.0
29,1990,2.4,1.9,2.5,2.2,2.0,1.9,1.8,1.9,1.8,1.7,2.1,2.5,2.1
30,1991,2.3,2.7,2.4,2.1,2.1,1.8,1.9,1.7,1.7,1.6,2.0,1.9,2.0
31,1992,2.2,2.4,2.2,2.4,2.1,1.7,1.6,1.8,1.7,1.6,2.0,2.2,2.0
32,1993,2.0,2.7,2.0,2.5,2.1,1.6,1.7,1.7,1.6,1.7,2.0,2.3,2.0
33,1994,2.1,2.6,2.2,2.2,2.1,1.6,1.6,1.4,1.5,1.6,1.7,2.2,1.9
34,1995,2.3,2.1,2.0,2.2,1.9,1.6,1.5,1.5,1.5,1.6,2.1,2.3,1.9
35,1996,2.4,2.2,2.2,2.2,2.0,1.7,1.5,1.6,1.4,1.5,1.8,1.9 ),1.9
36,1997,2.3,2.2,2.1,2.0,1.9,1.5,1.6,1.5,1.4,1.7,1.8,1.8,1.8
37,1998,2.1,1.8,1.9,1.6,1.6,1.7,1.4,1.3,1.4,1.5,2.0,1.9,1.7
38,1999,2.1,2.1,2.0,2.0,1.9,1.5,1.4,1.3,1.4,1.5,1.7,2.1,1.8
39,2000,2.1,2.1,2.3,2.1,1.7,1.3,1.4,1.2,1.3,1.3,1.6,1.9,1.7
40,2001,2.0,1.9,1.9,1.9,1.6,1.4,1.4,1.2,1.3 ),1.4,1.6,1.9,1.6
41,2002,2.4,1.9,2.3,2.0,1.8,1.5,1.4 ),1.4,1.2,1.6,2.0,1.8,1.8
42,2003,2.1,1.7,2.0,1.9,1.6,1.4,1.3,1.3,1.4,1.4,1.6,2.0,1.6
43,2004,2.1,2.2,2.1,2.1,1.6,1.3,1.4,1.4,1.4,1.3,1.6,1.9,1.7
44,2005,2.1,2.1,2.1,2.1,1.7,1.3,1.4,1.2,1.2,1.3,1.6,2.1,1.7
45,2006,2.0,2.0,2.2,2.0,1.6,1.2,1.2,1.2,1.2,1.3,1.6,1.8,1.6
46,2007,1.7,2.0,2.2,1.9,2.0,1.4,1.3,1.4,1.6,1.4,1.8,1.9,1.7
47,2008,1.8,2.1,1.9,1.9,1.7,1.3,1.3,1.3,1.3,1.5,1.8,2.0,1.7
48,2009,2.0,2.1,2.1,2.0,1.6,1.3,1.5,1.3,1.3 ),1.4,1.6,1.9,1.7
49,2010,2.0,1.8,2.0,2.0,1.8,1.4,1.2,1.2,1.3,1.3,1.7,2.0,1.6
50,2011,2.0,1.7,2.0,2.1,1.7,1.5,1.4,1.3,1.5,1.4,1.6,1.9,1.7
51,2012,1.8,1.9,2.0,2.0,1.8,1.5,1.3,1.3,1.3,1.4,1.8,2.0,1.7
52,2013,1.9,2.0,2.2,2.2,1.8,1.3,1.3,1.2,1.3,1.4,1.8,1.9,1.7
53,2014,1.8,1.8 ),2.0,1.7,1.7,1.4,1.3,1.3,1.2,1.4,1.6 ),2.7,1.7
54,2015,2.6,2.7,2.8,2.6,2.4,2.2,2.0,2.0,2.0,2.0,2.2,2.4,2.3
55,2016,2.5,2.5,2.3,2.7,2.5,2.2,2.1,2.1,1.9,1.9,2.1 ),2.3,2.3
56,2017,2.5,2.9,2.5 ),2.7,2.3,2.2,1.9,2.1,1.9,2.1,2.4,2.5,2.3
57,2018,2.7,2.6,2.7,2.7,2.3,2.1,2.0 ),2.0 ),2.0,2.1,1.9,2.4,2.3
58,2019,2.5,2.5,2.5 ],　,　,　,　,　,　,　,　,　,2.5 ]
