,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1912,×,×,×,×,×,×,×,×,×,37,31,35,35 ]
1,1913,59,45,55,38,43,36,42,55,32,32,40,56,44
2,1914,56,40,32,48,39,35,42,57,51,49,37,33,43
3,1915,35,34,51,29,44,29,52,39,44,38,46,63,42
4,1916,58,45,46,41,39,41,41,46,61,26,40,50,44
5,1917,67,67,47,50,52,38,57,53,31,40,57,69,51
6,1918,58,45,43,39,47,24,57,66,50,32,42,41,45
7,1919,38,45,47,51,50,37,44,53,52,40,30,57,46
8,1920,64,43,35,49,42,30,54,58,44,48,45,54,47
9,1921,61,65,51,38,45,27,43,50,33,41,67,57,47
10,1922,50,49,59,48,47,59,41,70,64,53,52,76,55
11,1923,52,40,49,36,35,30,39,68,54,50,57,45,46
12,1924,64,52,54,44,47,29,61,59,46,40,61,55,51
13,1925,49,44,57,44,43,44,48,53,53,44,52,65,49
14,1926,52,45,52,56,45,50,40,55,48,56,64,59,51
15,1927,60,47,43,53,58,44,49,69,44,46,58,54,52
16,1928,49,61,50,51,44,30,33,40,61,36,40,53,45
17,1929,62,64,46,53,35,48,59,70,41,39,38,42,50
18,1930,44,39,41,46,47,36,47,67,55,44,56,49,48
19,1931,44,33,53,45,55,51,27,72,47,45,44,49,47
20,1932,61,57,54,53,50,41,41,60,36,36,48,50,48
21,1933,47,55,33,31,42,43,57,67,57,46,49,67,49
22,1934,67,64,56,40,58,47,32,59,34,34,48,42,48
23,1935,57,51,54,47,52,45,48,53,37,56,51,50,50
24,1936,62,52,54,41,41,39,54,68,58,37,46,46,50
25,1937,41,46,42,50,49,43,48,80,52,41,44,69,51
26,1938,61,62,33,57,40,30,43,43,50,43,57,56,47
27,1939,65,53,53,47,50,42,58,61,46,50,42,60,52
28,1940,72,55,61,55,62,48,49,48,42,40,38,62,52
29,1941,60,54,49,50,44,30,31,49,33,62,40,43,45
30,1942,68,42,49,54,51,39,54,65,56,61,59,62,55
31,1943,71,61,48,57,46,35,53,76,54,44,47,64,54
32,1944,57,62,49,48,41,41,53,69,55,37,41,50,50
33,1945,59,52,44,58,45,32,34,65,44,51,62,58,49
34,1946,47,32,34,50,25,38,46,54,43,37,35,58,41
35,1947,39,60,44,55,35,14,37,66,43,38,44,43,43
36,1948,55,46,36,47,26,30,43,45,54,41,40,45,42
37,1949,58,42,40,51,40,29,53,56,44,26,32,46,43
38,1950,53,44,42,29,28,20,51,50,44,36,37,49,40
39,1951,47,44,38,30,40,29,25,46,25,31,48,47,37
40,1952,45,29,40,39,44,28,30,48,42,36,32,50,38
41,1953,54,47,39,48,46,16,32,23,33,36,45,41,38
42,1954,33,54,43,41,35,28,25,56,51,33,50,39,40
43,1955,61,53,31,39,37,27,57,50,40,40,53,66,45
44,1956,58,52,35,44,31,35,42,49,42,27,43,53,42
45,1957,51,45,59,45,50,34,35,53,29,38,55,52,45
46,1958,49,52,44,45,46,47,34,59,45,41,40,60,47
47,1959,51,31,47,54,48,39,36,55,49,43,43,58,46
48,1960,64,63,51,45,42,44,52,62,56,43,48,62,52
49,1961,63,62,50,57,44,48,67,60,67,29,58,68,56
50,1962,70,60,53,56,46,32,36,66,64,46,41,53,51
51,1963,77,65,53,49,21,26,42,55,40,41,57,59,47
52,1964,32,40,48,30,40,24,30,53,36,42,52,44,39
53,1965,50,57,58,39,32,29,23,63,34,56,42,48,43
54,1966,53,38,36,27,45,25,22,48,34,52,40,52,39
55,1967,59,47,49,36,58,47,36,53,41,39,32,62,46
56,1968,61,56,38,54,51,45,40,51,49,35,72,51,50
57,1969,50,36,46,48,48,41,39,55,44,41,41,67,46
58,1970,64,60,50,37,48,22,33,51,41,43,50,54,45
59,1971,61,51,62,47,51,29,40,59,38,35,55,60,48
60,1972,49,37,51,50,44,39,41,62,59,51,54,57,49
61,1973,58,59,51,38,50,33,55,58,45,49,65,79,52
62,1974,65,46,51,49,55,37,29,48,47,36,53,46,46
63,1975,59,53,54,45,43,25,50,74,68,35,42,61,50
64,1976,75,44,38,35,43,29,47,49,52,42,44,59,46
65,1977,56,62,41,51,58,29,60,40,52,49,45,61,50
66,1978,52,54,55,43,49,41,67,73,33,42,54,52,51
67,1979,60,51,51,41,55,46,40,54,47,50,35,63,49
68,1980,55,65,38,44,45,39,31,37,52,55,49,73,47
69,1981,72,49,49,57,48,30,54,55,46,57,41,64,51
70,1982,64,54,51,53,57,43,37,56,37,55,46,51,50
71,1983,63,66,44,42,53,40,27,52,39,43,59,63,48
72,1984,64,53,53,49,44,25,56,75,57,41,41,52,51
73,1985,58,48,26,53,49,31,52,72,43,50,63,62,50
74,1986,59,59,40,40,39,37,33,63,37,45,38,54,45
75,1987,52,49,38,50,42,43,38,50,37,38,39,53,44
76,1988,60,48,39,55,44,34,21,42,19,37,60,62,42
77,1989,43,42,50 ),56,30,32,33,55,49,38,49,53,44
78,1990,47,25,50,40,37,32,36,57,43,45,55,70,44
79,1991,62,61,28,43,44,27,38,43,30,22,48,48,40
80,1992,49,51,22,47,41,30,26,54,46,39,45,53,41
81,1993,41,58,46,51,45,31,18,30,35,40,49,46,40
82,1994,51,62,40,53,42,33,51,75,39,29,58,44,48
83,1995,67,52,38,39,37,23,29,66,38,44,64,74,46
84,1996,57,56,42,53,40,27,46,50,41,41,36,64,45
85,1997,70,57,38,52,36,36,41,53,40,63,47,42,47
86,1998,51,44,49,26,32,20,29,35,36,36,46,47,37
87,1999,64,58,28,42,42,33,49,63,45,45,51,59,48
88,2000,45,62,56,48,45,27,41,57,47,27,31,49,44
89,2001,55,40,45,56,41,26,55,36,39,50,55,60,46
90,2002,60,52,53,40 ),38,29,40,59,36,49,42,42,45
91,2003,62,42,47,35,32,27,20,39,55,41,28,56,39
92,2004,59,56,42,56,29,37,53,51,48,34,52,50,47
93,2005,57,41,45,50,42,26,19,44,51,34,52,66,43
94,2006,43,34,41,38,29,25,16,51,40,45,46,43,37
95,2007,47,55,51,39,50,48 ),24,62 ),31,39,45,59,45
96,2008,48,64,51,40,34,26,44,48,36,42,37,58,43
97,2009,48,41,45,57 ),37,24,16,43,43,41,37 ),57,40
98,2010,65 ),32,33 ),31,46,37,44,62,53,25,44,57,44
99,2011,69,43,54,55 ),35,24,39,58,54,36 ),41,54,46
100,2012,43,39,35,46,45 ),29,40,67 ),51,46,48 ),53,45
101,2013,64,45,46,48,51,26,31,57,47,32,49,58 ),46
102,2014,63 ),34 ],50,51,59,36,43,48,46,39,44,61,48 ]
103,2015,53,51,52,35,51,37,42,42,38,56,42,48,45
104,2016,58,46,41,30,48,33,42,49,31,34,37,61,42
105,2017,68,59,48,46,51,36,54,38,36,31,46,61,47
106,2018,61,52,55,51,44,36,55,57,32,41,45,39,47
107,2019,64,35,48 ],　,　,　,　,　,　,　,　,　,49 ]
