,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1942,2.7,2.1,2.8,3.3,2.3,1.9,1.6,1.7,2.0,1.5,1.6,1.6,2.1
1,1943,2.6,2.7,2.6,2.9,2.6,2.0,2.0,1.5,1.7,1.8,2.2,2.6,2.3
2,1944,2.6,2.9,2.5,2.8,2.6,2.1,2.1,1.8,1.7,1.8,1.7,2.0,2.2
3,1945,2.3,2.4,3.2,3.1,2.9,2.2,1.9,1.9,2.1,2.3,2.0,2.9,2.4
4,1946,2.7,2.3,3.0,3.0,2.4,2.7,2.1,1.7,1.9,2.2,2.3,2.8,2.4
5,1947,2.0,2.2,2.9,3.2,2.1,1.9,2.5,1.8,1.7,2.1,2.3,2.6,2.3
6,1948,2.4,2.2,2.7,2.8,2.4,2.0,1.8,1.7,2.0,2.1,1.9,2.2,2.2
7,1949,3.0,3.8,3.7,4.5,3.9,2.9,3.2,2.6,2.5,2.3,3.0,2.7,3.2
8,1950,3.7,3.8,3.9,3.3,3.1,2.8,2.9,2.3,2.5,2.7,2.6,3.3,3.1
9,1951,3.0,4.0,3.7,4.3,3.0,2.5,2.6,2.1,2.2,2.7,3.2,3.1,3.0
10,1952,3.1,2.4,3.1,4.0,3.2,2.6,2.5,2.2,2.4,2.5,2.6,2.6,2.8
11,1953,3.7,3.4,3.8,3.4,3.4,2.8,2.9,2.6,2.6,2.1,2.9,2.5,3.0
12,1954,2.7,2.9,3.4,3.1,3.5,2.9,3.1,2.4,2.9,2.5,2.3,3.3,2.9
13,1955,3.5,3.3,2.8,3.4,2.9,2.6,3.2,2.5,2.3,2.7,2.4,3.3,2.9
14,1956,3.0 ),3.4,3.5,3.4,2.8,2.6,2.1,2.1,2.4,2.3,2.2,3.0,2.7
15,1957,3.2,2.8,3.9,3.3,3.2,2.5,2.8,2.5,2.3,2.4,2.2,2.7,2.8
16,1958,3.3,3.1,3.3,4.0,3.0,2.7,3.0,2.5,2.7,2.5,2.1,2.7,2.9
17,1959,3.1 ),2.8,3.2,3.7 ),3.2,2.3,2.5,2.5,2.6,2.4,2.4,2.4,2.8
18,1960,3.3,3.2,3.6,3.3,2.8,2.6,2.2,2.8,2.2 ),2.2,2.0,2.5 ),2.7
19,1961,2.5,2.8,2.5,3.3,3.0,2.3,2.1,2.0,2.4,2.5,2.4,2.5,2.5
20,1962,2.4,2.5,2.7,2.7,2.2,2.1,1.8,2.4,1.8,1.8,1.8,2.0,2.2
21,1963,3.7,2.6,3.7,3.9,3.6,2.9,2.7,2.6,2.2,2.3,2.4,3.0,3.0
22,1964,2.6,2.8,3.0,3.5,2.9,2.6,2.7,2.3,2.5,2.4,2.7,2.4,2.7
23,1965,2.8,2.8,3.5,3.3,3.0,2.5,2.5,2.5,2.5,2.1,3.1,2.7,2.8
24,1966,3.1,2.7,3.4,2.9,3.1,2.4,2.5,2.2,2.4,1.8,2.3,2.2,2.6
25,1967,2.9,2.2,2.8,2.8,2.3,2.2,2.1,2.0,1.9,2.3,2.5,2.2,2.4
26,1968,3.2,2.4,2.8,2.6,2.5,2.1,2.3,2.4,1.9,2.0,2.0,2.4,2.4
27,1969,2.4,2.3,2.4,3.5,2.8,2.6,2.1,2.1,1.9,2.1,2.1,2.6,2.4
28,1970,2.3,3.3,2.9,2.6,2.5,1.8,2.3,2.2,2.0,1.9,2.3,2.2,2.4
29,1971,2.5,2.0,3.1,2.6,2.5,2.0,2.4,2.2,2.1,1.9,1.8,2.4,2.3
30,1972,2.7,2.1,2.7,2.9,2.8,2.4,2.7,2.6,1.9,2.0,2.3,2.2,2.4
31,1973,1.9,2.6,3.0,2.5,2.4,2.1,1.9,2.3,1.8,1.6,2.4,2.3,2.2
32,1974,2.5,2.4,2.4,2.9,2.5,2.0,2.0,2.0,2.1,1.7,2.0,1.8,2.2
33,1975,1.9,2.3,2.2,1.9,2.0,1.5,1.9,2.0,1.6,1.6,1.6,1.6,1.8
34,1976,2.3,2.1,2.0,2.1,2.0,1.9,1.8,1.8,1.6,1.8,2.0,1.7,1.9
35,1977,1.8,1.9,1.9,2.5,2.4,1.8,1.6,1.7,1.6,1.4,1.7,2.0,1.9
36,1978,2.3,2.0,2.2,2.3,2.0,2.4,1.5,2.0,1.7,1.5,1.5,1.8,1.9
37,1979,1.7,1.7,2.4,2.4,1.8,2.1,1.7,1.8,1.5,1.6,1.6,1.6,1.8
38,1980,2.0,1.9,2.2,2.5,2.2,1.7,1.7,1.6,1.8,1.7,1.6,2.0,1.9
39,1981,1.8,1.6,1.9,2.2,1.9,1.5,1.7,1.9,1.5,1.7,1.6,1.8,1.8
40,1982,2.0,1.7,2.1,2.0,2.1,1.7,1.5,1.8,1.8,1.3,1.7,1.6,1.8
41,1983,1.8,2.0,1.9,2.1,2.1,1.8,1.8,1.7,1.4,1.4,1.9,1.9,1.8
42,1984,1.8,1.9,1.8,1.8,2.0,1.7,1.5,1.3,1.4,1.7,1.5,1.7,1.7
43,1985,1.7,2.2,1.8,2.1,2.1,1.5,1.7,1.6,1.6,1.5,1.7,1.8,1.8
44,1986,1.8,1.8,2.2,2.3,2.1,1.7,1.7,1.7,1.5,1.4,1.4,1.8,1.8
45,1987,2.2,2.1,2.0,1.9,2.0,1.8,1.9,1.6,1.5,1.4,1.5,1.3,1.8
46,1988,1.8,2.2,2.2,2.2,2.5,1.9,2.0,1.7,1.9,1.8,2.1,2.1,2.0
47,1989,2.3,2.3,2.2,2.4,2.0,1.8,1.9,1.8,1.8,1.8,1.8,1.9,2.0
48,1990,2.2,1.5,2.4,2.5,2.0,2.0,1.8,2.0,1.8,1.6,1.9,2.1,2.0
49,1991,2.1,2.6,1.8,2.0,2.1,1.8,1.9,1.8,1.7,1.8,1.7,1.7,1.9
