,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1942,　,　,　,　,　,　,　,　,10.8 ],5.7,-1.4,-6.7,-0.8 ]
1,1943,-8.3,-12.1,-5.5,-0.3,3.2,10.3,16.5,18.3,13.5,6.4,-3.4,-7.9,2.6
2,1944,-12.7,-15.1,-7.0,-2.5,5.5,10.4,16.2,17.6,13.2,5.2,-2.3,-10.8,1.5
3,1945,-12.5,-12.1,-6.7,0.9,2.7,7.6,9.4,15.8,11.4,5.9,0.4,-8.3,1.2
4,1946,-11.2,-11.5,-8.4,1.2,3.1,10.8,15.2,18.2,11.6,6.2,-0.6,-6.2,2.4
5,1947,-9.3,-12.0,-8.2,0.0,4.2,7.4,13.5,15.8,10.9,5.2,-1.9,-8.9,1.4
6,1948,-6.5,-10.2,-5.3,2.3,7.8,8.9,13.0,17.9,12.0,5.6,-0.9,-5.1,3.3
7,1949,-6.7,-7.4,-8.9,-2.4,5.3,7.6,13.5,17.4,12.6,5.7,-1.4,-7.3,2.3
8,1950,-10.1,-9.1,-6.2,-0.4,5.3,9.9,16.1,18.5,12.3,3.0,-1.0,-7.0,2.6
9,1951,-11.7,-13.7,-6.9,0.3,5.6,8.9,13.3,19.6,11.3,5.4,-0.8,-4.2,2.3
10,1952,-10.0,-11.4,-7.9,0.7,4.9,9.6,14.0,16.1,12.2,6.2,-3.9,-11.3,1.6
11,1953,-12.6,-13.9,-4.2,-0.7,3.7,7.9,13.7,14.9,12.6,6.7,-4.5,-6.3,1.4
12,1954,-10.9,-8.2,-6.9,1.1,4.2,6.4,10.4,14.0,13.3,5.2,-1.0,-4.7,1.9
13,1955,-11.5,-9.0,-5.2,1.5,4.2,9.4,17.3,16.2,11.4,6.8,-0.5,-3.8,3.1
14,1956,-9.1,-9.3,-7.1,0.9,7.8,8.3,11.4,14.0,12.7,6.3,-0.3,-6.8,2.4
15,1957,-8.7,-9.6,-7.8,1.3,5.6,7.8,13.7,15.7,11.2,6.5,1.1,-4.8,2.7
16,1958,-9.1,-10.4,-8.3,0.2,5.2,9.7,14.0,15.6,12.9,5.5,-0.2,-4.1,2.6
17,1959,-11.1,-9.0,-3.7,2.6,5.8,8.8,14.5,15.8,12.8,6.7,-1.0,-7.6,2.9
18,1960,-11.2,-9.6,-6.2,-0.3,4.1,7.5,13.1,17.5,13.9,4.8,-0.8,-7.3,2.1
19,1961,-13.0,-10.8,-5.4,2.1,6.0,11.1,16.5,17.0,15.0,6.0,-0.1,-5.3,3.3
20,1962,-8.5,-11.7,-7.5,2.5,6.0,10.0,14.0,14.8,12.9,5.0,-1.8,-6.2,2.5
21,1963,-8.7,-9.6,-5.7,1.5,7.2,9.3,14.0,14.9,10.9,5.8,0.4,-5.4,2.9
22,1964,-9.5,-14.7,-6.7,-0.7,5.4,8.2,11.9,14.7,9.8,4.4,-0.2,-6.5,1.3
23,1965,-7.9,-10.9,-8.0,-1.2,5.1,9.6,11.5,15.2,11.6,5.4,-2.3,-7.1,1.8
24,1966,-9.7,-11.4,-4.7,-1.5,4.1,8.5,12.2,14.7,10.5,7.4,-0.1,-8.1,1.8
25,1967,-12.0,-12.1,-5.6,1.0,6.3,8.1,13.1,15.3,11.7,5.6,-2.9,-6.1,1.9
26,1968,-8.9,-11.9,-2.9,0.7,4.9,10.2,13.7,15.1,11.6,4.3,1.7,-4.4,2.8
27,1969,-11.4,-12.0,-8.1,-0.6,4.7,7.4,13.5,13.0,10.6,4.1,-1.5,-9.0,0.9
28,1970,-11.0,-11.1,-10.2,0.2,5.6,9.1,14.1,15.0,11.8,4.9,-0.3,-7.5,1.7
29,1971,-11.5,-11.6,-5.3,0.5,4.5,7.5,12.8,13.9,11.2,6.0,-1.0,-5.8,1.8
30,1972,-10.1,-9.8,-4.5,1.2 ),6.1,10.1,14.2,16.7,11.7,6.9,-1.2,-5.3,3.0
31,1973,-7.7,-10.5,-8.6,0.9,5.4,8.5,13.9,17.8,12.2,5.3,-0.8,-5.9,2.5
32,1974,-6.5,-9.0,-7.2,0.8,4.8,8.1,13.2,16.3,12.5,5.1,-2.6,-9.9,2.1
