,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1897,×,×,40,43,37,50,40,49,27,51,50,51,44 ]
1,1898,38,47,36,46,48,37,44,54,48,47,47,42,45
2,1899,56,33,52,47,34,40,36,37,30,54,50,42,42
3,1900,35,40,39,39,53,48,38,50,48,48,46,47,45
4,1901,36,41,53,42,52,35,31,60,58,38,50,53,46
5,1902,48,57,49,45,33,46,37,49,45,55,49,47,46
6,1903,45,45,40,41,51,49,28,71,53,47,61,58,49
7,1904,58,60,48,46,43,43,53,69,53,43,58,58,52
8,1905,45,59,44,48,48,32,50,44,49,55,64,49,48
9,1906,54,43,55,58,50,42,52,63,42,52,54,63,52
10,1907,56,55,52,66,60,47,48,53,50,54,49,63,54
11,1908,41,51,47,45,56,49,48,55,48,56,61,61,51
12,1909,47,52,50,59,65,34,58,70,39,50,61,61,54
13,1910,43,56,51,52,51,36,57,60,32,50,68,64,51
14,1911,51,54,52,58,59,36,51,61,49,57,58,54,53
15,1912,60,50,46,53,58,56,39,68,34,50,53,47,51
16,1913,50,57,55,44,59,43,70,61,51,55,50,48,54
17,1914,59,43,48,51,44,39,60,69,62,57,59,53,53
18,1915,55,44,52,39,55,36,63,54,44,51,58,59,51
19,1916,62,48,54,46,51,44,43,68,52,39,41,53,50
20,1917,61,61,52,55,63,44,65,55,40,38,56,62,54
21,1918,57,49,55,46,50,31,52,50,50,46,51,41,48
22,1919,36,40,49,56,64,34,47,60,44,55,47,52,49
23,1920,46,31,38,56,50,38,55,52,53,56,50,46,48
24,1921,49,55,50,41,46,19,51,59,32,51,51,53,46
25,1922,46,36,47,49,51,58,45,67,57,60,53,61,53
26,1923,44,42,53,36,44,38,40,76,46,52,51,45,47
27,1924,52,47,53,52,51,45,67,65,48,49,55,56,54
28,1925,49,52,59,45,49,44,51,65,47,59,54,56,52
29,1926,56,46,55,61,36,52,41,66,49,52,58,49,51
30,1927,54,45,46,53,56,48,50,40,40,53,57,49,49
31,1928,44,54,53,59,58,35,49,53,54,48,43,39,49
32,1929,48,47,44,56,41,50,52,66,39,37,45,40,48
33,1930,44,42,42,42,49,39,51,65,54,61,52,49,49
34,1931,32,37,59,49,61,50,24,59,45,46,45,50,47
35,1932,51,42,54,49,51,40,54,51,32,53,47,39,47
36,1933,52,53,42,41,45,51,53,48,64,44,51,48,49
37,1934,58,54,52,43,62,44,47,61,37,46,54,45,50
38,1935,58,48,54,46,56,47,49,47,31,58,46,57,50
39,1936,57,41,53,40,48,49,44,44,59,48,49,47,48
40,1937,37,34,47,48,46,43,47,68,41,49,39,58,47
41,1938,52,49,45,58,39,36,40,47,54,37,54,53,46
42,1939,46,48,43,40,58,42,59,65,61,43,56,64,52
43,1940,57,44,53,60,64,53,48,52,60,50,55,50,54
44,1941,56,52,53,58,50,34,38,47,35,65,49,43,48
45,1942,60,43,53,62,54,37,71,60,52,57,61,50,55
46,1943,61,51,51,58,53,40,45,64,53,48,57,53,52
47,1944,45,50,45,51,46,54,51,59,53,36,38,44,48
48,1945,53,49,×,×,43,36,50,60,40,42,60,51,48 ]
49,1946,49,47,42,55,42,32,65,60,49,53,44,49,49
50,1947,40,66,43,66,55,41,52,70,45,49,62,49,53
51,1948,56,48,46,55,47,49,42,63,49,47,51,48,50
52,1949,61,51,50,57,53,37,48,58,48,48,43,48,50
53,1950,42,45,51,53,46,37,55,63,54,47,49,45,49
54,1951,51,48,47,40,53,51,40,62,43,56,58,57,50
55,1952,51,44,47,45,50,37,47,70,44,59,56,56,50
56,1953,53,48,46,55,50,26,37,49,43,60,50,52,47
57,1954,41,57,56,49,45,33,36,69,48,41,64,46,48
