,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1886,-0.2,-0.3,5.8,11.2,15.1,18.6,21.6,22.7,20.4 ),15.9,8.9,1.0,11.7
1,1887,3.2,1.9,3.3,9.7,13.1,17.2,21.7,22.8,19.9,15.6,8.2,1.6,11.5
2,1888,0.4,0.6,5.7,12.0,14.1,16.4,22.1,22.2,18.6,11.9,9.0,3.4,11.4
3,1889,0.1,0.7,4.4,10.2,12.7,18.8,22.5,23.0,18.4,12.7,6.9,2.6,11.1
4,1890,1.3,4.4,6.4,11.9,14.8,18.2,21.1,22.1,20.4,13.8,7.7,6.4,12.4
5,1891,-1.2,2.4,4.9,9.9,13.0,16.7,21.9,21.9,21.4,13.4,7.3,2.1,11.1
6,1892,0.5,1.0,3.4,10.2,13.6,18.7,22.8,22.2,20.5,13.2,7.0,-0.2,11.1
7,1893,0.3,-0.8,3.6,8.8,13.3,17.2,22.0,22.6,21.0,13.7,5.0,0.3,10.6
8,1894,0.1,0.6,6.2,12.0,12.8,20.0,22.8,23.0,19.9,13.7,8.7,2.7,11.9
9,1895,-0.8,0.6,5.1,9.3,13.5,18.1,20.7,22.7,19.7,14.0,7.2,1.9,11.0
10,1896,-0.9,0.5,2.9,11.6,13.3,19.1,21.7,21.5,18.6,13.8,6.8,1.7,10.9
11,1897,2.8,0.5,6.0,8.6,13.3,16.1,21.0,22.4,19.3,11.8,9.1,-0.1,10.9
12,1898,2.9,2.4,5.5,8.2,13.7,17.8,22.0,22.1,19.6,13.9,9.4,3.3,11.7
13,1899,-0.2,2.2,5.1,9.7,14.7,18.8,21.8,22.1,18.3,10.1,5.6,4.2,11.0
14,1900,0.3,1.5,3.7,10.7,13.7,16.8,21.0,23.2,20.7,13.5,8.9,2.7,11.4
15,1901,3.1,-1.0,3.2,11.1,12.9,18.2,20.8,21.9,18.3,15.3,6.7,0.8,10.9
16,1902,-0.3,0.1,6.7,8.5,14.3,17.6,20.7,22.1,19.3,13.3,9.9,5.1,11.4
17,1903,2.3,2.0,7.8,11.3,12.8,17.0,21.0,22.6,20.3,14.0,6.6,1.1,11.6
18,1904,-0.6,2.3,5.2,11.5,13.7,18.4,22.3,21.7,18.3,13.2,5.1,2.9,11.2
19,1905,3.0,0.5,6.0,9.5,13.8,19.6,22.6,21.5,19.4,13.8,8.2,6.0,12.0
20,1906,0.0,2.4,4.4,8.8,14.4,18.1,21.8,22.6,19.4,13.2,7.4,2.1,11.2
21,1907,2.4,-0.7,4.2,9.6,12.6,16.9,21.4,22.3,19.4,13.9,9.3,1.4,11.1
22,1908,1.9,0.7,4.7,11.2,12.9,18.2,20.7,22.1,18.1,13.5,5.6,3.4,11.1
23,1909,2.0,0.2,4.5,9.7,12.7,19.0,21.4,22.5,20.8,12.5,7.1,1.8,11.2
24,1910,3.0,-0.3,3.3,9.3,14.2,19.0,21.7,21.5,20.2,14.2,6.8,1.3,11.2
25,1911,1.4,2.3,6.3,9.2,13.0,18.4,21.8,22.0,21.1,12.4,8.4,2.4,11.6
26,1912,0.3,3.9,6.3,9.7,13.2,17.5,21.7,21.8,18.5,12.6,6.6,3.3,11.3
27,1913,-0.2,0.9,2.8,12.3,12.9,17.9,19.9,21.4,17.6,13.2,7.8,2.2,10.7
28,1914,-0.3,2.4,7.1,8.5,14.8,18.4,23.7,22.6,19.8,12.7,8.9,3.0,11.8
29,1915,1.0,2.2,2.5,10.3,12.9,19.7,21.7,23.1,20.5,16.1,9.7,3.6,11.9
30,1916,2.4,3.0,2.3,10.9,15.1,20.6,21.9,22.2,20.8,15.3,10.7,3.8,12.4
31,1917,-1.8,-0.4,3.4,9.0,11.3,18.3,22.4,21.4,21.3,15.2,4.6,-0.9,10.3
32,1918,-2.7,0.6,4.2,10.1,12.5,18.5,22.9,22.2,18.2,13.8,7.3,3.6,10.9
33,1919,1.4,2.3,5.6,9.0,13.4,18.7,21.4,22.4,18.4,13.0,8.7,2.1,11.4
34,1920,0.1,2.1,6.0,10.1,13.3,18.8,22.7,22.3,19.9,13.2,10.4,3.8,11.9
35,1921,1.6,1.2,3.2,11.3,14.3,17.6,21.6,22.8,19.1,12.8,4.9,2.4,11.1
36,1922,-0.8,5.0,3.5,9.8,14.7,17.2,22.0,23.4,20.6,12.9,7.1,0.7,11.3
37,1923,-0.2,1.5,6.0,10.1,15.2,17.9,21.7,23.3,19.7,13.4,7.7,3.4,11.6
38,1924,0.7,1.5,1.3,10.9,13.4,17.3,22.6,22.4,18.6,13.3,5.4,2.2,10.8
39,1925,0.8,-0.2,2.5,7.9,13.3,17.9,21.3,22.0,20.0,13.0,8.7,1.7,10.7
40,1926,-0.5,1.2,3.0,7.3,13.9,16.1,21.2,23.3,20.9,12.0,5.9,1.8,10.5
41,1927,0.2,0.2,4.3,9.3,12.5,17.2,22.9,22.7,18.6,13.2,8.2,3.6,11.1
42,1928,1.4,0.7,4.5,9.9,15.0,18.1,21.9,22.0,20.6,13.7,8.5,2.7,11.6
43,1929,0.0,-0.6,4.1,8.3,13.9,18.2,22.3,22.5,18.6,13.4,7.7,6.6,11.3
44,1930,1.1,3.4,6.6,11.8,14.3,18.4,23.4,23.3,18.2,12.8,5.7,3.0,11.8
45,1931,1.7,2.6,4.4,9.6,12.6,17.6,21.6,23.1,20.0,13.0,9.5,4.0,11.6
46,1932,2.3,0.8,2.5,7.5,13.7,18.1,22.3,23.2,19.2,11.4,7.8,3.6,11.0
47,1933,0.3,0.4,4.0,10.2,14.9,19.1,22.9,22.8,18.7,13.0,8.2,3.4,11.5
48,1934,-1.6,-0.1,2.5,8.9,13.1,17.8,23.2,22.6,18.9,12.6,6.2,4.9,10.8
49,1935,1.1,2.0,4.6,9.9,13.1,17.1,22.0,22.6,19.5,12.7,8.3,2.5,11.3
50,1936,-2.0,-0.7,1.5,8.7,13.0,17.5,21.6,22.7,19.8,12.8,7.1,4.8,10.6
51,1937,2.9,4.2,5.7,10.5,13.4,16.7,22.6,23.0,19.6,14.0,9.8,0.8,11.9
52,1938,0.1,-0.2,6.4,8.8,15.3,18.9,22.1,22.1,17.7,15.2,5.9,2.5,11.2
53,1939,-0.5,1.1,4.7,9.6,13.3,17.4,22.0,21.8,18.9,13.8,9.1,1.3,11.0
54,1940,-2.0,0.3,3.8,7.8,12.5,16.9,23.6,22.0,20.4,14.1,8.6,2.5,10.9
55,1941,0.6,1.2,4.4,8.6,14.2,19.6,22.3,22.2,18.8,12.0,9.5,4.7,11.5
56,1942,-1.2,1.3,7.3,8.6,13.1,18.3,23.2,23.4,20.4,11.5,5.0,1.0,11.0
57,1943,-2.5,-0.6,3.8,7.3,13.8,18.7,21.8,22.2,20.1,13.6,6.7,2.4,10.6
58,1944,0.3,-0.4,1.8,8.1,14.9,18.3,22.6,22.6,18.8,13.8,8.6,0.6,10.8
59,1945,-2.5,-1.2,4.6,8.8,11.7,18.6,21.2,22.8,20.3,14.7,7.2,0.7,10.6
60,1946,-0.4,0.7,4.4,10.3,14.0,19.5,22.5,22.0,18.7,13.3,9.8,0.9,11.3
61,1947,1.8,-2.0,2.3,7.7,13.0,17.5,23.2,22.8,20.8,11.8,6.1,0.8,10.5
62,1948,0.4,1.4,4.8,11.1,14.6,18.0,22.7,22.3,19.9,15.5,8.3,6.0,12.1
63,1949,0.1,3.4,3.6,7.8,13.8,17.7,22.1,22.7,20.1,12.3,8.0,3.6,11.3
64,1950,2.6,2.3,3.8,11.1,15.1,18.4,22.3,22.5,20.0,13.3,8.5,1.6,11.8
65,1951,-0.1,3.1,3.9,10.2,14.4,17.1,21.8,23.4,17.1,14.3,6.7,3.0,11.2
66,1952,0.9,1.8,4.9,10.1,14.6,18.5,22.3,23.1,20.4,12.3,10.3,2.5,11.8
67,1953,-0.3,1.2,5.8,8.2,14.0,19.3,22.9,23.7,20.0,13.3,8.4,4.8,11.8
68,1954,3.1,1.9,4.7,10.8,15.1,17.4,21.8,23.5,20.4,13.2,8.6,3.7,12.0
69,1955,-0.9,2.0,7.8,11.2,14.6,20.0,23.2,22.4,19.7,14.5,5.1,2.5,11.8
70,1956,0.2,-0.3,6.3,9.8,14.8,19.0,22.7,22.1,20.5,14.8,6.5,-0.4,11.3
71,1957,1.7,1.0,2.7,10.6,13.9,18.1,23.0,23.9,18.7,12.6,8.2,3.3,11.5
72,1958,0.8,2.6,4.8,11.3,14.3,18.8,23.4,23.1,21.1,14.0,8.9,4.1,12.3
73,1959,0.0,5.7,6.3,10.9,14.9,18.1,23.4,23.0,21.0,14.4,9.4,4.0,12.6
74,1960,-0.3,1.4,6.5,9.3,14.8,18.8,23.1,23.5,21.2,14.2,9.3,2.0,12.0
75,1961,-1.0,-0.2,5.7,10.1,15.4,18.8,23.9,23.9,21.9,17.4,9.5,2.6,12.3
76,1962,-0.9,1.0,3.6,9.4,14.0,18.4,23.1,23.9,20.3,13.5,8.2,3.1,11.5
77,1963,-3.1,-2.0,4.1,11.9,18.3,21.3,23.1,23.7,18.8,13.2,7.9,2.9,11.7
78,1964,2.8,1.3,4.2,16.5,14.8,18.1,23.2,24.1,21.6,14.8,6.9,3.1,12.6
79,1965,0.0,1.3,1.4,8.2,14.0,18.4,23.4,22.4,17.7,11.5,8.9,2.4,10.8
80,1966,-0.4,2.7,6.1,10.9,14.0,18.5,22.2,24.5,20.2,12.9,7.2,1.7,11.7
81,1967,-0.6,1.3,5.4,11.6,15.4,18.5,23.3,23.9,20.0,13.6,8.7,0.3,11.8
82,1968,-0.7,-1.5,5.1,10.6,14.3,17.7,22.2,23.8,19.7,13.1,6.9,5.8,11.4
83,1969,2.9,3.4,4.1,10.6,14.5,17.2,22.2,23.1,21.2,13.1,6.9,1.0,11.7
84,1970,-0.9,2.0,2.3,10.8,14.4,18.3,23.1,23.8,22.4,14.6,7.5,2.4,11.7
85,1971,0.4,1.8,3.7,10.4,13.9,19.7,23.9,23.4,20.6,13.1,7.8,2.9,11.8
86,1972,4.2,3.8,4.9,10.1,14.6,18.3,23.5,23.3,18.6,13.3,7.6,3.1,12.1
87,1973,2.9,3.8,4.5,12.1,13.9,18.0,23.4,23.9,19.3,13.2,6.3,0.1,11.8
88,1974,-0.5,1.4,4.2,10.7,15.2,18.0,22.6,23.2,19.3,14.2,6.7,4.1,11.6
89,1975,1.2,1.2,4.5,11.1,14.4,19.1,23.6,23.4,21.8,15.8,9.2,3.1,12.4
