,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1931,4.8,5.2,6.1,8.8,11.6,17.5,21.9,24.9,21.2,13.7,9.6,6.4,12.6
1,1932,5.7,4.7,6.0,8.7,13.5,18.1,25.7,26.0,21.3,13.2,8.8,6.1,13.2
2,1933,4.9,4.5,5.9,10.4,14.7,18.7,25.5,26.7,19.7,13.2,8.7,5.9,13.2
3,1934,4.0,4.1,5.3,9.3,13.2,17.9,25.1,25.9,20.8,12.5,8.0,6.0,12.7
4,1935,4.8,5.5,6.0,9.7,13.1,18.3,24.3,24.9,20.4,13.6,9.1,5.5,12.9
5,1936,3.5,4.1,5.7,9.5,13.6,19.6,24.1,26.7,22.8,13.5,9.1,6.5,13.2
6,1937,5.5,6.4,6.9,10.4,13.6,17.1,26.4,28.0,20.8,14.4,9.9,4.8,13.7
7,1938,4.4,4.3,8.4,9.5,15.9,20.9,25.9,24.9,20.1,14.8,8.1,5.6,13.6
8,1939,3.9,4.7,6.0,9.7,13.2,17.9,26.0,24.3,20.8,14.9,9.9,5.1,13.0
9,1940,3.6,4.0,5.6,8.7,12.3,17.6,25.5,23.7,20.0,13.9,9.6,5.7,12.5
10,1941,4.9,4.9,6.6,9.4,15.0,19.2,24.7,26.3,19.5,13.4,10.0,6.5,13.4
11,1942,4.0,4.5,8.4,9.5,13.4,18.6,27.5,26.0,22.7,12.2,7.3,5.1,13.3
12,1943,3.6,4.2,5.7,8.4,13.7,19.3,23.9,26.0,22.9,13.9,8.0,5.5,12.9
13,1944,3.9,4.1,5.7,8.2,14.7,19.1,23.8,25.9,20.1,13.7,8.8,4.8,12.7
14,1945,3.4,3.7,6.4,9.4,12.4,×,×,26.1,21.5,15.4,8.6,4.9,11.2 ]
15,1946,4.8,5.0,6.4,10.7,13.4,19.9,25.1,24.6,19.3,13.9,10.6,5.1,13.2
16,1947,4.9,4.1,5.6,8.3,12.9,17.7,24.9,26.7,20.8,12.3,7.3,4.8,12.5
17,1948,4.7,5.1,6.6,11.1,13.6,19.2,26.1,25.3,21.5,14.5,9.4,7.3,13.7
18,1949,5.2,6.0,5.7,8.0,13.2,17.5,24.0,25.5,21.3,13.5,8.9,6.3,12.9
19,1950,5.0,4.9,6.1,10.6,15.4,20.8,25.2,26.1,21.0,13.4,9.6,5.2,13.6
20,1951,4.5,4.8,6.5,9.3,13.6,17.1,24.4,26.5,18.2,14.4,8.5,5.6,12.8
21,1952,4.7,4.8,6.5,9.9,13.4,18.7,24.2,26.4,22.0,13.4,9.5,5.5,13.3
22,1953,3.9,4.5,7.0,7.9,13.1,20.3,24.2,25.3,21.5,13.8,7.4,6.4,12.9
23,1954,5.4,5.6,6.1,10.9,13.1,17.0,22.4,26.7,22.6,12.8,8.6,5.9,13.1
24,1955,4.0,4.9,7.8,10.7,14.2,20.5,26.5,25.3,20.2,14.6,7.8,5.8,13.5
25,1956,4.5,4.1,7.7,9.9,14.1,18.9,24.6,24.2,21.4,15.2,9.2,4.3,13.2
26,1957,4.5,4.2,4.4,10.3,12.8,17.8,24.7,26.8,19.0,13.5,9.3,6.2,12.8
27,1958,4.7,4.9,6.2,9.9,12.7,18.6,24.6,25.6,21.8,13.1,9.2,6.0,13.1
28,1959,4.5,6.9,6.8,10.5,14.0,18.0,26.1,26.7,22.4,14.1,10.2,5.9,13.8
29,1960,4.2,4.8,6.6,9.4,14.3,18.0,24.8,25.3,21.6,13.4,9.9,5.2,13.1
30,1961,3.9,3.7,6.7,9.9,15.2,18.5,26.1,26.3,21.8,16.2,9.0,5.3,13.6
31,1962,4.0,4.2,5.2,9.3,13.7,18.6,25.2,25.4,20.8,13.1,9.2,5.6,12.9
32,1963,3.1,3.7,6.0,10.8,16.8,21.6,25.0,25.3,17.8,13.0,8.7,5.8,13.1
