,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1953,0,--,--,--,--,--,--,--,--,--,--,--,0 ]
1,1954,0,0,--,--,--,--,--,--,--,--,--,--,0
2,1955,0,0,--,--,--,--,--,--,--,--,--,--,0
3,1956,2,0,0,--,--,--,--,--,--,--,--,0,2
4,1957,0,0,0,--,--,--,--,--,--,--,--,--,0
5,1958,3,0,0,--,--,--,--,--,--,--,0,0,3
6,1959,4,--,0,--,--,--,--,--,--,--,--,0,4
7,1960,1,0,--,--,--,--,--,--,--,--,--,0,1
8,1961,0,2,0,--,--,--,--,--,--,--,--,0,2
9,1962,1,0,0,0,--,--,--,--,--,--,--,0,1
10,1963,20,2,0,--,--,--,--,--,--,--,--,0,22
11,1964,0,2,--,--,--,--,--,--,--,--,--,--,2
12,1965,1,0,0,--,--,--,--,--,--,--,0,2,1
13,1966,0,0,0,--,--,--,--,--,--,--,--,2,2
14,1967,1,0,0,--,--,--,--,--,--,--,--,4,3
15,1968,0,9,--,--,--,--,--,--,--,--,--,0,13
16,1969,0,0,0,--,--,--,--,--,--,--,--,0,0
17,1970,2,0,0,--,--,--,--,--,--,--,--,0,2
18,1971,1,0,0,--,--,--,--,--,--,--,0,0,1
19,1972,0,0,2,0,--,--,--,--,--,--,0,0,2
20,1973,0,0,--,--,--,--,--,--,--,--,--,1,0
21,1974,0,0,0,--,--,--,--,--,--,--,0,--,1
22,1975,3,7,--,0,--,--,--,--,--,--,--,0,10
23,1976,2,0,--,--,--,--,--,--,--,--,--,0,2
24,1977,0,2,5,--,--,--,--,--,--,--,--,0,7
25,1978,0,2,0,--,--,--,--,--,--,--,0,--,2
26,1979,0,0,2,--,--,--,--,--,--,--,--,--,2
27,1980,0,3,--,--,--,--,--,--,--,--,--,0,3
28,1981,0,0,0,--,--,--,--,--,--,--,--,0,0
29,1982,0,--,--,0,--,--,--,--,--,--,--,--,0
30,1983,0,2,0,0,--,--,--,--,--,--,0,0,2
31,1984,14,5,0,--,--,--,--,--,--,--,--,0,19
32,1985,0,0,--,--,--,--,--,--,--,--,--,0,0
33,1986,0,1,0,--,--,--,--,--,--,--,--,0,1
34,1987,1,3,0,--,--,--,--,--,--,--,--,0,4
35,1988,1,1,0,--,--,--,--,--,--,--,0,0,2
36,1989,0,0,0,--,--,--,--,--,--,--,--,--,0
37,1990,1,--,--,--,--,--,--,--,--,--,--,0,1
38,1991,0,0,--,--,--,--,--,--,--,--,--,0,0
39,1992,0,0,--,--,--,--,--,--,--,--,--,--,0
40,1993,0,0,0,--,--,--,--,--,--,--,--,0,0
41,1994,0,0,0,--,--,--,--,--,--,--,--,--,0
42,1995,0,0,--,--,--,--,--,--,--,--,0,0,0
43,1996,0,0,--,--,--,--,--,--,--,--,--,0,0
44,1997,2,0,--,--,--,--,--,--,--,--,--,0,2
45,1998,2,0,--,--,--,--,--,--,--,--,--,--,2
46,1999,0,2,--,--,--,--,--,--,--,--,--,0,2
47,2000,0,0,--,--,--,--,--,--,--,--,--,--,0
48,2001,3,0,0,--,--,--,--,--,--,--,0,0,3
49,2002,0,0,--,--,--,--,--,--,--,--,--,0,0
50,2003,1,0,--,--,--,--,--,--,--,--,--,0,1
51,2004,1,0,0,--,--,--,--,--,--,--,--,--,1
52,2005,0,0,0,--,--,--,--,--,--,--,--,3,0
53,2006,0,0,0,--,--,--,--,--,--,--,--,0,3
54,2007,0,0,0,--,--,--,--,--,--,--,--,0,0
55,2008,0,0,--,--,--,--,--,--,--,--,--,--,0
56,2009,0,--,0,--,--,--,--,--,--,--,--,0,0
57,2010,7,0,0,--,--,--,--,--,--,--,--,3,7
58,2011,1,0,--,--,--,--,--,--,--,--,--,0,4
59,2012,0,0,--,--,--,--,--,--,--,--,--,0,0
60,2013,--,--,--,--,--,--,--,--,--,--,--,--,0
61,2014,--,--,--,--,--,--,--,--,--,--,--,--,--
62,2015,--,--,--,--,--,--,--,--,--,--,--,--,--
63,2016,4,--,--,--,--,--,--,--,--,--,--,--,4
64,2017,--,--,--,--,--,--,--,--,--,--,--,--,--
65,2018,3,1,--,--,--,--,--,--,--,--,--,--,4
66,2019,--,--,×,　,　,　,　,　,　,　,　,　,×
