,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1958,　,　,　,　,　,　,27.7,28.0,27.6,24.4,21.1,19.2,24.7 ]
1,1959,15.3,19.3,19.3,20.9,23.8,25.7,28.3,28.1,27.4,24.1,22.1,19.6,22.8
2,1960,16.8,17.1,20.3,20.5,23.1,26.1,28.5,27.4,27.4,24.8,22.1,17.5,22.6
3,1961,15.5,15.7,18.6,21.1,24.2,27.6,28.4,28.4,27.8,25.1,22.0,18.5,22.7
4,1962,14.0,16.3,16.8,19.3,24.0,26.6,28.2,27.9,27.5,24.9,21.4,17.5,22.0
5,1963,11.3,12.9,17.2,20.8,25.5,26.3,28.3,28.5,27.7,23.7,21.3,18.0,21.8
6,1964,17.2,16.2,18.1,24.1,23.9,25.5,27.9,27.7,27.9,25.5,21.4,18.5,22.8
7,1965,15.8,16.5,16.6,20.4,22.6,25.5,28.4,27.7,26.5,23.3,22.3,18.0,22.0
8,1966,16.4,17.9,19.9,21.9,23.3,25.5,28.1,28.5,26.4,23.6,21.9,18.9,22.7
9,1967,15.2,15.5,18.2,22.6,25.0,26.5,28.8,28.5,26.8,24.0,22.9,15.6,22.5
10,1968,15.4,13.6,17.4,20.1,23.4,25.2,28.6,28.4,27.0,23.8,21.4,19.5,22.0
11,1969,18.3,17.6,18.3,22.1,24.6,24.5,28.9,28.1,28.0,23.8,20.6,17.1,22.7
12,1970,14.9,16.7,16.6,19.5,23.6,25.9,27.7,28.3,27.5,25.1,21.2,18.6,22.1
13,1971,14.4,15.6,17.5,20.9,23.1,27.6,29.0,27.6,26.9,24.2,21.2,18.4,22.2
14,1972,18.1,16.8,17.2,20.4,23.6,26.3,27.7,27.1,25.7,23.9,21.6,18.4,22.2
15,1973,16.9,18.6,18.8,22.6,23.6,26.0,27.6,27.8,26.7,24.9,20.6,16.1,22.5
16,1974,16.0,16.0,17.9,20.8,24.2,25.5,27.8,28.2,26.4,25.4,22.1,19.8,22.5
17,1975,16.6,16.9,17.8,22.0,23.3,26.1,28.0,27.7,27.0,25.9,21.6,17.1,22.5
18,1976,15.0,18.1,17.9,21.8,24.3,26.6,26.8,27.9,26.2,23.7,20.3,17.8,22.2
19,1977,16.2,15.1,19.0,21.8,24.5,26.5,28.7,27.7,27.3,24.8,21.3,19.3,22.7
20,1978,15.5,15.3,17.5,20.8,23.4,26.2,27.8,27.4,26.9,24.8,21.8,18.8,22.2
21,1979,17.2,17.2,18.7,21.5,22.3,26.1,29.2,27.7,27.2,23.6,20.9,19.4,22.6
