,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1923,×,×,×,×,42,36,42,68,43,44,36,31,43 ]
1,1924,36,28,46,45,47,44,54,60,41,45,48,34,45
2,1925,36,42,59,57,42,30,47,60,37,61,48,44,47
3,1926,43,42,54,62,39,50,48,61,47,52,52,45,50
4,1927,42,44,45,60,52,43,53,39,34,60,53,44,48
5,1928,36,46,55,56,52,34,43,54,49,52,47,39,47
6,1929,43,48,55,58,46,41,51,62,46,52,38,36,48
7,1930,44,39,37,41,54,44,59,56,61,58,45,46,49
8,1931,32,36,60,48,49,47,27,63,45,51,49,41,46
9,1932,39,41,50,51,55,46,63,51,41,59,46,39,49
10,1933,37,46,44,46,47,52,56,55,65,45,51,39,49
11,1934,47,49,51,46,65,44,53,63,40,48,49,40,50
12,1935,49,41,50,47,60,49,51,59,33,62,47,47,50
13,1936,43,42,56,43,49,51,44,35,63,60,48,34,47
14,1937,28,35,47,55,47,46,37,68,42,47,32,47,45
15,1938,37,49,45,57,38,39,50,51,61,41,56,50,48
16,1939,40,46,45,39,60,46,61,70,65,42,51,55,52
17,1940,50,41,50,55,57,52,51,52,52,49,56,50,51
18,1941,47,49,54,63,54,32,29,54,31,59,44,39,46
19,1942,52,43,42,55,50,32,70,56,39,54,55,43,49
20,1943,52,54,49,54,46,34,41,58,45,56,52,55,49
21,1944,46,48,51,52,48,57,53,59,59,42,45,39,50
22,1945,45,48,47,×,50,×,×,×,×,×,×,×,47 ]
23,1946,×,×,×,×,×,×,×,×,×,×,×,×,×
24,1947,×,×,×,×,×,×,×,×,×,50,57,39,49 ]
25,1948,44,50,46,52,52,54,36,58,50,50,50,42,49
26,1949,43,39,45,52,47,28,48,57,43,50,39,37,44
27,1950,34,42,53,55,51,42,49,62,47,48,41,43,48
28,1951,44,43,50,44,53,50,40,60,42,54,48,52,48
29,1952,40,37,47,52,47,30,43,63,40,60,52,42,46
30,1953,44,39,48,61,48,28,37,52,48,58,48,41,46
31,1954,31,50,55,50,42,36,34,64,43,45,58,45,46
32,1955,39,58,35,45,48,36,46,63,48,44,60,53,48
33,1956,46,53,40,52,30,29,45,45,40,41,58,52,44
34,1957,50,48,57,46,44,36,29,49,40,60,63,44,46
35,1958,41,49,49,43,52,50,50,45,52,46,54,52,49
36,1959,48,32,50,48,46,58,37,56,48,56,53,47,48
37,1960,47,62,51,53,43,39,56,63,27,57,50,53,50
38,1961,52,61,56,54,42,40,50,55,55,45,51,55,51
39,1962,52,52,57,52,50,33,43,61,56,58,49,60,52
40,1963,60,58,63,39,18,22,54,47,50,55,55,49,46
41,1964,37,46,58,38,58,41,62,65,45,48,64,52,51
42,1965,58,58,66,52,53,41,30,73,49,71,54,42,54
43,1966,56,53,47,44,51,43,47,52,49,54,57,46,50
44,1967,57,47,51,39,54,50 ),40,58,65,51,42,45,50
45,1968,44,53,54,52,52,48,37,49,42,50,61,45,49
46,1969,38,34,44,51,61,47,46,60,44,57,52,54,49
47,1970,52,55,56,39,45,23,49,46,40,42,54,40,44
48,1971,51,45,56,56,47,26,38,44,44,52,60,47,47
49,1972,43,40,43,47,54,40,39,55,51,54,43,51,47
50,1973,40,43,52,44,49,50,57,57,39,47,59,54,50
51,1974,59,48,50,57,50,47,34,62,45,44,54,37,49
52,1975,47,43,57,43,40,40,46,60,51,32,49,44,46
53,1976,50,39,46,40,41,37,43,46,47,54,43,42,44
54,1977,43,60,44,50,46,36,51,43,48,69,51,52,49
55,1978,46,48,63,56,56,43,74,66,42,55,52,55,55
56,1979,49,47,48,53,64,29,43,54,46,68,47,53,50
57,1980,46,60,43,55,52,31,25,23,47,49,60,50,44
58,1981,61,42,46,52,53,34,48,55,47,51,46,51,49
59,1982,54,42,56,55,57,53,37,47,37,55,42,49,49
60,1983,52,59,36,46,62,53,45,61,42,55,58,61,52
61,1984,48,56,53,46,55,31,49,60,40,55,54,44,49
62,1985,54,32,40,58,47,29,49,68,47,50,54,47,48
63,1986,52,57,52,48,38,42,40,67,50,59,50,50,50
64,1987,53,58,42,54,52,55,32,47,49,54,51,61,50
65,1988,49,54,43,56,52,38,40,47,45,56,63,60,50
66,1989,39,36,53,56,38,39,47,46,37,61,48,58 ),46
67,1990,41,31,51,50,50,44,55,67,39,43,50,47,48
68,1991,42,46,39,44,33,20,38,49,46,43,55,47,41
69,1992,36,49,29,52,45,43,43,38,47,57,51,41,44
70,1993,33,45,48,57,40,31,29,32,33,50,28,48,39
71,1994,40,41,51,48,51,39,73,66,55,54,49,42,51
72,1995,46,50,47,41,45,39,44,66,42,55,57,47,48
73,1996,46,49,40,53,53,28,50,51,41 ),42 ),40,52,46
74,1997,51,51,51,52,48,42,40,52,43,70,46,42,49
75,1998,40,44,51,46,41,32 ),45,51,41,41,52,62,45
76,1999,59,58,34,44,62,35,29,40 ),37,53,49,57,46
77,2000,40,52,57,47,55,37,51,59,47,41,44,52,49
78,2001,40,41,50,57,45,38,58,59,52,51,53,49,50
79,2002,42,52 ),59 ),40,40,53,43,59,57,52,51,36,49
80,2003,45,44,47,39,44 ),21 ),27,41,56 ),58 ),34,53,42
81,2004,56,60,54,65 ),41,46,60,47,29,46,62,50,51
82,2005,41,42,49,56,62 ),47,40 ),53,44,49,56,45,49
83,2006,41,42,48,37,35,39,30,58,47,60,47,46,44
84,2007,44,52,55,51,57,36,30,59 ),55,52,51,41,48
85,2008,42 ),55,54,52,49,27,60,46,45,52,43,49,48
86,2009,37,41,50,62,51,45,23,48,53,53,40,47,46
87,2010,51,46,34,38,48,40,40,69,55,39,57,52,47
88,2011,56,45,55,55,38,22,42,47,51,47,40,43,45
89,2012,43,37,40,50,44,26,44,58,46,57,43,43,44
90,2013,53,51,56,57,61,32,49,59,54,43,51,43 ),51
91,2014,55,40,54,47,63,30,39,22,44,50,46,43 ),44
92,2015,41,43,55,39,56,33,33,51,42,67,36,45,45
93,2016,37,45,52,48,52,29,48,64,25,32,46,44,44
94,2017,52,53,50,50,62,49,40,55,41,31,53,46,49
95,2018,45,52,60,57,48,37,59,65,29,53,51,34,50
96,2019,54,40,53 ],　,　,　,　,　,　,　,　,　,48 ]
