,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1910,1013.9,1006.1,1010.0,1014.8,1012.4,1008.9,1011.3,1013.2,1012.1,1020.9,1014.5,1012.5,1012.6
1,1911,1015.7,1015.5,1015.2,1012.4,1012.4,1009.5,1010.3,1011.9,1014.4,1013.6,1016.5,1013.3,1013.4
2,1912,1011.9,1012.9,1011.3,1010.0,1012.1,1010.9,1007.7,1013.9,1013.7,1017.2,1014.0,1018.0,1012.8
3,1913,1014.7,1011.9,1010.3,1013.5,1009.5,1008.4,1010.9,1008.9,1012.8,1015.7,1016.1,1013.6,1012.2
4,1914,1011.3,1016.1,1014.7,1011.2,1012.3,1008.5,1007.5,1010.9,1014.7,1016.1,1016.1,1010.9,1012.5
5,1915,1014.7,1012.3,1011.9,1012.7,1012.3,1009.7,1009.7,1009.1,1014.7,1015.5,1017.9,1010.5,1012.6
6,1916,1013.1,1012.1,1009.3,1013.9,1013.1,1011.5,1011.9,1011.3,1012.7,1017.2,1021.6,1013.7,1013.5
7,1917,1009.3,1009.3,1015.6,1010.1,1006.5,1008.5,1010.8,1011.3,1015.6,1014.9,1011.9,1005.3,1010.8
8,1918,1005.9,1014.9,1012.3,1015.3,1010.0,1008.0,1009.2,1011.9,1012.3,1016.1,1016.4,1012.9,1012.1
9,1919,1011.5,1015.5,1010.4,1011.1,1011.2,1009.1,1012.5,1011.7,1013.6,1016.1,1016.5,1010.3,1012.5
10,1920,1009.2,1018.8,1019.9,1016.5,1011.6,1009.9,1011.3,1011.3,1015.6,1015.6,1015.9,1015.5,1014.3
11,1921,1012.3,1011.7,1010.8,1016.5,1011.9,1011.3,1012.7,1009.7,1016.7,1019.2,1009.9,1012.7,1013.0
12,1922,1012.7,1018.8,1012.1,1014.3,1014.1,1009.9,1011.3,1007.3,1015.2,1015.7,1013.9,1007.2,1012.7
13,1923,1012.8,1014.0,1017.7,1011.6,1013.7,1010.3,1007.2,1009.5,1011.2,1013.9,1011.7,1013.3,1012.2
14,1924,1012.8,1007.9,1014.4,1014.5,1006.7,1011.2,1010.0,1010.3,1013.2,1015.2,1010.3,1012.9,1011.6
15,1925,1009.9,1013.9,1009.6,1014.4,1013.2,1009.1,1011.3,1013.1,1013.7,1013.9,1013.6,1009.5,1012.1
16,1926,1009.5,1013.2,1010.9,1005.2,1014.1,1010.3,1007.3,1008.8,1011.2,1011.7,1012.7,1008.8,1010.3
17,1927,1009.3,1011.6,1013.5,1018.5,1009.1,1008.0,1008.4,1008.3,1011.7,1015.2,1013.3,1009.2,1011.3
18,1928,1014.0,1012.7,1012.3,1013.5,1011.6,1010.8,1013.7,1013.3,1014.3,1017.9,1015.6,1012.1,1013.5
19,1929,1010.0,1011.2,1011.2,1010.8,1014.4,1011.1,1009.2,1008.9,1013.1,1017.6,1018.0,1019.6,1012.9
20,1930,1015.7,1017.7,1018.7,1014.3,1012.4,1009.9,1010.0,1011.3,1015.6,1015.7,1014.4,1014.9,1014.2
21,1931,1013.6,1015.8,1011.3,1010.0,1012.1,1013.2,1010.0,1010.9,1015.0,1015.4,1017.7,1014.8,1013.3
22,1932,1017.8,1015.4,1009.6,1009.8,1010.8,1014.8,1010.1,1011.4,1015.8,1013.8,1014.4,1015.2,1013.2
23,1933,1016.4,1012.9,1014.1,1015.7,1013.4,1010.6,1011.6,1012.0,1011.4,1015.2,1015.0,1008.2,1013.0
24,1934,1008.8,1008.1,1007.7,1012.5,1012.4,1010.0,1010.6,1010.1,1014.2,1019.2,1011.6,1017.6,1011.9
25,1935,1010.2,1013.6,1010.0,1013.8,1009.8,1009.4,1009.4,1009.4,1014.2,1013.6,1017.4,1012.9,1012.0
26,1936,1005.0,1009.3,1014.4,1010.1,1014.2,1009.2,1008.6,1009.7,1014.0,1010.8,1014.8,1014.2,1011.2
27,1937,1013.6,1014.2,1008.8,1015.6,1008.4,1013.0,1010.0,1012.0,1014.6,1016.1,1014.4,1006.8,1012.3
28,1938,1013.4,1008.4,1015.4,1007.0,1011.8,1008.8,1012.9,1016.0,1010.5,1016.0,1014.5,1011.4,1012.2
29,1939,1012.1,1012.5,1012.0,1014.5,1011.0,1011.2,1010.5,1011.0,1012.5,1016.9,1014.5,1015.0,1012.8
