,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1944,-4.9,-3.3,1.9,6.9,16.2,20.6,25.5,26.9,21.8,14.7,5.0,-3.8,10.6
1,1945,-6.2,-3.6,1.6,7.2,12.7,17.2,20.7,25.2,20.5,14.8,6.4,-2.7,9.5
2,1946,-2.8,-2.9,-0.6,8.3,13.8,22.8,24.3,28.1,21.0,16.0,8.3,-1.3,11.3
3,1947,-2.7,-2.9,0.8,6.8,16.0,18.3,24.0,24.4,19.9,14.0,4.5,-2.9,10.0
4,1948,-0.4,-2.4,2.3,10.1,17.7,20.6,24.2,27.9,21.3,14.3,6.7,2.1,12.0
5,1949,-0.4,0.6,-0.3,5.7,17.5,20.0,23.7,27.4,21.6,15.5,4.7,-1.7,11.2
6,1950,-2.5,-1.5,2.0,10.6,17.4,20.9,26.8,28.4,21.5,12.4,6.8,-0.5,11.9
7,1951,-5.3,-2.5,1.7,8.3,17.1,19.6,23.8,28.0,19.9,14.3,7.0,1.9,11.2
8,1952,-2.9,-4.4,1.4,8.6,16.4,20.9,24.2,25.0,20.8,15.4,4.5,-3.6,10.5
9,1953,-3.4,-3.6,2.7,8.1,15.0,19.7,23.3,24.1,21.1,15.4,2.2,-0.2,10.4
10,1954,-3.0,-0.7,1.4,9.6,14.6,18.1,22.4,23.9,21.9,13.9,6.3,0.7,10.8
11,1955,-3.0,-1.4,1.6,7.9,13.9,20.4,27.2,26.0,20.3,14.5,6.1,2.3,11.3
12,1956,-3.7,-2.3,2.4,8.8,18.6,18.7,21.5,22.9,21.8,15.9,5.6,-1.9,10.7
13,1957,-2.1,-3.1,0.5,7.1,16.8,17.7,23.6,24.9,19.6,14.7,8.4,1.4,10.8
14,1958,-1.8,0.1,1.1,7.7,15.8,20.1,24.7,24.2,20.5,14.0,6.9,2.0,11.3
15,1959,-3.3,0.3,3.9,11.6,17.2,19.3,23.0,25.3,20.9,15.6,5.1,-1.1,11.5
16,1960,-4.7,-1.2,1.6,7.4,14.5,19.3,24.0,26.1,21.8,15.2,7.2,-1.5,10.8
17,1961,-4.4,-1.7,2.1,9.6,17.2,21.7,25.3,25.7,23.7,14.2,7.7,1.1,11.9
18,1962,-1.1,-1.7,1.0,10.7,17.5,19.9,24.7,24.1,20.6,13.4,5.2,1.0,11.3
19,1963,-1.0,0.5,3.8,9.5,17.4,19.2,23.2,24.9,19.7,14.3,8.0,1.4,11.7
20,1964,-1.6,-2.9,2.8,8.8,17.6,19.4,21.7,24.2,19.6,13.3,5.9,0.2,10.8
21,1965,-0.9,-2.3,0.9,6.5,15.4,20.7,21.3,25.1,21.0,15.1,5.7,0.3,10.7
22,1966,-2.4,-1.7,3.1,7.6,16.0,19.7,21.8,25.3,19.8,16.1,7.3,-2.8,10.8
23,1967,-3.6,-2.2,3.3,9.3,18.2,19.3,25.0,25.7,20.0,14.8,4.7,0.1,11.2
24,1968,-1.3,-0.9,4.3,10.2,15.5,20.8,24.8,24.2,20.6,12.6,8.9,2.8,11.9
25,1969,-3.9,-3.0,0.9,8.4,14.8,18.5,23.9,23.1,20.1,13.4,5.7,-2.6,9.9
26,1970,-3.7,-0.9,-1.2,7.7,17.6,19.6,24.5,25.1,21.2,14.9,6.7,-1.1,10.9
27,1971,-2.2,-0.3,1.8,8.6,15.1,19.4,22.6,24.8,19.8,14.7,6.4,0.4,10.9
28,1972,-0.8,-0.9,3.9,10.4,16.4,19.7,24.4,25.4,20.5,15.5,6.4,1.6,11.9
29,1973,0.0,-0.2,1.2,9.1,16.1,21.1,24.9,26.5,21.2,14.3,5.7,-0.4,11.6
30,1974,-1.1,-0.9,1.7,8.3,16.1,19.2,23.7,24.5,20.6,13.8,4.1,-3.7,10.5
31,1975,-3.1,-2.4,2.0,10.3,15.8,19.8,22.7,25.6,22.1,14.3,7.9,-1.9,11.1
32,1976,-2.8,-1.2,1.5,7.8,16.6,19.4,24.4,22.8,19.8,13.6,4.3,-0.8,10.5
33,1977,-5.6,-2.9,2.1,6.8,15.3,20.1,25.1,23.9,20.7,15.3,7.2,0.6,10.7
34,1978,-3.4,-5.1,2.1,7.4,15.8,21.3,26.7,26.5,20.7,12.7,6.6,1.1,11.0
35,1979,-3.1,-0.5,1.6,7.0,14.7,21.3,23.7,25.3,20.5,16.0,7.0,2.0,11.3
36,1980,-2.1,-3.7,1.5,6.9,16.6,22.3,23.1,22.2,20.7,14.1,7.9,1.1,10.9
37,1981,-3.0,-1.1,1.9,9.4,13.5,19.1,24.7,23.7,19.7,14.2,2.6,1.1,10.5
38,1982,-2.6,-2.8,2.4,8.2,16.3,19.9,24.4,26.2,21.4,16.3,7.8,1.1,11.6
39,1983,-1.5,-3.1,2.7,12.4,16.5,17.0,21.9,26.1,21.1,12.4,7.5,-0.4,11.1
40,1984,-2.4,-3.6,-0.4,6.6,15.6,21.7,26.0,27.0,21.1,12.7,5.3,-1.3,10.7
41,1985,-4.8,-0.9,1.4,10.5,17.0,20.0,23.4,28.1,20.3,13.6,5.5,-2.3,11.0
42,1986,-4.0,-3.5,1.8,8.3,14.8,20.4,21.3,26.1,21.5,12.3 ),4.6,0.3,10.3
43,1987,-3.3,-2.2,1.7,8.1,16.5,22.3,23.6,23.0,21.8,14.6,5.6,-0.5,10.9
44,1988,-2.7,-3.8,1.8,8.9,15.0,20.5,21.9,26.6,21.4,13.3,5.0,0.8,10.7
45,1989,-0.3,0.5,3.9,11.5,15.2,19.5,24.8,26.5,20.8,14.7,8.6,0.8,12.2
46,1990,-3.3,0.8,4.9,10.9,17.3,21.5,24.3,25.9,21.8,16.7,9.8,3.3,12.8
47,1991,0.0,-0.9,1.8,10.4,17.4,22.4,23.2,24.3,21.3,15.3,6.2,0.1,11.8
48,1992,-1.3,-1.0,2.9,9.3,15.8,20.0,23.6,23.9,19.0,14.6,7.3,1.2,11.3
49,1993,-0.8,-0.7,2.9,8.3,15.7,18.0,22.2,23.0,20.6,13.9,7.7,0.6,11.0
50,1994,-3.7,0.1,1.2,8.7,17.1,20.6,26.1,27.8,23.0,15.3,7.3,-0.6,11.9
51,1995,-2.2,-0.4,3.2,9.9,16.8,20.0,24.2,23.9,20.5,16.1,7.0,0.8,11.7
52,1996,-2.5,-1.9,2.2,7.7,13.7,19.9,23.2,23.9,21.1,14.5,5.3,0.4,10.6
53,1997,-0.8,-0.1,2.2,9.5,15.4,19.6,26.3,22.9,19.9,13.4,9.7,1.4,11.6
54,1998,-4.3,-1.1,4.2,12.9,18.3,18.8,24.1,23.6,22.6,16.5,4.8,-0.3,11.7
55,1999,-2.1,-1.6,1.7,9.9,15.5,21.8,25.5,28.1,22.8,15.1,7.2,0.0,12.0
56,2000,-1.0,-2.1,1.9,8.1,17.7,20.6,25.9,27.2,21.6,14.0,5.4,-0.8,11.5
57,2001,-3.7,-4.3,2.1,11.1,17.8,20.5,24.0,24.7,20.2,15.1,7.1,-2.8,11.0
58,2002,-0.8,1.4,4.6,13.1,17.5,20.0,23.3,23.0,21.1,14.8,3.6,-2.4,11.6
59,2003,-2.1,-1.3,2.6,10.8,17.8,21.3,20.8,23.7,20.8,14.5,8.4,1.6,11.6
60,2004,-0.8,0.6,2.7,9.2,17.6,22.2,25.0,25.1,21.5,15.4,9.6,0.6,12.4
61,2005,-1.8,-2.5,2.0,8.4,14.3,22.6,23.3,27.0,22.2,16.1,7.0,-1.3,11.4
62,2006,-3.2,-1.0,2.9,7.0,16.7,18.7,23.8,27.7,21.9 ),14.6,7.9,0.4,11.5
63,2007,-0.7,1.0,2.8,9.1,16.2,23.5,23.5,26.4,21.9,15.1,5.9,-0.1,12.1
64,2008,-3.7,-1.2,5.8,13.0,16.3,21.5,24.7,24.3,22.5,15.6,6.9,1.8,12.3
65,2009,-0.1,-0.5,3.6,10.0,18.1,20.8,22.7,24.8,21.1,14.9,6.3,0.2,11.8
66,2010,-1.2,-1.8,1.8,7.1,15.3,23.9,25.8,27.5,22.9,15.3,8.0,1.8,12.2
67,2011,-3.2,1.0,2.2,9.3,14.9,21.2,25.5,26.9,21.8,15.2 ),7.9,-1.2,11.8
68,2012,-3.7,-2.7,2.1,9.5,16.6,21.6,25.1,26.8,25.6,15.7,6.7,-1.5,11.8
69,2013,-3.7,-2.6,2.0,7.8,14.9,22.4,25.7,26.1,21.8,15.5,7.7,1.3 ),11.6
70,2014,-2.6,-1.4,2.3,10.1,18.5,23.1,26.0,25.4,21.5,14.2,8.1,-0.4,12.1
71,2015,-0.4,0.6,5.4,11.5,18.1,20.4,24.3,25.7,21.3,13.4,7.4,1.9,12.5
72,2016,-2.7,-0.9,4.3,10.2,19.1,19.7,24.0,27.2,22.6,12.6,3.5,0.5,11.7
73,2017,-2.2,-0.5,3.3,10.6,17.9,19.3,25.7,24.0,21.0,13.9,5.9,-1.1,11.5
74,2018,-1.5,-2.3,4.4,10.4,16.8,20.1,25.2,23.6,21.7,16.1,7.9,-0.2,11.9
75,2019,-1.7,-1.0,3.9 ],　,　,　,　,　,　,　,　,　,-1.3 ]
