,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1880,　,　,　,　,　,　,　,　,　,　,8.2,2.4,5.3 ]
1,1881,0.5,2.5,4.7,11.7,17.1,22.2,25.6,27.5,23.4,15.3,10.4,3.8,13.7
2,1882,4.3,4.4,5.5,13.0,16.5,20.4,25.1,25.5,21.6,16.6,9.3,2.9,13.8
3,1883,2.3,3.1,5.6,11.6,16.1,21.1,25.9,26.8,22.7,17.4,9.0,3.5,13.8
4,1884,1.9,1.6,5.6,11.7,16.7,21.0,25.1,25.1,23.0,14.7,7.1,2.6,13.0
5,1885,0.8,1.2,3.8,12.5,15.9,21.5,24.6,26.5,23.4,16.8,9.8,5.1,13.5
6,1886,1.4,1.0,7.0,12.4,16.9,21.4,26.0,27.3,23.0,17.1,10.2,3.9,14.0
7,1887,3.5,2.9,5.3,12.1,15.5,20.7,25.0,26.3,21.5,17.3,9.7,4.6,13.7
8,1888,2.9,1.7,7.5,13.1,17.2,19.6,26.0,26.8,21.3,14.8,11.7,5.3,14.0
9,1889,2.1,2.6,6.6,12.5,15.6,21.9,24.7,26.2,20.3,14.9,9.1,4.9,13.5
10,1890,3.3,6.6,8.6,14.2,17.3,22.0,25.0,26.5,24.0,16.1,10.5,9.0,15.3
11,1891,2.0,3.8,7.8,12.1,17.6,20.6,25.1,25.6,24.4,15.7,10.1,4.9,14.1
12,1892,2.3,2.8,4.7,12.4,16.4,21.3,26.4,26.2,23.2,15.1,8.7,2.0,13.5
13,1893,1.9,0.8,5.0,12.0,15.8,19.8,26.0,26.4,23.5,16.1,8.1,3.0,13.2
14,1894,1.9,2.5,7.5,13.3,16.1,23.4,26.9,27.2,22.2,14.9,10.7,4.1,14.2
15,1895,1.4,2.3,6.8,12.4,17.2,20.5,23.4,26.7,22.5,15.9,8.8,4.2,13.5
16,1896,2.5,2.9,4.6,13.4,16.4,22.1,24.3,25.7,21.3,15.2,9.3,4.0,13.5
17,1897,3.6,2.9,6.2,11.1,16.5,19.5,24.8,26.7,21.6,13.9,10.0,2.7,13.3
18,1898,3.2,3.9,5.4,10.5,16.5,21.1,25.9,26.7,22.1,15.6,11.3,5.5,14.0
