,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1896,　,　,　,　,　,　,　,　,　,　,　,9.8,9.8 ]
1,1897,7.8,8.4,10.1,15.6,22.0,23.4,26.9,28.8,24.6,19.9,15.1,9.5,17.7
2,1898,7.9,9.3,9.9,16.7,21.6,23.3,30.5,30.0,24.7,21.2,15.4,11.4,18.5
3,1899,9.0,8.7,12.8,17.7,22.6,26.7,26.8,30.0,23.4,19.2,14.4,10.5,18.5
4,1900,5.5,8.1,11.2,17.2,22.5,24.2,26.4,29.7,26.4,20.8,16.1,11.0,18.3
5,1901,8.7,8.3,12.4,17.4,20.3,24.7,25.2,28.8,26.4,21.1,14.8,10.8,18.2
6,1902,8.1,9.1,13.6,16.0,20.3,24.1,25.5,26.2,26.0,20.8,16.1,11.4,18.1
7,1903,9.2,8.6,11.7,17.0,20.3,24.5,27.0,30.1,26.2,18.8,14.6,8.8,18.1
8,1904,6.7,9.4,10.3,17.8,19.9,26.3,28.7,29.7,25.3,20.4,15.1,10.4,18.3
9,1905,9.8,7.5,10.6,15.0,21.7,24.5,27.5,25.2,25.8,20.9,15.4,11.5,18.0
10,1906,6.6,6.1,12.0,18.1,22.0,23.2,27.1,28.6,23.6,19.6,14.8,12.1,17.8
11,1907,9.2,8.2,11.0,17.1,22.1,24.1,27.3,29.6,25.3,20.0,15.9,10.0,18.3
12,1908,8.6,8.5,11.2,17.1,20.9,25.4,26.0,29.5,23.2,21.1,14.8,10.4,18.1
13,1909,6.1,8.1,11.4,18.5,21.5,23.7,28.3,29.0,24.8,19.4,15.8,10.3,18.1
14,1910,8.5,8.0,11.0,17.7,21.9,25.0,26.8,27.5,24.2,20.1,16.6,10.7,18.2
15,1911,7.3,10.4,13.2,17.9,21.8,25.2,28.4,28.8,26.5,20.3,17.4,10.7,19.0
16,1912,8.6,11.0,12.4,18.2,21.7,24.1,28.0,29.9,23.7,20.4,13.8,9.5,18.4
17,1913,7.0,9.4,11.6,18.5,20.7,24.7,27.1,27.8,24.0,20.3,14.8,10.9,18.1
18,1914,10.2,8.8,13.6,16.6,22.2,26.3,30.1,30.0,25.9,21.0,17.2,12.2,19.5
19,1915,7.9,8.3,11.2,16.1,20.9,26.7,28.7,28.9,25.8,21.6,16.7,12.3,18.8
20,1916,11.4,9.0,10.8,17.6,22.4,27.3,27.5,29.3,27.4,19.5,16.2,11.1,19.1
21,1917,7.9,9.9,11.0,18.0,21.2,24.0,30.3,28.6,24.9,20.4,13.6,10.0,18.3
22,1918,6.6,8.8,11.9,16.3,21.7,24.4,30.4,29.9,26.3,20.1,15.2,9.0,18.4
23,1919,7.2,9.5,13.9,18.8,21.7,24.6,27.8,28.9,26.0,20.9,15.5,10.1,18.7
24,1920,9.5,5.8,11.6,17.3,21.0,24.6,30.4,28.7,25.3,21.6,16.8,10.5,18.6
25,1921,9.7,8.9,10.8,19.1,20.9,23.4,28.4,29.5,24.3,20.2,16.0,10.9,18.5
26,1922,6.3,11.9,12.5,19.0,21.7,26.8,29.1,31.8,27.3,21.8,15.7,9.3,19.4
27,1923,7.0,7.8,14.1,16.6,20.6,24.5,28.4,31.5,27.3,21.4,16.9,11.1,18.9
28,1924,9.1,9.9,10.3,19.3,21.8,23.7,31.8,30.4,25.2,19.1,15.6,10.4,18.9
29,1925,7.8,7.2,11.4,16.8,21.1,24.7,26.8,28.9,26.5,20.6,16.0,12.5,18.4
30,1926,8.3,10.1,12.0,17.1,21.8,24.3,29.2,30.2,26.3,19.9,15.1,9.1,18.6
31,1927,7.8,7.3,10.6,18.0,21.9,26.0,29.9,30.2,24.7,20.9,15.5,10.8,18.6
32,1928,8.8,7.8,11.3,17.6,22.1,23.8,27.1,27.9,27.8,20.5,16.0,10.1,18.4
33,1929,7.6,8.6,12.9,17.7,20.2,25.2,30.0,31.1,23.8,20.1,15.7,12.4,18.8
34,1930,8.5,9.0,12.8,18.6,22.4,26.0,30.2,30.1,25.9,21.3,15.1,10.6,19.2
35,1931,7.6,6.0,13.1,17.2,21.4,24.6,24.9,30.0,25.7,20.4,16.4,12.0,18.3
36,1932,11.3,8.6,12.4,17.2,23.6,23.2,29.6,29.4,24.7,20.2,15.1,10.3,18.8
37,1933,6.9,7.8,9.9,16.3,23.2,26.7,30.6,30.4,26.8,20.2,15.9,10.7,18.8
38,1934,7.1,8.3,10.9,15.7,22.6,26.7,26.8,29.3,24.2,18.3,15.3,10.3,18.0
39,1935,8.4,9.2,11.4,17.0,21.1,26.0,28.3,27.8,23.6,21.3,14.7,10.4,18.3
40,1936,6.2,5.4,10.2,16.7,21.4,26.2,29.7,29.9,27.8,19.8,14.9,11.0,18.3
41,1937,9.0,9.6,11.7,17.0,22.1,24.1,29.6,32.0,25.8,20.3,16.0,10.0,18.9
42,1938,7.4,7.0,14.1,17.8,22.7,24.5,28.6,29.1,25.6,20.3,16.1,10.6,18.7
43,1939,6.6,8.3,11.4,16.9,21.1,25.6,31.1,29.5,27.1,22.0,16.5,11.7,19.0
44,1940,7.3,7.5,12.5,17.7,23.4,26.7,30.8,27.8,25.5,21.6,17.4,11.2,19.1
45,1941,10.4,9.4,12.6,16.9,22.2,24.7,26.7,28.5,23.7,21.2,16.3,11.6,18.7
46,1942,7.8,6.6,14.7,18.9,21.7,26.6,31.3,29.7,27.6,20.5,14.9,10.4,19.2
