,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1961,8.9 ),10.6,14.6,18.7,19.2,18.2,20.5,21.2,15.8,9.7,8.6,6.9,14.4
1,1962,8.2 ),10.1,12.3 ),16.4,17.7,14.3 ),17.9 ),18.5,15.0,11.7,7.2,7.3,13.1
2,1963,11.4,12.4,15.4,19.8,17.0,16.7,23.7,19.1,16.7 ),13.4,11.1 ),9.4,15.5
3,1964,7.7,10.1,15.0,16.1,26.7 ),20.4 ),22.3 ),23.1,16.0,13.1,10.5,8.7,15.8
4,1965,9.3,10.8,16.7,17.8,20.3,21.1 ),17.8,23.8,15.0 ),15.5 ),9.3,5.5 ),15.2
5,1966,6.9,8.6,10.1,14.5 ),16.5,13.8,16.3,17.1,12.2,11.1,8.2,5.9,11.8
6,1967,6.9,9.1,11.6,13.0,19.1,17.9,15.0,16.4,13.1,9.6,6.2,7.4,12.1
7,1968,5.9,9.3,10.8,14.2,15.4,16.6,14.6,13.4,11.6,9.0,8.5,5.3,11.2
8,1969,6.6,6.0,9.7,13.5,18.0,15.7,14.8,16.3,11.9,9.9,6.7,6.8,11.3
9,1970,6.8,8.5,10.6,12.3,16.0,12.4 ),15.6,16.3,12.6,10.3,7.2,6.0,11.2
10,1971,6.8,7.3,11.9,15.7,15.7,13.6,15.2 ),14.5,11.6,9.2,7.9,6.4,11.3
11,1972,5.2,5.8,11.4,14.4,15.5,16.3,14.9 ),16.2 ),13.0,10.9 ),8.0,6.0,11.5
12,1973,6.3,7.5,11.8 ),14.8 ),18.1,14.4,19.5,16.1,12.6 ),10.0,8.7,7.5 ),12.3
13,1974,6.1,7.3 ),11.5,15.6,17.5,17.2 ),12.1,16.3,12.3,9.0,7.2,4.6,×
14,1975,5.8,6.8,11.6,11.5,14.2,14.1,20.8,20.3,17.2,9.4,8.3,6.6,12.2
15,1976,8.5,9.0,11.8,17.0,18.9,16.1,20.7,16.9,14.2,10.2,6.7,6.2,13.0
16,1977,6.4,9.5,10.5,15.6,21.7,15.3,21.9,16.1,15.6,15.5,8.1,6.7,13.6
17,1978,7.6,7.6,12.1,14.6,16.4,15.2,21.5,19.0,11.9,9.9,6.7,5.9,12.3
18,1979,6.7,7.1,10.3,13.6,18.1,14.7,15.0,15.6,11.9,11.1,7.1,5.7,11.4
19,1980,6.2,9.6,11.1,14.2,16.8,14.0,12.3,10.6,11.2,9.3,7.2,6.5,10.8
20,1981,6.1,7.2,11.0,14.7,16.3,13.5,17.5,15.4,12.3,9.6,5.3,5.6,11.2
21,1982,6.6,7.5,11.8,15.3,17.2,16.7,14.5,15.1,10.5,11.2,5.9,6.5,11.6
22,1983,6.3,10.0,9.0,14.4,19.8,16.7,14.9,15.8,11.6,9.9,7.5,5.8,11.8
23,1984,6.0,7.6,11.6,13.8,17.1,16.7,17.1,19.3,13.1,10.1,6.8,5.9,12.1
24,1985,6.2,6.2,8.6,15.9,16.4,12.5,16.2,19.4,11.2,9.6,7.0,6.0,11.3
25,1986,6.1,6.8,10.2,15.2,16.0,15.9,13.0,17.9,11.8,9.5,7.0,5.4,11.2
26,1987,5.2,7.9,9.1,16.7,16.1,19.5,15.7,15.7,11.8,9.3,7.0,6.1,11.7
27,1988,5.9,8.2,9.1,15.1,16.0,15.1,12.1,15.0,11.5,9.9,7.5,6.4,11.0
28,1989,5.1,6.3,10.5,16.6,15.3,15.7,14.3,14.5,9.9,10.8,6.9,5.3,10.9
29,1990,5.1,6.1,11.3,13.9,16.8,17.0,17.8,19.9,10.5,8.8,7.2,6.1 ),11.7
30,1991,5.6,8.2,8.2,14.5,14.5,12.9,14.2,15.5,13.4,8.5,7.7,5.2,10.7
31,1992,6.6,7.8,9.1,14.2,15.2,16.2,16.3,14.6,13.4,9.9,7.6,6.1,11.4
32,1993,5.6,7.8,11.3,14.1,16.8,13.8,11.8,13.2,10.7,9.5,6.5,5.3,10.5
33,1994,6.9,7.0,11.1,16.6,17.6,14.5,19.1,19.3,12.1,9.9,6.4,4.6,12.1
34,1995,4.8,7.7,8.7,13.0,13.7,13.2,14.1,19.5,11.3,11.5,8.6,6.3,11.0
35,1996,5.9,8.5,10.2,16.7,17.1,14.4,17.0,18.3,12.8,10.5,6.8,7.2,12.1
36,1997,6.2,9.1,11.4,15.3,16.4,16.9,14.4,17.5,12.2,12.9,7.6,6.1,12.2
37,1998,6.2,8.0,12.6,13.6,16.4,12.8,16.5,14.9,11.8,9.1,7.3,5.7,11.2
