,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1923,　,　,　,　,　,　,25.9,27.8,24.9,19.2,14.9,10.4,20.5 ]
1,1924,8.8,8.7,9.0,16.8,19.6,21.1,26.7,26.6,23.7,20.0,13.1,9.3,17.0
2,1925,7.6,7.2,10.8,14.5,19.5,22.6,25.8,26.7,24.6,18.7,15.5,9.6,16.9
3,1926,7.5,8.9,10.9,14.1,19.2,20.7,25.8,27.7,25.7,18.7,14.0,9.0,16.9
4,1927,7.5,7.7,11.3,15.6,18.2,21.2,27.0,27.0,22.7,18.5,15.1,11.0,16.9
5,1928,8.7,8.1,11.5,16.1,20.0,22.3,25.8,26.0,25.2,19.5,15.0,10.1,17.4
6,1929,7.3,7.5,10.9,15.0,18.7,22.4,26.6,27.4,23.3,19.0,12.9,12.5,17.0
7,1930,7.1,10.4,12.7,17.6,19.7,23.4,27.6,26.8,23.1,19.4,13.0,10.0,17.6
8,1931,9.6,9.3,12.0,15.0,18.7,21.5,25.6,27.3,25.1,18.7,16.1,10.8,17.5
9,1932,8.9,7.9,9.8,14.3,18.7,21.9,26.7,26.9,23.3,16.9,13.8,11.2,16.7
10,1933,6.6,7.8,10.3,15.7,19.6,22.9,26.8,26.4,24.1,19.1,14.6,11.0,17.1
11,1934,5.1,7.6,10.0,14.9,18.9,22.5,27.8,27.4,23.9,18.4,13.7,11.4,16.8
12,1935,8.2,9.1,12.2,15.8,18.9,22.2,26.2,27.1,23.4,19.1,15.5,9.2,17.2
13,1936,4.9,7.3,8.2,15.3,18.3,22.7,25.8,27.1,24.9,19.1,14.6,11.5,16.6
14,1937,9.2,10.6,12.4,16.1,19.4,22.5,26.4,27.0,23.9,19.8,15.5,9.1,17.7
15,1938,7.3,7.0,12.3,15.3,20.2,23.5,26.1,26.1,23.5,20.9,12.8,10.0,17.1
16,1939,7.3,8.4,11.6,15.0,18.6,21.9,26.2,26.3,23.6,19.2,16.0,9.4,17.0
17,1940,7.4,7.8,10.5,13.6,17.8,22.0,26.7,25.5,23.8,20.0,15.7,10.6,16.8
18,1941,8.6,11.6 ],12.0,14.6,19.4,22.8,25.5,25.9,23.2,18.0,15.2,11.8,17.9 ]
19,1942,6.9,7.7,14.1,14.9,18.3,22.5,27.4,27.4,24.8,18.9,13.1,9.0,17.1
20,1943,5.6,7.7,11.4,14.7,19.7,22.6,25.0,26.1,23.8,19.3,14.2,10.8,16.7
21,1944,8.3,7.8,9.6,14.2,18.6,22.1,26.6,26.4,23.9,19.7,15.4,7.6,16.7
22,1945,5.6,6.7,11.4,15.7,17.5,22.4,25.9,26.8,25.2,19.9,14.5,9.9,16.8
23,1946,8.6,9.1,12.1,16.7,19.8,23.5,26.3,26.3,24.7,19.1,15.8,9.2,17.6
24,1947,9.1,6.1,10.0,14.1,18.0,20.9,26.7,26.8,25.1,18.4,14.6,9.0,16.6
25,1948,8.7,9.7,12.2,16.8,18.9,22.3,26.1,26.4,25.3,21.1,15.1,14.3,18.1
26,1949,8.1,10.7,10.8,14.2,18.9,21.0,25.0,26.0,24.2,18.8,15.0,11.5,17.0
27,1950,10.4,9.2,11.1,16.3,19.5,21.5,25.5,25.9,23.6,19.4,15.7,8.8,17.2
28,1951,8.4,10.4,10.4,15.4,18.6,21.1,24.8,26.4,22.5,20.1,14.5,11.6,17.0
29,1952,8.6,8.5,11.3,16.4,19.6,22.3,26.0,26.8,23.8,18.3,17.8,9.7,17.4
30,1953,7.3,9.2,11.9,14.4,18.7,22.5,26.6,27.5,25.0,19.9,14.5,12.3,17.5
31,1954,10.5,10.2,11.5,16.8,20.2,21.7,25.9,27.4,24.5,18.8,15.9,10.3,17.8
32,1955,6.9,10.0,13.6,17.1,19.4,23.0,26.6,26.2,24.9,19.0,13.4,10.5,17.6
33,1956,7.8,7.5,12.1,15.5,18.7,23.6,27.1,26.4,24.9,19.9,13.4,8.0,17.1
34,1957,9.8,7.5,9.8,16.2,19.2,21.7,26.3,26.2,22.7,17.8,15.1,11.0,16.9
35,1958,8.6,9.5,12.0,16.6,19.0,22.7,26.9,27.0,25.4,19.3,15.1,12.3,17.9
36,1959,7.3,12.6,13.0,16.0,19.3,21.8,26.7,26.7,25.4,19.6,15.7,11.7,18.0
37,1960,8.0,10.0,13.9,15.6,19.4,23.0,26.9,27.6,25.4,19.7,15.5,9.0,17.8
38,1961,6.7,7.8,12.7,16.5,19.7,23.4,27.6,27.8,26.3,22.1,16.2,10.0,18.1
39,1962,6.9,8.9,10.7,14.6,18.7,22.3,26.5,26.7,24.9,19.5,15.0,10.8,17.1
40,1963,5.3,5.9,11.2,16.7,22.0,24.2,26.7,26.8,24.4,18.4,14.6,10.8,17.3
41,1964,10.0,8.5,11.6,20.0,20.1,21.5,26.9,26.9,25.2,20.7,14.4,10.3,18.0
42,1965,8.0,9.0,9.6,14.6,19.3,21.6,26.8,26.6,22.4,18.2,16.7,9.6,16.9
