,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1940,　,　,　,　,　,　,31.2,29.8,26.0,21.9,17.1,11.8,23.0 ]
1,1941,8.6,7.5,12.8,17.7,22.4,25.8,25.8,29.2,24.0,21.2,17.5,11.5,18.7
2,1942,6.2,6.5,13.9,18.6,21.1,25.9,32.7,31.4,26.2,20.4,15.1,9.4,19.0
3,1943,5.6,7.1,11.4,16.9,22.0,25.4,29.3,32.1,27.5,21.2,15.7,11.2,18.8
4,1944,7.4,6.3,10.4,15.7,22.7,27.4,30.4,32.2,27.8,21.0,15.8,7.5,18.7
5,1945,4.5,5.1,11.5,18.2,20.0,25.7,27.5,32.1,25.8,20.4,15.8,8.7,17.9
6,1946,8.2,7.6,9.6,18.4,20.8,26.9,30.9,31.8,26.6,21.2,17.6,8.3,19.0
7,1947,7.2,4.5,9.8,18.1,20.4,23.4,29.7,32.8,26.9,19.3,14.5,7.1,17.8
8,1948,7.7,8.6,10.8,18.7,23.0,27.3,29.9,30.6,26.0,21.4,15.7,13.3,19.4
9,1949,8.5,8.8,10.2,15.8,23.0,24.1,28.3,31.6,26.4,20.4,14.8,10.0,18.5
10,1950,9.0,8.1,11.5,17.3,23.4,24.7,31.1,31.4,26.4,20.5,15.2,9.0,19.0
11,1951,7.2,8.6,11.6,16.2,22.6,25.7,27.6,33.0,25.9,22.3,15.5,12.3,19.0
12,1952,7.5,5.9,11.1,18.1,21.7,24.7,28.2,30.3,26.2,20.9,17.4,10.1,18.5
13,1953,6.8,7.4,13.2,17.1,21.7,24.2,28.2,30.8,26.0,22.6,15.0,12.2,18.8
14,1954,8.6,9.4,11.9,17.6,21.9,22.3,27.5,31.6,27.2,19.6,17.5,11.0,18.8
15,1955,6.5,10.0,12.5 ),17.9,22.3,27.0,31.4,30.2,26.8,20.0,15.7,12.3,19.4
16,1956,6.8,6.6,11.6,17.2,21.7,24.9,29.6,29.6,27.0,20.9,14.8,8.3,18.3
17,1957,8.5,6.1,9.4,18.5,21.9,24.2,27.3,30.3,24.6,21.0,17.0,11.3,18.3
18,1958,7.3,9.2,12.5,18.4,22.3,27.0,29.7,29.1,26.2,20.0,15.7,12.6,19.2
19,1959,6.9,10.4,13.2,18.5,22.7,26.1,29.8,30.8,27.7,22.4,17.4,11.7,19.8
20,1960,7.9,10.6,14.0,16.8,22.4,25.6,29.9,31.4,26.9,20.8,16.9,10.0,19.4
21,1961,6.2,7.4,13.2,18.2,23.5,25.9,31.6,32.6,28.5,22.4,17.5,11.3,19.9
22,1962,6.8,9.5,12.1,18.1,23.3,24.7,30.2,31.7,27.7,21.3,15.1,11.8,19.4
23,1963,3.4,6.3,11.2,18.2,21.8,24.3,30.2,30.3,26.0,20.2,15.5,11.6,18.3
24,1964,8.6,6.1,11.5,19.6,23.8,24.7,30.2,32.9,26.1,20.8,16.0,10.8,19.3
25,1965,7.4,7.9,10.4,15.0,21.7,25.0,28.0,32.2,25.1,21.6,16.7,9.6,18.4
26,1966,7.3,10.4,12.7,18.0,21.7,24.4,28.8,32.2,26.2,21.0,15.7,8.8,18.9
27,1967,6.8,7.5,13.0,17.1,24.0,26.2,29.5,31.8,26.6,20.9,15.8,7.4,18.9
28,1968,7.0,5.2,12.5,17.8,20.7,25.6,29.0,29.9,25.8,20.0,17.7,12.3,18.6
29,1969,7.5,7.8,10.5,18.1,23.5,25.4,29.1,32.1,27.6,20.5,14.9,9.1,18.8
