,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,2.9,3.4,4.0,4.1,2.9,2.7,2.4,2.3,2.4,2.1,3.0,2.8,2.9
1,1952,3.2,2.2,3.4,4.5,3.6,2.9,2.6,2.5,2.7,2.2,2.5,3.3,3.0
2,1953,3.1,3.6,4.0,3.9,3.7,2.3,2.6,2.1,2.3,1.8,3.5,2.8,3.0
3,1954,2.8,3.1,3.3,3.3,3.7,2.1,2.8,2.2,2.9,1.7,2.1,3.1,2.8
4,1955,3.8,3.5,3.1,4.1,2.8,3.0,3.2,2.5,2.8,2.5,2.9,2.7,3.1
5,1956,3.2,3.1,3.5,3.8,3.0,3.4,2.3,2.7,3.0,1.9,2.3,2.8,2.9
6,1957,3.4,2.6,3.2,3.6,3.0,2.3,2.9,2.9,2.1,2.4,2.5,3.2,2.8
7,1958,3.9,2.5,3.7,4.4,3.4,2.8,3.7,3.1,2.5,2.5,2.6,2.3,3.1
8,1959,3.3,3.1,3.3,4.1,3.5,2.2,2.9,2.5,2.9,2.2,2.5,2.7,2.9
9,1960,3.3,3.2,4.1,3.5,3.4,3.4,2.4,2.6,2.5,2.1,2.1,3.4,3.0
10,1961,3.0,2.8,2.4,3.6,3.9,2.6,2.6,2.4,2.5,1.8,2.5,2.4,2.7
11,1962,2.1,2.8,3.6,3.4,2.8,2.4,2.0,3.4,3.1,1.9,2.3,2.7,2.7
12,1963,4.2,2.3,3.0,3.8,4.1,2.7,2.7,2.6,2.1,2.4,2.4,2.9,2.9
13,1964,2.2,2.1,2.7,3.3,2.7,2.5,2.7,1.9,2.3,2.3,2.9,2.1,2.5
14,1965,2.8,2.9,2.7,2.9,3.1,2.5,2.5,2.2,2.1,2.3,3.2,2.7,2.7
15,1966,2.6,3.0,3.0,3.0,3.1,2.5,2.3,2.4,2.4,2.1,2.5,2.1,2.6
16,1967,2.5,2.1,3.1,3.4,2.6,2.7,2.2,2.3,1.9,2.2,2.9,3.7,2.6
17,1968,3.1,2.7,3.3,2.5,2.7,2.3,1.8,2.5,1.7,2.0,2.5,2.4,2.5
18,1969,2.9,2.0,2.4,3.8,3.2,2.8,2.3,2.2,1.8,1.8,2.3,3.6,2.6
19,1970,2.4,2.8,2.6,2.8,2.8,1.7,2.2,2.3,2.3,2.0,2.6,2.4,2.4
20,1971,2.6,2.6,3.0,3.0,2.8,2.2,2.7,2.6,1.8,1.9,2.0,3.1,2.5
21,1972,2.7,2.2,3.3,3.5,3.4,2.9,3.2,3.3,2.1,2.4,3.1,2.0,2.8
22,1973,1.9,2.4,3.0,2.8,2.8,1.9,2.2,2.7,2.5,2.2,3.2,3.5,2.6
23,1974,2.0,2.6,2.8,3.8,3.4,2.2,2.0,2.0,2.4,2.0,2.1,2.1,2.5
24,1975,1.9,2.1,1.9,2.2,2.1,1.7,2.2,1.9,2.0,1.6,1.5,1.7,1.9
25,1976,2.8,2.2,2.3,2.7,2.4,2.1,1.9,2.0,1.4,1.6,2.0,1.8,2.1
26,1977,1.2,1.9,2.2,2.9,2.3,1.4,1.9,1.5,1.7,1.2,1.9,1.2,1.8
27,1978,1.7,1.1,1.4,2.3,2.4,3.1,1.6,2.6,1.4,1.5,1.2,1.4,1.8
28,1979,1.4,1.4,2.0,2.5,2.0,2.8,1.9,2.3,1.9,1.3,1.3,1.5,1.9
29,1980,2.1,2.2,1.6,2.9,2.8,2.0,1.9,1.3,1.7,2.0,1.4,2.2,2.0
30,1981,1.6,2.0,2.2,2.4,2.4,1.9,2.3,2.5,2.0,2.1,2.1,2.1,2.1
31,1982,2.4,1.9,2.3,2.4,2.6,1.7,1.6,2.4,1.8,1.4,1.9,2.5,2.1
32,1983,1.8,2.7,2.4,3.2,2.9,2.4,2.2,2.0,1.7,2.0,2.2,2.5,2.3
33,1984,2.0,2.1,2.4,2.6,2.5,2.5,2.0,2.2,2.2,2.1,2.3,2.4,2.3
34,1985,2.6,2.2,2.1,2.7,3.0,1.8,2.2,2.2,2.0,2.2,2.8,2.9,2.4
35,1986,2.7,2.3,2.3,3.0,3.0,2.2,2.2,2.5,1.9,2.1,2.1 ),2.2,2.4
36,1987,2.5,2.4,2.7,3.0,3.0,2.5 ),3.1,2.7,2.0,1.9,2.4,2.2,2.5
37,1988,2.8,2.3,1.9,2.7,2.7,2.0,1.7,1.7,1.6,1.8,2.7,1.8,2.1
38,1989,1.7,1.9,2.2,2.7 ),2.0,2.0,1.7,2.2,2.5,1.6,2.4,1.7,2.1
39,1990,2.7,1.9,2.4,3.1,2.6,2.7,2.5,3.0,2.1,1.6,1.8,2.6,2.4
40,1991,1.9,2.3,2.3,2.3,2.6,2.1,2.8,2.0,1.9,1.6,2.0,2.0,2.2
41,1992,2.2,2.6,1.9,2.8,2.8,2.3,2.0,2.7,2.4,1.7,2.5,2.2,2.3
42,1993,1.9,2.7,2.6,3.0,2.7,2.4,2.3,2.1,1.8,1.9,1.8,2.4,2.3
43,1994,2.2,2.0,2.4,2.6,2.9,2.1,1.9,2.0,1.8,2.0,2.0,2.0,2.2
44,1995,2.2,1.9,2.3,3.0,2.8,1.9,2.4,2.1,2.2,1.9,2.6 ),2.2,2.3
45,1996,2.4,2.2 ),2.5,2.3,2.4,2.8,2.0,2.1,1.6,1.6,2.2,2.0,2.2
46,1997,2.4,2.2,2.7,2.8,3.0,2.6,2.9,2.8,2.0,2.6,2.0,2.1,2.5
47,1998,2.3 ),2.0,2.5,2.4,2.8,2.3,2.1,2.3,2.2,2.0,2.8,2.1,2.3
48,1999,2.0,2.2,2.5,2.8,2.9,2.5,2.8,2.8,2.4,1.9,2.1,2.4,2.4
49,2000,2.2,2.1,2.7,2.8,2.6,2.2,2.9,2.1,2.1,1.9,1.9,2.3,2.3
50,2001,2.1,2.1,2.8,2.7,2.5,2.3,2.8,2.1,2.0,1.8,2.0,2.1,2.3
51,2002,2.6,1.9,3.0,3.2,2.4,2.2,2.9,2.8,1.9,2.3,2.6,1.9,2.5
52,2003,2.0,2.0,2.3,3.2,2.3,2.4,2.5 ),2.4,2.6,2.0,1.9,2.2,2.3
53,2004,2.3,2.8,2.7,2.8,2.9,2.6,2.3,2.7,2.4,1.9,1.8,2.0,2.4
